target,query_id,query,pmid,publication_year,journal,title,query_date_utc,truncated
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",7533855,1995,Journal of virology,Optimal lymphocytic choriomeningitis virus sequences restricted by H-2Db major histocompatibility complex class I molecules and presented to cytotoxic T lymphocytes.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",7645248,1995,Virology,CTL escape viral variants. II. Biologic activity in vivo.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",7684468,1993,Journal of virology,Cross-protection against lymphocytic choriomeningitis virus mediated by a CD4+ T-cell clone specific for an envelope glycoprotein epitope of Lassa virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",7793078,1995,Virology,CTL escape viral variants. I. Generation and molecular characterization.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",8249289,1993,Virology,Teratogenic effects of neonatal arenavirus infection on the developing rat cerebellum are abrogated by passive immunotherapy.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",8291229,1994,Virology,Acidic pH triggers LCMV membrane fusion activity and conformational change in the glycoprotein spike.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",8355019,1993,Journal of medical virology,Lassa virus activity in Guinea: distribution of human antiviral antibody defined using enzyme-linked immunosorbent assay with recombinant antigen.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",8837227,1996,Research in virology,Immunological identification of Tacaribe virus proteins.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",9234947,1997,Virology,The signal sequence of lymphocytic choriomeningitis virus contains an immunodominant cytotoxic T cell epitope that is restricted by both H-2D(b) and H-2K(b) molecules.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",9403931,1997,Research in virology,Glycoprotein-mediated biological properties of a host range mutant of Junin virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",10463670,1999,The American journal of tropical medicine and hygiene,Sequence analysis of the small RNA segment of guinea pig-passaged Pichinde virus variants.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",11208257,2001,BMC microbiology,The viral transmembrane superfamily: possible divergence of Arenavirus and Filovirus glycoproteins from a common RNA virus ancestor.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",12181674,2002,Archives of virology,Synthesis and expression of viral antigens in Vero cells persistently infected with Junin virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",12504568,2002,Virology,High genetic divergence and recombination in Arenaviruses from the Americas.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",15033572,2004,Virology,"Old and New World arenaviruses share a highly conserved epitope in the fusion domain of the glycoprotein 2, which is recognized by Lassa virus-specific human CD4+ T-cell clones.",2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",15367645,2004,Journal of virology,The signal peptide of the Junín arenavirus envelope glycoprotein is myristoylated and forms an essential subunit of the mature G1-G2 complex.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",16412488,2006,Virology,A recombinant Yellow Fever 17D vaccine expressing Lassa virus glycoproteins.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",16912286,2006,Journal of virology,Identification of protective Lassa virus epitopes that are restricted by HLA-A2.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",17166907,2007,Journal of virology,HLA-A2-restricted protection against lethal lymphocytic choriomeningitis.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",17699567,2007,Journal of virology,Early antibodies specific for the neutralizing epitope on the receptor binding subunit of the lymphocytic choriomeningitis virus glycoprotein fail to neutralize the virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",18538016,2008,Virology journal,Bacterial-based systems for expression and purification of recombinant Lassa virus proteins of immunological relevance.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",19463727,2009,Virus research,Characterization of Junín virus particles inactivated by a zinc finger-reactive compound.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",19591878,2009,Antiviral research,Inhibition of Junín virus replication by small interfering RNAs.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",19846507,2010,Journal of virology,Targeting the proteolytic processing of the viral glycoprotein precursor is a promising novel antiviral strategy against arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",20208545,2010,Nature structural & molecular biology,Structural basis for receptor recognition by New World hemorrhagic fever arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",20392854,2010,Journal of virology,An antibody directed against the fusion peptide of Junin virus envelope glycoprotein GPC inhibits pH-induced membrane fusion.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",20452431,2010,Vaccine,TC83 replicon vectored vaccine provides protection against Junin virus in guinea pigs.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",20668086,2010,Journal of virology,A multivalent vaccination strategy for the prevention of Old World arenavirus infection in humans.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",20961433,2010,Virology journal,Lassa virus-like particles displaying all major immunological determinants as a vaccine candidate for Lassa hemorrhagic fever.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21056893,2011,Virology,Glycosylation modulates arenavirus glycoprotein expression and function.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21062490,2010,Virology journal,Shedding of soluble glycoprotein 1 detected during acute Lassa virus infection in human subjects.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21145373,2011,Vaccine,Yellow fever 17D-vectored vaccines expressing Lassa virus GP1 and GP2 glycoproteins provide protection against fatal disease in guinea pigs.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21159779,2011,The Journal of biological chemistry,A specific interaction of small molecule entry inhibitors with the envelope glycoprotein complex of the Junín hemorrhagic fever arenavirus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21750710,2011,PloS one,Machupo virus glycoprotein determinants for human transferrin receptor 1 binding and cell entry.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",21976641,2011,Journal of virology,Substitutions in the glycoprotein (GP) of the Candid#1 vaccine strain of Junin virus increase dependence on human transferrin receptor 1 for entry and destabilize the metastable conformation of GP.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",22355453,2012,Viruses,"The curious case of arenavirus entry, and its inhibition.",2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",23226473,2012,PloS one,Biochemical reconstitution of hemorrhagic-fever arenavirus envelope glycoprotein-mediated membrane fusion.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",23966408,2013,Journal of virology,Role of DC-SIGN in Lassa virus entry into human dendritic cells.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",24075870,2013,Journal of molecular biology,Innate immune response to arenaviral infection: a focus on the highly pathogenic New World hemorrhagic arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",24109228,2013,Journal of virology,Nonhuman transferrin receptor 1 is an efficient cell entry receptor for Ocozocoautla de Espinosa virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",24183720,2013,Biochemical and biophysical research communications,"Utilization of human DC-SIGN and L-SIGN for entry and infection of host cells by the New World arenavirus, Junín virus.",2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",24721789,2014,Viruses,Analysis of determinants in filovirus glycoproteins required for tetherin antagonism.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",24829355,2014,Journal of virology,Evolution of recombinant lymphocytic choriomeningitis virus/Lassa virus in vivo highlights the importance of the GPC cytosolic tail in viral fitness.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",25483693,2014,Human vaccines & immunotherapeutics,VaxCelerate II: rapid development of a self-assembling vaccine for Lassa fever.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",25972533,2015,Journal of virology,Molecular Mechanism for LAMP1 Recognition by Lassa Virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",26344112,2013,Vaccines,Enhanced Efficacy of a Codon-Optimized DNA Vaccine Encoding the Glycoprotein Precursor Gene of Lassa Virus in a Guinea Pig Disease Model When Delivered by Dermal Electroporation.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",26651946,2015,Cell host & microbe,Molecular Basis for Antibody-Mediated Neutralization of New World Hemorrhagic Fever Mammarenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",27161536,2016,Nature communications,Most neutralizing human monoclonal antibodies target novel epitopes requiring both Lassa virus glycoprotein subunits.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",27562602,2016,Virologica Sinica,Structure-function relationship of the mammarenavirus envelope glycoprotein.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",27580122,2016,PLoS neglected tropical diseases,The Ectodomain of Glycoprotein from the Candid#1 Vaccine Strain of Junin Virus Rendered Machupo Virus Partially Attenuated in Mice Lacking IFN-αβ/γ Receptor.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",28100617,2017,Journal of virology,Differences in Glycoprotein Complex Receptor Binding Site Accessibility Prompt Poor Cross-Reactivity of Neutralizing Antibodies between Closely Related Arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",28572385,2017,"Science (New York, N.Y.)",Structural basis for antibody-mediated neutralization of Lassa virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",28630325,2017,Proceedings of the National Academy of Sciences of the United States of America,Convergent immunological solutions to Argentine hemorrhagic fever virus neutralization.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",28797730,2017,Vaccine,An LASV GPC pseudotyped virus based reporter system enables evaluation of vaccines in mice under non-BSL-4 conditions.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",28963882,2017,Virology,Oxidation-sensitive polymersomes as vaccine nanocarriers enhance humoral responses against Lassa virus envelope glycoprotein.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29287681,2018,Vaccine,Alphavirus vector-based replicon particles expressing multivalent cross-protective Lassa virus glycoproteins.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29581897,2018,NPJ vaccines,"Baseline mapping of Lassa fever virology, epidemiology and vaccine research and development.",2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29659579,2018,PLoS neglected tropical diseases,Replication-incompetent rabies virus vector harboring glycoprotein gene of lymphocytic choriomeningitis virus (LCMV) protects mice from LCMV challenge.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29720525,2018,mSphere,Antibodies to the Glycoprotein GP2 Subunit Cross-React between Old and New World Arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29760382,2018,Nature communications,Vaccine-elicited receptor-binding site antibodies neutralize two New World hemorrhagic fever arenaviruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29843991,2018,Current opinion in virology,Lassa virus glycoprotein: stopping a moving target.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",29870772,2018,Antiviral research,Novel neutralizing monoclonal antibodies against Junin virus.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",30061671,2018,Scientific reports,Neutralization of Junín virus by single domain antibodies targeted against the nucleoprotein.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",30310067,2018,Nature communications,Non-neutralizing antibodies elicited by recombinant Lassa-Rabies vaccine are critical for protection against Lassa fever.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",30728269,2019,Journal of virology,Differential Antibody-Based Immune Response against Isolated GP1 Receptor-Binding Domains from Lassa and Junín Viruses.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",31071008,2019,Human vaccines & immunotherapeutics,Immunogenicity of a protective intradermal DNA vaccine against lassa virus in cynomolgus macaques.,2026-05-01T06:38:30Z,0
Lassa_GPC,L1,"(""Lassa virus"" OR LASV OR arenavirus) AND (GPC OR ""GP1"" OR ""GP2"" OR SSP) AND (escape OR neutralization OR epitope OR antigenic)",31398326,2019,Cell,Convergent Structures Illuminate Features for Germline Antibody Binding and Pan-Lassa Virus Neutralization.,2026-05-01T06:38:30Z,0
