method,pathogen,budget,expected_tp
freq-only,RSV,20,0.0
freq-only,RSV,50,0.0
freq-only,RSV,80,1.0
freq-only,Influenza_B,20,4.0
freq-only,Influenza_B,50,5.0
freq-only,Influenza_B,80,8.0
freq-only,MERS,20,0.0
freq-only,MERS,50,0.0
freq-only,MERS,80,1.0
freq-only,HCV,20,10.0
freq-only,HCV,50,21.0
freq-only,HCV,80,28.0
freq-only,Zika,20,2.0
freq-only,Zika,50,3.0
freq-only,Zika,80,12.0
freq-only,Rabies,20,1.0
freq-only,Rabies,50,2.0
freq-only,Rabies,80,3.0
freq-only,EV-A71,20,2.0
freq-only,EV-A71,50,6.0
freq-only,EV-A71,80,10.0
entropy-only,SARS-CoV-2,20,1.0
entropy-only,SARS-CoV-2,50,2.0
entropy-only,SARS-CoV-2,80,2.0
entropy-only,H3N2,20,3.0
entropy-only,H3N2,50,6.0
entropy-only,H3N2,80,6.0
entropy-only,Norovirus,20,3.0
entropy-only,Norovirus,50,8.0
entropy-only,Norovirus,80,10.0
entropy-only,HIV-1,20,1.0
entropy-only,HIV-1,50,5.0
entropy-only,HIV-1,80,10.0
entropy-only,Dengue,20,2.0
entropy-only,Dengue,50,4.0
entropy-only,Dengue,80,7.0
entropy-only,RSV,20,0.0
entropy-only,RSV,50,0.0
entropy-only,RSV,80,1.0
entropy-only,Influenza_B,20,4.0
entropy-only,Influenza_B,50,5.0
entropy-only,Influenza_B,80,8.0
entropy-only,MERS,20,0.0
entropy-only,MERS,50,0.0
entropy-only,MERS,80,1.0
entropy-only,HCV,20,10.0
entropy-only,HCV,50,23.0
entropy-only,HCV,80,28.0
entropy-only,Zika,20,2.0
entropy-only,Zika,50,3.0
entropy-only,Zika,80,12.0
entropy-only,Rabies,20,1.0
entropy-only,Rabies,50,2.0
entropy-only,Rabies,80,3.0
entropy-only,EV-A71,20,1.0
entropy-only,EV-A71,50,5.0
entropy-only,EV-A71,80,9.0
homoplasy-only,SARS-CoV-2,20,1.0
homoplasy-only,SARS-CoV-2,50,1.0
homoplasy-only,SARS-CoV-2,80,3.0
homoplasy-only,H3N2,20,2.0
homoplasy-only,H3N2,50,5.0
homoplasy-only,H3N2,80,7.0
homoplasy-only,Norovirus,20,9.0
homoplasy-only,Norovirus,50,13.0
homoplasy-only,Norovirus,80,13.0
homoplasy-only,HIV-1,20,0.0
homoplasy-only,HIV-1,50,3.0
homoplasy-only,HIV-1,80,5.0
homoplasy-only,Dengue,20,5.0
homoplasy-only,Dengue,50,9.0
homoplasy-only,Dengue,80,12.0
homoplasy-only,RSV,20,0.0
homoplasy-only,RSV,50,1.0
homoplasy-only,RSV,80,3.0
homoplasy-only,Influenza_B,20,2.0
homoplasy-only,Influenza_B,50,7.0
homoplasy-only,Influenza_B,80,11.0
homoplasy-only,MERS,20,0.0
homoplasy-only,MERS,50,0.0
homoplasy-only,MERS,80,0.0
homoplasy-only,HCV,20,0.0
homoplasy-only,HCV,50,5.0
homoplasy-only,HCV,80,8.0
homoplasy-only,Zika,20,2.0
homoplasy-only,Zika,50,3.0
homoplasy-only,Zika,80,7.0
homoplasy-only,Rabies,20,0.0
homoplasy-only,Rabies,50,0.0
homoplasy-only,Rabies,80,2.0
homoplasy-only,EV-A71,20,5.0
homoplasy-only,EV-A71,50,9.0
homoplasy-only,EV-A71,80,11.0
random,SARS-CoV-2,20,0.0
random,SARS-CoV-2,50,0.0
random,SARS-CoV-2,80,0.0
random,H3N2,20,2.0
random,H3N2,50,4.0
random,H3N2,80,6.0
random,Norovirus,20,0.0
random,Norovirus,50,2.0
random,Norovirus,80,3.0
random,HIV-1,20,1.0
random,HIV-1,50,3.0
random,HIV-1,80,4.0
random,Dengue,20,1.0
random,Dengue,50,3.0
random,Dengue,80,3.0
random,RSV,20,0.0
random,RSV,50,0.0
random,RSV,80,0.0
random,Influenza_B,20,1.0
random,Influenza_B,50,2.0
random,Influenza_B,80,2.0
random,MERS,20,0.0
random,MERS,50,0.0
random,MERS,80,0.0
random,HCV,20,4.0
random,HCV,50,10.0
random,HCV,80,13.0
random,Zika,20,1.0
random,Zika,50,5.0
random,Zika,80,6.0
random,Rabies,20,2.0
random,Rabies,50,6.0
random,Rabies,80,9.0
random,EV-A71,20,3.0
random,EV-A71,50,6.0
random,EV-A71,80,9.0
