method,pathogen,calibration_slope,ece,brier
full-10,Norovirus,2.418471189973026,0.021011942839095497,0.02596415010154156
full-10,HIV-1,1.4223670533596953,0.006451096546413994,0.0479399833750986
full-10,Dengue,1.361944797885812,0.0027187396625930277,0.04587065589702048
full-10,RSV,-0.30508291910382274,0.010329020385273724,0.03680841908378015
full-10,Influenza_B,2.607722608634357,0.015792643925932277,0.028398096737892307
full-10,MERS,0.09917331287833235,0.042521079708404436,0.008950695727722103
full-10,HCV,4.185332702880888,0.12285250978797266,0.14685784982896855
full-10,Zika,-0.1060241476674852,0.021182007203480166,0.0570379163834423
full-10,Rabies,-0.9259066491852792,0.04467315219752104,0.07682492645507996
full-10,EV-A71,-0.2436526299260907,0.06810852927011324,0.09740710194897537
freq-only,SARS-CoV-2,0.2150658595142712,0.019363012218555027,0.019853834472984576
freq-only,H3N2,0.7592581858934357,0.010804891349211029,0.04360783804844731
freq-only,Norovirus,1.6849565472882102,0.020425282851760873,0.026036670429377406
freq-only,HIV-1,1.278285634270603,0.001012786528680254,0.04749080786227155
freq-only,Dengue,0.2920632038950422,0.015107767109524035,0.04734654860570022
freq-only,RSV,-0.2874712209118295,0.02270295820702342,0.0377590204904682
freq-only,Influenza_B,2.681463015801484,0.01864329300371413,0.02859514612830483
freq-only,MERS,-0.04787214851690911,0.03888300692600557,0.008785896912068845
freq-only,HCV,5.431327158770801,0.11883403314641892,0.14430491262987982
freq-only,Zika,0.020134079013582336,0.03219194880899553,0.05741085385435263
freq-only,Rabies,-0.494807161134438,0.05716071617024159,0.07670680319428234
freq-only,EV-A71,-0.3455703949893406,0.0701177184792689,0.0980486030455955
entropy-only,SARS-CoV-2,0.6720894215602345,0.01926646850631583,0.019811329143166703
entropy-only,H3N2,0.8801290587570552,0.006041469783490821,0.04348242529193858
entropy-only,Norovirus,1.9752534232182026,0.027762569526012887,0.025801519487798914
entropy-only,HIV-1,1.3706073919522985,0.006997110999638468,0.047690427339788496
entropy-only,Dengue,0.31714083189642206,0.013376268319067271,0.0472240581646921
entropy-only,RSV,-0.2555550784477327,0.02317550466762742,0.03726526157120921
entropy-only,Influenza_B,2.064210576344077,0.016051765896427393,0.02864990135964827
entropy-only,MERS,-0.018521040617525207,0.04131484184411071,0.009020596833027703
entropy-only,HCV,5.937314815680549,0.11916523228101011,0.1438198205382111
entropy-only,Zika,0.01721382654727613,0.031702717932593265,0.05731861073998354
entropy-only,Rabies,-0.6112887014249334,0.06156425557771565,0.0769659511562755
entropy-only,EV-A71,-0.35436556092348775,0.07043749376135218,0.0978872852042577
homoplasy-only,SARS-CoV-2,0.07889163320234689,0.02983231123963149,0.021025456470186884
homoplasy-only,H3N2,0.9540143784101194,0.004106561610767764,0.04363378059384894
homoplasy-only,Norovirus,4.4064354094754785,0.016125645967562347,0.026232280747996817
homoplasy-only,HIV-1,1.4633125946970482,0.008703909554323791,0.04813887495668444
homoplasy-only,Dengue,1.359782924588219,0.009804486622487051,0.04612898260440336
homoplasy-only,RSV,-0.18081167025892572,0.006662648020850638,0.03571933408734032
homoplasy-only,Influenza_B,1.35185817574992,0.013993859760959588,0.029124023870596705
homoplasy-only,MERS,0.11309061490362465,0.04438410579776061,0.009011840506172047
homoplasy-only,HCV,-2.2651847973405905,0.12495929196659525,0.1513431600403058
homoplasy-only,Zika,0.75455729068721,0.01722907491180621,0.0563006905227629
homoplasy-only,Rabies,-1.1524772221567585,0.04641562974770454,0.07660902803305385
homoplasy-only,EV-A71,3.066449519011302,0.0626295099295332,0.0953692406215213
random,SARS-CoV-2,-0.1359619119625504,0.026643832846002996,0.020219458603833635
random,H3N2,0.19316159029877805,0.004298107306620828,0.04395922176365178
random,Norovirus,1.4867889215020396,0.015217108652082301,0.027374136253330048
random,HIV-1,0.9956259663603686,0.009636933162286157,0.04855814693073015
random,Dengue,-1.3125435607372893,0.0073658266790708055,0.04678995880772102
random,RSV,-1.5823238450421824,0.006135805385466722,0.035280943693785954
random,Influenza_B,0.30382634685955917,0.012627722190599464,0.029608496292300238
random,MERS,-0.2451869993163919,0.0429583866306959,0.008639098374828128
random,HCV,0.2543764592091511,0.12240282729444249,0.14859784536631443
random,Zika,1.0122483295651827,0.018852853601486266,0.05648947787001224
random,Rabies,1.6091388017137669,0.04003892406389478,0.07466035137508192
random,EV-A71,2.113831441239399,0.06354206343445853,0.09667215601493984
