pathogen,null_type,method,metric,observed,null_mean,null_sd,observed_percentile,p_one_sided_primary,p_two_sided_sensitivity,n_perm
SARS-CoV-2,protein_block_shuffle,3-core,p20,0.05,0.0419825,0.042163309805445776,80.17999999999999,0.59907,1.0,100000
SARS-CoV-2,protein_block_shuffle,3-core,enrichment,1.0153225806451613,1.219865406451613,0.40967263383676683,41.438,0.76854,0.63875,100000
SARS-CoV-2,local_burden_preserving,3-core,mcc,0.0010801761971333413,0.006427610633079679,0.028479613807051902,54.19199999999999,0.657,1.0,100000
SARS-CoV-2,local_burden_preserving,3-core,window_mcc,0.49726813000533654,0.5515708298214081,0.036075834292651335,7.083,0.93242,0.12988,100000
SARS-CoV-2,local_burden_preserving,3-core,p20,0.05,0.027528,0.035904167111910565,89.908,0.43376,1.0,100000
SARS-CoV-2,local_burden_preserving,3-core,enrichment,1.0153225806451613,1.0911773306451613,0.4039907382329895,54.19199999999999,0.657,1.0,100000
H3N2,iid,4-core,mcc,0.15925169286627322,-3.1990334167185165e-05,0.04287085542477357,99.97200000000001,0.00177,0.00177,100000
H3N2,iid,4-core,window_mcc,0.6679900118129282,0.6836818739992072,0.09766294060982034,40.172999999999995,0.59827,0.87858,100000
H3N2,iid,4-core,p20,0.15,0.0460375,0.04604208502826518,98.966,0.05826,0.05826,100000
H3N2,iid,4-core,enrichment,3.159272727272727,0.9995662472727272,0.58128028184478,99.97200000000001,0.00177,0.00177,100000
H3N2,circular_shift,4-core,mcc,0.15925169286627322,-6.169836468618429e-05,0.08163262094460705,95.167,0.0804,0.0804,100000
H3N2,circular_shift,4-core,window_mcc,0.6679900118129282,0.23876909679380795,0.24043773632913637,94.606,0.0764,0.0764,100000
H3N2,circular_shift,4-core,p20,0.15,0.04599350000000001,0.06064340819701676,95.933,0.09522,0.09522,100000
H3N2,circular_shift,4-core,enrichment,3.159272727272727,0.9991634399999998,1.106845954909235,95.167,0.0804,0.0804,100000
H3N2,protein_block_shuffle,4-core,mcc,0.15925169286627322,0.12714634078646925,0.05538983770614521,80.271,0.3687,0.60224,100000
H3N2,protein_block_shuffle,4-core,window_mcc,0.6679900118129282,0.7296996615094677,0.018696317874620408,0.396,0.99955,0.00396,100000
H3N2,protein_block_shuffle,4-core,p20,0.15,0.12507800000000002,0.06345229638082456,79.14999999999999,0.48233,1.0,100000
H3N2,protein_block_shuffle,4-core,enrichment,3.159272727272727,2.723960487272727,0.7510235136236441,80.271,0.3687,0.60224,100000
H3N2,local_burden_preserving,4-core,mcc,0.15925169286627322,0.10637809741207822,0.056955561619282016,88.18599999999999,0.24578,0.44258,100000
H3N2,local_burden_preserving,4-core,window_mcc,0.6679900118129282,0.8608184205208692,0.04122953969251525,0.03,0.9997,0.0003,100000
H3N2,local_burden_preserving,4-core,p20,0.15,0.12697800000000004,0.06865302262828636,76.91799999999999,0.48495,1.0,100000
H3N2,local_burden_preserving,4-core,enrichment,3.159272727272727,2.4423666109090907,0.7722529579279754,88.18599999999999,0.24578,0.44258,100000
H3N2,iid,3-core,mcc,0.07187513251627016,5.305618457348446e-05,0.04314256043977472,96.747,0.09763,0.16363,100000
H3N2,iid,3-core,window_mcc,0.5672045724996745,0.7013317869799639,0.08707047510445971,7.031999999999999,0.92968,0.11549,100000
H3N2,iid,3-core,p20,0.2,0.0459015,0.04595299008497706,99.878,0.01028,0.01028,100000
H3N2,iid,3-core,enrichment,1.9745454545454546,1.000719381818182,0.5849642943547623,96.747,0.09763,0.16363,100000
H3N2,circular_shift,3-core,mcc,0.07187513251627016,0.00042382405565866507,0.06715382206796654,88.913,0.19578,0.37782,100000
H3N2,circular_shift,3-core,window_mcc,0.5672045724996745,0.2638864343372358,0.19940139598222426,89.467,0.12084,0.14067,100000
H3N2,circular_shift,3-core,p20,0.2,0.046336,0.06724674790649732,97.528,0.05323,0.05323,100000
H3N2,circular_shift,3-core,enrichment,1.9745454545454546,1.0057465745454546,0.9105298280580778,88.913,0.19578,0.37782,100000
H3N2,protein_block_shuffle,3-core,mcc,0.07187513251627016,0.086520026541333,0.05186708119473012,51.08200000000001,0.70933,0.79152,100000
H3N2,protein_block_shuffle,3-core,window_mcc,0.5672045724996745,0.6738391581397388,0.021652356493782405,0.021,0.99987,0.00021,100000
H3N2,protein_block_shuffle,3-core,p20,0.2,0.1502645,0.06931850430981615,86.063,0.34677,0.71921,100000
H3N2,protein_block_shuffle,3-core,enrichment,1.9745454545454546,2.1731136436363636,0.7032589220955123,51.08200000000001,0.70933,0.79152,100000
H3N2,local_burden_preserving,3-core,mcc,0.07187513251627016,0.10943918957633998,0.057536479219184165,35.358000000000004,0.81725,0.61797,100000
H3N2,local_burden_preserving,3-core,window_mcc,0.5672045724996745,0.8771729123746171,0.03744109545390035,0.0,1.0,9.99990000099999e-06,100000
H3N2,local_burden_preserving,3-core,p20,0.2,0.1420885,0.07180169334876442,87.50099999999999,0.3059,0.48113,100000
H3N2,local_burden_preserving,3-core,enrichment,1.9745454545454546,2.4838715563636367,0.7801295431477929,35.358000000000004,0.81725,0.61797,100000
Norovirus,iid,4-core,mcc,0.4317723171749656,4.156457122788416e-05,0.04314421421503502,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,iid,4-core,window_mcc,0.8484295704192353,0.5552985146206421,0.13926419987804775,99.54899999999999,0.00451,0.03558,100000
Norovirus,iid,4-core,p20,0.25,0.028144000000000002,0.03631962642979688,100.0,8e-05,8e-05,100000
Norovirus,iid,4-core,enrichment,8.602469135802469,1.0007318518518518,0.7596655549951307,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,circular_shift,4-core,mcc,0.4317723171749656,-0.0003688308794221838,0.07345890328519744,99.79400000000001,0.00206,0.00206,100000
Norovirus,circular_shift,4-core,window_mcc,0.8484295704192353,0.28794564473716455,0.29451893396257645,99.249,0.01643,0.01643,100000
Norovirus,circular_shift,4-core,p20,0.25,0.027716500000000005,0.048968567752692135,99.79400000000001,0.00573,0.00573,100000
Norovirus,circular_shift,4-core,enrichment,8.602469135802469,0.9935057777777777,1.293434115066959,99.79400000000001,0.00206,0.00206,100000
Norovirus,protein_block_shuffle,4-core,mcc,0.4317723171749656,0.14009652850575952,0.0609613523908092,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,protein_block_shuffle,4-core,window_mcc,0.8484295704192353,0.7920688237723215,0.047427407148739005,98.089,0.07211,0.22037,100000
Norovirus,protein_block_shuffle,4-core,p20,0.25,0.10102799999999999,0.06047969259181135,99.563,0.02718,0.02718,100000
Norovirus,protein_block_shuffle,4-core,enrichment,8.602469135802469,3.4667619753086414,1.0733823860229093,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,local_burden_preserving,4-core,mcc,0.4317723171749656,0.1563451066274223,0.06558846632740967,100.0,6e-05,6e-05,100000
Norovirus,local_burden_preserving,4-core,window_mcc,0.8484295704192353,0.8642505848279738,0.04615758045398487,36.497,0.7134,0.82152,100000
Norovirus,local_burden_preserving,4-core,p20,0.25,0.11153550000000001,0.06417131165676762,99.032,0.04595,0.04595,100000
Norovirus,local_burden_preserving,4-core,enrichment,8.602469135802469,3.75286024691358,1.1548547025461375,100.0,6e-05,6e-05,100000
Norovirus,iid,3-core,mcc,0.3941903161996844,1.9015370642715402e-05,0.04331271578766406,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,iid,3-core,window_mcc,0.8135368479204659,0.5651442871671734,0.13019826709867272,98.703,0.01302,0.05571,100000
Norovirus,iid,3-core,p20,0.25,0.027998,0.03628790426574673,99.996,0.00014,0.00014,100000
Norovirus,iid,3-core,enrichment,7.94074074074074,1.0003348148148148,0.7626324612887718,100.0,9.99990000099999e-06,9.99990000099999e-06,100000
Norovirus,circular_shift,3-core,mcc,0.3941903161996844,-0.0008863350328518067,0.06657136185776251,99.82900000000001,0.00171,0.00171,100000
Norovirus,circular_shift,3-core,window_mcc,0.8135368479204659,0.30925003521351657,0.2585384680244396,99.247,0.03259,0.03259,100000
Norovirus,circular_shift,3-core,p20,0.25,0.027440499999999996,0.048012435469886344,99.82900000000001,0.00539,0.00539,100000
Norovirus,circular_shift,3-core,enrichment,7.94074074074074,0.9843937777777777,1.1721611222400097,99.82900000000001,0.00171,0.00171,100000
Norovirus,protein_block_shuffle,3-core,mcc,0.3941903161996844,0.13161539834566785,0.0602755269419597,100.0,4e-05,4e-05,100000
Norovirus,protein_block_shuffle,3-core,window_mcc,0.8135368479204659,0.7743287886183869,0.04567498972722642,86.116,0.23072,0.43436,100000
Norovirus,protein_block_shuffle,3-core,p20,0.25,0.1008605,0.060477554015932224,99.544,0.02704,0.02704,100000
Norovirus,protein_block_shuffle,3-core,enrichment,7.94074074074074,3.317429728395061,1.06130665397612,100.0,4e-05,4e-05,100000
Norovirus,local_burden_preserving,3-core,mcc,0.3941903161996844,0.15099981862870812,0.06523584725642512,100.0,0.00019,0.00019,100000
Norovirus,local_burden_preserving,3-core,window_mcc,0.8135368479204659,0.8484230600769391,0.04302429844559204,22.805,0.83247,0.39374,100000
Norovirus,local_burden_preserving,3-core,p20,0.25,0.11179800000000001,0.06438328351365749,99.008,0.04693,0.04693,100000
Norovirus,local_burden_preserving,3-core,enrichment,7.94074074074074,3.65874261728395,1.1486459311700679,100.0,0.00019,0.00019,100000
HIV-1,iid,4-core,mcc,-0.010090719745750161,-0.00018667831529637816,0.04729510761354699,59.303,0.69003,1.0,100000
HIV-1,iid,4-core,window_mcc,0.49428518245286146,0.6191085536078494,0.1499916757735991,18.906,0.81101,0.41159,100000
HIV-1,iid,4-core,p20,0.05,0.050854500000000004,0.0479186271688787,73.01100000000001,0.65739,1.0,100000
HIV-1,iid,4-core,enrichment,0.8695652173913043,0.997586956521739,0.6113465873062218,59.303,0.69003,1.0,100000
HIV-1,circular_shift,4-core,mcc,-0.010090719745750161,0.000395892571358265,0.07310112999334518,55.388999999999996,0.56347,1.0,100000
HIV-1,circular_shift,4-core,window_mcc,0.49428518245286146,0.305287731210636,0.25458743186678273,76.36800000000001,0.23868,0.5361,100000
HIV-1,circular_shift,4-core,p20,0.05,0.051375,0.06882266614277596,73.53699999999999,0.49046,1.0,100000
HIV-1,circular_shift,4-core,enrichment,0.8695652173913043,1.005117391304348,0.9449207033172973,55.388999999999996,0.56347,1.0,100000
HIV-1,protein_block_shuffle,4-core,mcc,-0.010090719745750161,-0.03171546851821761,0.03448666143519183,86.833,0.40616,0.61836,100000
HIV-1,protein_block_shuffle,4-core,window_mcc,0.49428518245286146,0.42474676494377034,0.09978284977422303,71.281,0.29069,0.58925,100000
HIV-1,protein_block_shuffle,4-core,p20,0.05,0.022817999999999998,0.03130876675948767,93.747,0.38916,0.38916,100000
HIV-1,protein_block_shuffle,4-core,enrichment,0.8695652173913043,0.5900391304347826,0.4457818966871453,86.833,0.40616,0.61836,100000
HIV-1,local_burden_preserving,4-core,mcc,-0.010090719745750161,0.035987206543918515,0.054352643945204615,31.334,0.88382,0.5468,100000
HIV-1,local_burden_preserving,4-core,window_mcc,0.49428518245286146,0.7206540258819524,0.11795353740710872,4.099,0.95934,0.04108,100000
HIV-1,local_burden_preserving,4-core,p20,0.05,0.08900300000000001,0.060979635871330026,44.9,0.85873,0.70512,100000
HIV-1,local_burden_preserving,4-core,enrichment,0.8695652173913043,1.4651782608695652,0.7025737980867446,31.334,0.88382,0.5468,100000
HIV-1,iid,3-core,mcc,0.09081647771175144,0.0002798492942821377,0.04722699732667409,98.02,0.06835,0.06835,100000
HIV-1,iid,3-core,window_mcc,0.8411386506895506,0.638405220983613,0.14625804055654607,95.152,0.0486,0.14284,100000
HIV-1,iid,3-core,p20,0.05,0.05127700000000001,0.04833134873971551,72.636,0.65838,1.0,100000
HIV-1,iid,3-core,enrichment,2.1739130434782608,1.0036173913043478,0.6104661792991098,98.02,0.06835,0.06835,100000
HIV-1,circular_shift,3-core,mcc,0.09081647771175144,-0.0005617167325134256,0.07816426875048897,88.096,0.16977,0.16977,100000
HIV-1,circular_shift,3-core,window_mcc,0.8411386506895506,0.3098772099549176,0.2832519131070928,95.104,0.04896,0.04896,100000
HIV-1,circular_shift,3-core,p20,0.05,0.05081300000000001,0.06794438189431118,70.48299999999999,0.46388,1.0,100000
HIV-1,circular_shift,3-core,enrichment,2.1739130434782608,0.9927391304347827,1.0103679082487247,88.096,0.16977,0.16977,100000
HIV-1,protein_block_shuffle,3-core,mcc,0.09081647771175144,0.05681176124054799,0.05522644821380675,82.43599999999999,0.36433,0.54877,100000
HIV-1,protein_block_shuffle,3-core,window_mcc,0.8411386506895506,0.7793309535087911,0.1005552098364522,65.46600000000001,0.35694,0.62624,100000
HIV-1,protein_block_shuffle,3-core,p20,0.05,0.049087500000000006,0.045736663015025485,74.412,0.65467,1.0,100000
HIV-1,protein_block_shuffle,3-core,enrichment,2.1739130434782608,1.7343608695652175,0.7138687773042254,82.43599999999999,0.36433,0.54877,100000
HIV-1,local_burden_preserving,3-core,mcc,0.09081647771175144,0.09942789794277465,0.05492060857472741,56.595,0.67469,1.0,100000
HIV-1,local_burden_preserving,3-core,window_mcc,0.8411386506895506,0.8594656487406781,0.0638326658606125,28.505999999999997,0.72527,0.76485,100000
HIV-1,local_burden_preserving,3-core,p20,0.05,0.1155855,0.06434257680377745,27.616000000000003,0.93486,0.44888,100000
HIV-1,local_burden_preserving,3-core,enrichment,2.1739130434782608,2.2852260869565217,0.7099154292932237,56.595,0.67469,1.0,100000
Dengue,iid,4-core,mcc,0.14498998260717816,-0.00013647970101936656,0.04518519323878726,99.902,0.00553,0.00553,100000
Dengue,iid,4-core,window_mcc,0.8191780219091253,0.6944239037223682,0.09875397810850488,91.123,0.08877,0.20181,100000
Dengue,iid,4-core,p20,0.15,0.04885550000000001,0.047356785361234145,98.69,0.06767,0.06767,100000
Dengue,iid,4-core,enrichment,2.9166666666666665,0.9981958333333333,0.5973168087226736,99.902,0.00553,0.00553,100000
Dengue,circular_shift,4-core,mcc,0.14498998260717816,-0.00039809206094101375,0.055584766549418574,99.366,0.02268,0.02268,100000
Dengue,circular_shift,4-core,window_mcc,0.8191780219091253,0.4900610398400355,0.18692339231957433,97.483,0.02735,0.03354,100000
Dengue,circular_shift,4-core,p20,0.15,0.0486615,0.0528666569564409,98.321,0.09874,0.09874,100000
Dengue,circular_shift,4-core,enrichment,2.9166666666666665,0.9947375,0.7347919304767507,99.366,0.02268,0.02268,100000
Dengue,protein_block_shuffle,4-core,mcc,0.14498998260717816,0.05045651394729802,0.05258100909912903,97.733,0.07132,0.12755,100000
Dengue,protein_block_shuffle,4-core,window_mcc,0.8191780219091253,0.7930684139300962,0.05144751039289443,70.609,0.34153,0.64519,100000
Dengue,protein_block_shuffle,4-core,p20,0.15,0.07709300000000001,0.05553754901865945,95.051,0.18506,0.3629,100000
Dengue,protein_block_shuffle,4-core,enrichment,2.9166666666666665,1.667,0.695084347399652,97.733,0.07132,0.12755,100000
Dengue,local_burden_preserving,4-core,mcc,0.14498998260717816,0.05111937032430429,0.05345863926257896,97.425,0.07627,0.13301,100000
Dengue,local_burden_preserving,4-core,window_mcc,0.8191780219091253,0.8211932682416674,0.06456193110738534,43.38,0.56632,0.96404,100000
Dengue,local_burden_preserving,4-core,p20,0.15,0.0853755,0.059678295885103816,92.445,0.23511,0.38817,100000
Dengue,local_burden_preserving,4-core,enrichment,2.9166666666666665,1.6757625000000003,0.706686007388143,97.425,0.07627,0.13301,100000
Dengue,iid,3-core,mcc,0.11347042117083507,-0.0001995188238920527,0.0452840117636188,99.368,0.02375,0.02375,100000
Dengue,iid,3-core,window_mcc,0.7524363897416015,0.7053184931561776,0.09263265329243481,67.449,0.32551,0.61055,100000
Dengue,iid,3-core,p20,0.1,0.048938,0.04732464639064934,93.099,0.25433,0.25433,100000
Dengue,iid,3-core,enrichment,2.5,0.9973624999999997,0.598623120849815,99.368,0.02375,0.02375,100000
Dengue,circular_shift,3-core,mcc,0.11347042117083507,-0.00033158578631033,0.04919703088316371,99.18599999999999,0.03095,0.03095,100000
Dengue,circular_shift,3-core,window_mcc,0.7524363897416015,0.5098042896413975,0.13502712732386415,97.536,0.02662,0.05888,100000
Dengue,circular_shift,3-core,p20,0.1,0.04876400000000001,0.048870976090108945,92.389,0.27635,0.27635,100000
Dengue,circular_shift,3-core,enrichment,2.5,0.9956166666666667,0.6503505104087248,99.18599999999999,0.03095,0.03095,100000
Dengue,protein_block_shuffle,3-core,mcc,0.11347042117083507,0.03412339240659938,0.0499184439365302,96.444,0.10387,0.11934,100000
Dengue,protein_block_shuffle,3-core,window_mcc,0.7524363897416015,0.7193233322612668,0.04739677561029171,79.057,0.26064,0.48879,100000
Dengue,protein_block_shuffle,3-core,p20,0.1,0.09220700000000001,0.05905776114110659,73.073,0.58426,1.0,100000
Dengue,protein_block_shuffle,3-core,enrichment,2.5,1.4510875000000003,0.6598870889186481,96.444,0.10387,0.11934,100000
Dengue,local_burden_preserving,3-core,mcc,0.11347042117083507,0.04866746364017116,0.053180781451726014,93.00500000000001,0.17457,0.23693,100000
Dengue,local_burden_preserving,3-core,window_mcc,0.7524363897416015,0.8342274947541383,0.06081737586977375,9.295,0.90709,0.17571,100000
Dengue,local_burden_preserving,3-core,p20,0.1,0.0860515,0.059759638115955825,76.058,0.5334,1.0,100000
Dengue,local_burden_preserving,3-core,enrichment,2.5,1.64335,0.7030129204992529,93.00500000000001,0.17457,0.23693,100000
RSV,iid,4-core,mcc,-0.06475239082381762,8.288306025448651e-05,0.04275685052323975,11.672,1.0,0.15741,100000
RSV,iid,4-core,window_mcc,0.01442474408026385,0.6471391623874609,0.11282581531462624,0.0,1.0,9.99990000099999e-06,100000
RSV,iid,4-core,p20,0.0,0.036312500000000004,0.04097959667627294,47.008,1.0,0.6309,100000
RSV,iid,4-core,enrichment,0.0,1.00128,0.6603130784711143,11.672,1.0,0.15741,100000
RSV,circular_shift,4-core,mcc,-0.06475239082381762,0.00026580856433177096,0.060200944049619426,21.377,1.0,0.32889,100000
RSV,circular_shift,4-core,window_mcc,0.01442474408026385,0.3404366319897129,0.16684558188549467,2.179,0.9877,0.04774,100000
RSV,circular_shift,4-core,p20,0.0,0.036585000000000006,0.059019384739253264,62.693,1.0,0.81725,100000
RSV,circular_shift,4-core,enrichment,0.0,1.004105,0.9297099811097007,21.377,1.0,0.32889,100000
RSV,protein_block_shuffle,4-core,mcc,-0.06475239082381762,-0.043318378175271635,0.024060682349328837,48.468,1.0,0.61485,100000
RSV,protein_block_shuffle,4-core,window_mcc,0.01442474408026385,0.26317456637265646,0.08305211982840993,0.168,0.99892,0.00168,100000
RSV,protein_block_shuffle,4-core,p20,0.0,0.003058,0.011981178406150208,93.884,1.0,1.0,100000
RSV,protein_block_shuffle,4-core,enrichment,0.0,0.331015,0.37157982961269576,48.468,1.0,0.61485,100000
RSV,local_burden_preserving,4-core,mcc,-0.06475239082381762,-0.044138467205055286,0.02270061068268597,48.24,1.0,0.59086,100000
RSV,local_burden_preserving,4-core,window_mcc,0.01442474408026385,0.3979434807326986,0.08940285892489529,0.0,1.0,9.99990000099999e-06,100000
RSV,local_burden_preserving,4-core,p20,0.0,0.0090625,0.019458830739538285,82.028,1.0,1.0,100000
RSV,local_burden_preserving,4-core,enrichment,0.0,0.31835,0.35057563734520975,48.24,1.0,0.59086,100000
RSV,iid,3-core,mcc,-0.06475239082381762,-0.00011040282635460908,0.042701223867839214,11.725,1.0,0.24596,100000
RSV,iid,3-core,window_mcc,0.04552333099536016,0.652373372558101,0.10786383267939303,0.0,1.0,9.99990000099999e-06,100000
RSV,iid,3-core,p20,0.0,0.036256500000000004,0.04105960554791047,47.202,1.0,0.63356,100000
RSV,iid,3-core,enrichment,0.0,0.998295,0.6594540112661382,11.725,1.0,0.24596,100000
RSV,circular_shift,3-core,mcc,-0.06475239082381762,0.0002855580435330354,0.059492280629568565,20.430999999999997,1.0,0.31252,100000
RSV,circular_shift,3-core,window_mcc,0.04552333099536016,0.34752913149241227,0.1632789598493391,2.912,0.98226,0.05497,100000
RSV,circular_shift,3-core,p20,0.0,0.0365805,0.06697754862452043,68.46900000000001,1.0,0.87267,100000
RSV,circular_shift,3-core,enrichment,0.0,1.00441,0.9187657764087646,20.430999999999997,1.0,0.31252,100000
RSV,protein_block_shuffle,3-core,mcc,-0.06475239082381762,-0.03907256390895391,0.026107168086019945,41.676,1.0,0.596,100000
RSV,protein_block_shuffle,3-core,window_mcc,0.04552333099536016,0.28365863577300815,0.08279038361249408,0.166,0.99892,0.00166,100000
RSV,protein_block_shuffle,3-core,p20,0.0,0.0069464999999999996,0.01729367334460785,86.107,1.0,1.0,100000
RSV,protein_block_shuffle,3-core,enrichment,0.0,0.396585,0.40318461996336125,41.676,1.0,0.596,100000
RSV,local_burden_preserving,3-core,mcc,-0.06475239082381762,-0.04326139607134668,0.023272446073122937,46.896,1.0,0.58844,100000
RSV,local_burden_preserving,3-core,window_mcc,0.04552333099536016,0.4185664389469249,0.08604630757372693,0.0,1.0,9.99990000099999e-06,100000
RSV,local_burden_preserving,3-core,p20,0.0,0.009111,0.019301286977815756,81.77799999999999,1.0,1.0,100000
RSV,local_burden_preserving,3-core,enrichment,0.0,0.331895,0.35940674586740856,46.896,1.0,0.58844,100000
Influenza_B,iid,4-core,mcc,0.21857219780854706,-0.00014502091854598931,0.042117637181638086,99.99900000000001,7e-05,7e-05,100000
Influenza_B,iid,4-core,window_mcc,0.6348110542727385,0.5470128888337761,0.13263860202426328,73.602,0.26398,0.50246,100000
Influenza_B,iid,4-core,p20,0.2,0.030387500000000005,0.03775016349302344,99.98899999999999,0.00203,0.00203,100000
Influenza_B,iid,4-core,enrichment,4.705882352941177,0.9975411764705883,0.7141027538906336,99.99900000000001,7e-05,7e-05,100000
Influenza_B,circular_shift,4-core,mcc,0.21857219780854706,-0.000469409815293594,0.06838440745288024,99.289,0.01073,0.01073,100000
Influenza_B,circular_shift,4-core,window_mcc,0.6348110542727385,0.23448891891908272,0.25757534375967744,93.77,0.06607,0.06607,100000
Influenza_B,circular_shift,4-core,p20,0.2,0.0302335,0.058731682061303164,98.531,0.04113,0.04113,100000
Influenza_B,circular_shift,4-core,enrichment,4.705882352941177,0.9920411764705884,1.1594547309166419,99.289,0.01073,0.01073,100000
Influenza_B,protein_block_shuffle,4-core,mcc,0.21857219780854706,0.09946110514278109,0.05716047207644056,98.976,0.04047,0.06328,100000
Influenza_B,protein_block_shuffle,4-core,window_mcc,0.6348110542727385,0.6604807432067218,0.027732413558917795,20.827,0.83213,0.42067,100000
Influenza_B,protein_block_shuffle,4-core,p20,0.2,0.1072395,0.06223234400012585,96.273,0.13579,0.21465,100000
Influenza_B,protein_block_shuffle,4-core,enrichment,4.705882352941177,2.6863588235294116,0.9691533821671833,98.976,0.04047,0.06328,100000
Influenza_B,local_burden_preserving,4-core,mcc,0.21857219780854706,0.11323913322463952,0.05951006731063018,97.815,0.07203,0.08676,100000
Influenza_B,local_burden_preserving,4-core,window_mcc,0.6348110542727385,0.8156674523182883,0.06182457824681074,0.5680000000000001,0.99433,0.00568,100000
Influenza_B,local_burden_preserving,4-core,p20,0.2,0.10808950000000002,0.06374272499470038,95.905,0.14517,0.22762,100000
Influenza_B,local_burden_preserving,4-core,enrichment,4.705882352941177,2.919964705882353,1.008990669810532,97.815,0.07203,0.08676,100000
Influenza_B,iid,3-core,mcc,0.21857219780854706,-0.0002529192574641768,0.04220340540750504,99.998,7e-05,7e-05,100000
Influenza_B,iid,3-core,window_mcc,0.6485065517506754,0.558808429326558,0.13609358159859034,72.943,0.27057,0.51316,100000
Influenza_B,iid,3-core,p20,0.2,0.030128,0.03759991510628714,99.981,0.00212,0.00212,100000
Influenza_B,iid,3-core,enrichment,4.705882352941177,0.9957117647058822,0.7155569505262084,99.998,7e-05,7e-05,100000
Influenza_B,circular_shift,3-core,mcc,0.21857219780854706,-9.089827908863372e-05,0.07241611932878987,99.332,0.01901,0.01901,100000
Influenza_B,circular_shift,3-core,window_mcc,0.6485065517506754,0.23626157962810024,0.27229386787837195,88.361,0.12566,0.12566,100000
