pathogen,family,null_type,method,p_one_sided_primary,observed,observed_percentile,significant_at_0.05
H3N2,P6,sasa_strat,4-core,0.0007799922000779,0.1592516928662732,99.989,True
H3N2,P6,plddt_strat,3-core,0.0714292857071429,0.0718751325162701,98.039,False
H3N2,P6,plddt_strat,4-core,0.0130198698013019,0.1592516928662732,99.692,True
H3N2,P6,sasa_freq_joint,3-core,0.2585074149258507,0.0718751325162701,89.588,False
H3N2,P6,sasa_freq_joint,4-core,0.0042599574004259,0.1592516928662732,99.931,True
H3N2,P6,plddt_ent_joint,3-core,0.1764782352176478,0.0718751325162701,93.839,False
H3N2,P6,plddt_ent_joint,4-core,0.0177098229017709,0.1592516928662732,99.645,True
HCV,P1,iid,3-core,5e-05,0.2574957597788094,99.999,True
HCV,P1,iid,4-core,0.00917,0.1502058598709721,99.737,True
HCV,P1,circular_shift,3-core,0.03834,0.2574957597788094,99.135,True
HCV,P1,circular_shift,4-core,0.21014,0.1502058598709721,93.855,False
HCV,P1,protein_block_shuffle,3-core,0.00349,0.2574957597788094,99.93,True
HCV,P1,protein_block_shuffle,4-core,0.30465,0.1502058598709721,85.22,False
HCV,P1,local_burden_preserving,3-core,0.24072,0.2574957597788094,87.533,False
HCV,P1,local_burden_preserving,4-core,0.83467,0.1502058598709721,30.404,False
HCV,P6,sasa_strat,3-core,4.999950000499995e-05,0.2574957597788094,100.0,True
HCV,P6,sasa_strat,4-core,0.0130198698013019,0.1502058598709721,99.6,True
HCV,P6,plddt_strat,3-core,5.999940000599994e-05,0.2574957597788094,99.997,True
HCV,P6,plddt_strat,4-core,0.0045399546004539,0.1502058598709721,99.902,True
HCV,P6,sasa_freq_joint,3-core,0.0100298997010029,0.2574957597788094,99.742,True
HCV,P6,sasa_freq_joint,4-core,0.2752972470275297,0.1502058598709721,85.017,False
HCV,P6,plddt_ent_joint,3-core,0.0042099579004209,0.2574957597788094,99.902,True
HCV,P6,plddt_ent_joint,4-core,0.1232987670123298,0.1502058598709721,94.926,False
HIV-1,P1,iid,3-core,0.06835,0.0908164777117514,98.02,False
HIV-1,P1,iid,4-core,0.69003,-0.0100907197457501,59.303,False
HIV-1,P1,circular_shift,3-core,0.16977,0.0908164777117514,88.096,False
HIV-1,P1,circular_shift,4-core,0.56347,-0.0100907197457501,55.389,False
HIV-1,P1,protein_block_shuffle,3-core,0.36433,0.0908164777117514,82.43599999999999,False
HIV-1,P1,protein_block_shuffle,4-core,0.40616,-0.0100907197457501,86.833,False
HIV-1,P1,local_burden_preserving,3-core,0.67469,0.0908164777117514,56.595,False
HIV-1,P1,local_burden_preserving,4-core,0.88382,-0.0100907197457501,31.334,False
HIV-1,P6,sasa_strat,3-core,0.0744092559074409,0.0908164777117514,97.771,False
HIV-1,P6,sasa_strat,4-core,0.6042239577604224,-0.0100907197457501,69.562,False
HIV-1,P6,plddt_strat,3-core,0.1524484755152448,0.0908164777117514,94.407,False
HIV-1,P6,plddt_strat,4-core,0.4770452295477045,-0.0100907197457501,82.304,False
HIV-1,P6,sasa_freq_joint,3-core,0.3698063019369806,0.0908164777117514,82.342,False
HIV-1,P6,sasa_freq_joint,4-core,0.8325016749832501,-0.0100907197457501,41.134,False
HIV-1,P6,plddt_ent_joint,3-core,0.4947550524494755,0.0908164777117514,72.375,False
HIV-1,P6,plddt_ent_joint,4-core,0.6479735202647974,-0.0100907197457501,68.066,False
Influenza_B,P1,iid,3-core,7e-05,0.218572197808547,99.998,True
Influenza_B,P1,iid,4-core,7e-05,0.218572197808547,99.999,True
Influenza_B,P1,circular_shift,3-core,0.01901,0.218572197808547,99.332,True
Influenza_B,P1,circular_shift,4-core,0.01073,0.218572197808547,99.289,True
Influenza_B,P1,protein_block_shuffle,3-core,0.02532,0.218572197808547,99.428,True
Influenza_B,P1,protein_block_shuffle,4-core,0.04047,0.218572197808547,98.976,True
Influenza_B,P1,local_burden_preserving,3-core,0.13862,0.218572197808547,94.871,False
Influenza_B,P1,local_burden_preserving,4-core,0.07203,0.218572197808547,97.815,False
Influenza_B,P6,sasa_strat,3-core,0.0001299987000129,0.218572197808547,100.0,True
Influenza_B,P6,sasa_strat,4-core,0.0001999980000199,0.218572197808547,99.997,True
Influenza_B,P6,plddt_strat,3-core,7.999920000799993e-05,0.218572197808547,100.0,True
Influenza_B,P6,plddt_strat,4-core,9.99990000099999e-06,0.218572197808547,100.0,True
Influenza_B,P6,sasa_freq_joint,3-core,0.0141498585014149,0.218572197808547,99.724,True
Influenza_B,P6,sasa_freq_joint,4-core,0.0063199368006319,0.218572197808547,99.882,True
Influenza_B,P6,plddt_ent_joint,3-core,0.0124198758012419,0.218572197808547,99.763,True
Influenza_B,P6,plddt_ent_joint,4-core,0.0029699703002969,0.218572197808547,99.959,True
MERS,P1,iid,3-core,1.0,-0.0275136742549375,38.71,False
MERS,P1,iid,4-core,1.0,-0.0275136742549375,38.665,False
MERS,P1,circular_shift,3-core,1.0,-0.0275136742549375,48.258,False
MERS,P1,circular_shift,4-core,1.0,-0.0275136742549375,50.305,False
MERS,P1,protein_block_shuffle,3-core,1.0,-0.0275136742549375,12.274,False
MERS,P1,protein_block_shuffle,4-core,1.0,-0.0275136742549375,4.929,False
MERS,P1,local_burden_preserving,3-core,1.0,-0.0275136742549375,20.992,False
MERS,P1,local_burden_preserving,4-core,1.0,-0.0275136742549375,21.027,False
MERS,P6,sasa_strat,3-core,1.0,-0.0275136742549375,37.3,False
MERS,P6,sasa_strat,4-core,1.0,-0.0275136742549375,39.86,False
MERS,P6,plddt_strat,3-core,1.0,-0.0275136742549375,26.374,False
MERS,P6,plddt_strat,4-core,1.0,-0.0275136742549375,17.707,False
MERS,P6,sasa_freq_joint,3-core,1.0,-0.0275136742549375,34.281,False
MERS,P6,sasa_freq_joint,4-core,1.0,-0.0275136742549375,34.475,False
MERS,P6,plddt_ent_joint,3-core,1.0,-0.0275136742549375,20.502,False
MERS,P6,plddt_ent_joint,4-core,1.0,-0.0275136742549375,15.264,False
Norovirus,P1,iid,3-core,9.99990000099999e-06,0.3941903161996844,100.0,True
Norovirus,P1,iid,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
Norovirus,P1,circular_shift,3-core,0.00171,0.3941903161996844,99.829,True
Norovirus,P1,circular_shift,4-core,0.00206,0.4317723171749656,99.794,True
Norovirus,P1,protein_block_shuffle,3-core,4e-05,0.3941903161996844,100.0,True
Norovirus,P1,protein_block_shuffle,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
Norovirus,P1,local_burden_preserving,3-core,0.00019,0.3941903161996844,100.0,True
Norovirus,P1,local_burden_preserving,4-core,6e-05,0.4317723171749656,100.0,True
Norovirus,P6,sasa_strat,3-core,9.99990000099999e-06,0.3941903161996844,100.0,True
Norovirus,P6,sasa_strat,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
Norovirus,P6,plddt_strat,3-core,9.99990000099999e-06,0.3941903161996844,100.0,True
Norovirus,P6,plddt_strat,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
Norovirus,P6,sasa_freq_joint,3-core,9.99990000099999e-06,0.3941903161996844,100.0,True
Norovirus,P6,sasa_freq_joint,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
Norovirus,P6,plddt_ent_joint,3-core,9.99990000099999e-06,0.3941903161996844,100.0,True
Norovirus,P6,plddt_ent_joint,4-core,9.99990000099999e-06,0.4317723171749656,100.0,True
RSV,P1,iid,3-core,1.0,-0.0647523908238176,11.725,False
RSV,P1,iid,4-core,1.0,-0.0647523908238176,11.672,False
RSV,P1,circular_shift,3-core,1.0,-0.0647523908238176,20.431,False
RSV,P1,circular_shift,4-core,1.0,-0.0647523908238176,21.377,False
RSV,P1,protein_block_shuffle,3-core,1.0,-0.0647523908238176,41.676,False
RSV,P1,protein_block_shuffle,4-core,1.0,-0.0647523908238176,48.468,False
RSV,P1,local_burden_preserving,3-core,1.0,-0.0647523908238176,46.896,False
RSV,P1,local_burden_preserving,4-core,1.0,-0.0647523908238176,48.24,False
RSV,P6,sasa_strat,3-core,1.0,-0.0647523908238176,10.901,False
RSV,P6,sasa_strat,4-core,1.0,-0.0647523908238176,10.904,False
RSV,P6,plddt_strat,3-core,1.0,-0.0647523908238176,9.23,False
RSV,P6,plddt_strat,4-core,1.0,-0.0647523908238176,9.515,False
RSV,P6,sasa_freq_joint,3-core,1.0,-0.0647523908238176,67.585,False
RSV,P6,sasa_freq_joint,4-core,1.0,-0.0647523908238176,66.77199999999999,False
RSV,P6,plddt_ent_joint,3-core,1.0,-0.0647523908238176,77.655,False
RSV,P6,plddt_ent_joint,4-core,1.0,-0.0647523908238176,72.672,False
Rabies,P1,iid,3-core,0.92586,-0.0490986486903498,21.69,False
Rabies,P1,iid,4-core,0.92515,-0.0490986486903498,21.761,False
Rabies,P1,circular_shift,3-core,0.7367,-0.0490986486903498,40.464,False
Rabies,P1,circular_shift,4-core,0.81299,-0.0490986486903498,36.939,False
Rabies,P1,protein_block_shuffle,3-core,0.84605,-0.0490986486903498,38.738,False
Rabies,P1,protein_block_shuffle,4-core,0.8701,-0.0490986486903498,33.855000000000004,False
Rabies,P1,local_burden_preserving,3-core,0.89708,-0.0490986486903498,31.986,False
Rabies,P1,local_burden_preserving,4-core,0.87677,-0.0490986486903498,35.278,False
Rabies,P6,sasa_strat,3-core,0.913180868191318,-0.0490986486903498,24.622,False
Rabies,P6,sasa_strat,4-core,0.900840991590084,-0.0490986486903498,27.22,False
Rabies,P6,plddt_strat,3-core,0.914820851791482,-0.0490986486903498,24.209,False
Rabies,P6,plddt_strat,4-core,0.8677613223867762,-0.0490986486903498,33.576,False
Rabies,P6,sasa_freq_joint,3-core,0.7745722542774572,-0.0490986486903498,52.293,False
Rabies,P6,sasa_freq_joint,4-core,0.7701322986770133,-0.0490986486903498,52.457,False
Rabies,P6,plddt_ent_joint,3-core,0.7650923490765092,-0.0490986486903498,53.838,False
Rabies,P6,plddt_ent_joint,4-core,0.7691923080769192,-0.0490986486903498,53.004,False
SARS-CoV-2,P1,iid,3-core,0.5639,0.0010801761971333,63.209,False
SARS-CoV-2,P1,iid,4-core,0.73044,-0.0095233394939597,53.495000000000005,False
SARS-CoV-2,P1,circular_shift,3-core,0.55649,0.0010801761971333,62.771,False
SARS-CoV-2,P1,circular_shift,4-core,0.67404,-0.0095233394939597,54.544,False
SARS-CoV-2,P1,protein_block_shuffle,3-core,0.76854,0.0010801761971333,41.438,False
SARS-CoV-2,P1,protein_block_shuffle,4-core,0.87769,-0.0095233394939597,31.947,False
SARS-CoV-2,P1,local_burden_preserving,3-core,0.657,0.0010801761971333,54.19199999999999,False
SARS-CoV-2,P1,local_burden_preserving,4-core,0.80395,-0.0095233394939597,43.792,False
SARS-CoV-2,P6,sasa_strat,3-core,0.5592944070559295,0.0010801761971333,63.788,False
SARS-CoV-2,P6,sasa_strat,4-core,0.7289227107728923,-0.0095233394939597,53.761,False
SARS-CoV-2,P6,plddt_strat,3-core,0.6004339956600434,0.0010801761971333,59.834,False
SARS-CoV-2,P6,plddt_strat,4-core,0.7856021439785602,-0.0095233394939597,46.794,False
SARS-CoV-2,P6,sasa_freq_joint,3-core,0.5522744772552275,0.0010801761971333,64.606,False
SARS-CoV-2,P6,sasa_freq_joint,4-core,0.7390226097739022,-0.0095233394939597,52.676,False
SARS-CoV-2,P6,plddt_ent_joint,3-core,0.5527344726552734,0.0010801761971333,64.492,False
SARS-CoV-2,P6,plddt_ent_joint,4-core,0.7076629233707663,-0.0095233394939597,57.566,False
Zika,P1,iid,3-core,0.71682,-0.0162875894759551,48.681,False
Zika,P1,iid,4-core,0.78583,-0.0230886436313891,46.832,False
Zika,P1,circular_shift,3-core,0.68052,-0.0162875894759551,50.131,False
Zika,P1,circular_shift,4-core,0.74616,-0.0230886436313891,50.580000000000005,False
Zika,P1,protein_block_shuffle,3-core,0.77047,-0.0162875894759551,45.13,False
Zika,P1,protein_block_shuffle,4-core,0.62742,-0.0230886436313891,69.734,False
Zika,P1,local_burden_preserving,3-core,0.80107,-0.0162875894759551,38.155,False
Zika,P1,local_burden_preserving,4-core,0.87118,-0.0230886436313891,33.151,False
Zika,P6,sasa_strat,3-core,0.7140228597714023,-0.0162875894759551,49.268,False
Zika,P6,sasa_strat,4-core,0.7600123998760012,-0.0230886436313891,50.459,False
Zika,P6,plddt_strat,3-core,0.8038519614803852,-0.0162875894759551,37.511,False
Zika,P6,plddt_strat,4-core,0.7319726802731973,-0.0230886436313891,54.691,False
Zika,P6,sasa_freq_joint,3-core,0.7242627573724263,-0.0162875894759551,47.927,False
Zika,P6,sasa_freq_joint,4-core,0.7992620073799263,-0.0230886436313891,44.97,False
Zika,P6,plddt_ent_joint,3-core,0.7369426305736942,-0.0162875894759551,46.481,False
Zika,P6,plddt_ent_joint,4-core,0.7089029109708903,-0.0230886436313891,57.19,False
