pathogen,feature,auc,spearman_rho,p_value,n_positions,n_layer_a
Rabies,grantham,0.4689,-0.0292,0.519048,491,39
Rabies,dnds_proxy,0.3642,-0.1275,0.004673,491,39
Rabies,semantic_change,0.4175,-0.0774,0.086702,491,39
EV-A71,freq,0.5313,0.0341,0.583157,261,27
EV-A71,entropy,0.5301,0.0327,0.598723,261,27
EV-A71,rare_freq,0.5397,0.0434,0.485022,261,27
EV-A71,homoplasy,0.5941,0.1007,0.104599,261,27
EV-A71,esm2_llr,0.5956,0.1009,0.104013,261,27
EV-A71,plddt,0.3146,-0.1957,0.001487,261,27
EV-A71,sasa,0.595,0.1002,0.106309,261,27
EV-A71,grantham,0.5595,0.0646,0.298665,261,27
EV-A71,dnds_proxy,0.5293,0.0318,0.609158,261,27
EV-A71,semantic_change,0.507,0.0076,0.903303,261,27
