pathogen,split_year,n_train,n_test,n_emergent,n_positions,score,top_k,mcc,f1,auroc,topk_enrichment_fold,topk_fisher_p_one_sided
Dengue,2002,75,210,65,795,freq+entropy+plddt,30,-0.0591,0.0,0.411,0.0,1.0
Dengue,2002,75,210,65,795,freq+entropy+homoplasy,30,-0.0591,0.0,0.3859,0.0,1.0
Dengue,2002,75,210,65,795,freq+entropy+plddt+homoplasy,30,-0.0591,0.0,0.4184,0.0,1.0
Dengue,2003,84,201,67,795,freq+entropy,30,-0.0698,0.0,0.409,0.0,1.0
Dengue,2003,84,201,67,795,freq+entropy+plddt,30,-0.0601,0.0,0.4093,0.0,1.0
Dengue,2003,84,201,67,795,freq+entropy+homoplasy,30,-0.0601,0.0,0.3972,0.0,1.0
Dengue,2003,84,201,67,795,freq+entropy+plddt+homoplasy,30,-0.0601,0.0,0.4211,0.0,1.0
Dengue,2004,89,196,67,795,freq+entropy,30,-0.0698,0.0,0.409,0.0,1.0
Dengue,2004,89,196,67,795,freq+entropy+plddt,30,-0.0601,0.0,0.4091,0.0,1.0
Dengue,2004,89,196,67,795,freq+entropy+homoplasy,30,-0.0601,0.0,0.3968,0.0,1.0
Dengue,2004,89,196,67,795,freq+entropy+plddt+homoplasy,30,-0.0601,0.0,0.4209,0.0,1.0
Dengue,2005,93,192,67,795,freq+entropy,30,-0.0698,0.0,0.409,0.0,1.0
Dengue,2005,93,192,67,795,freq+entropy+plddt,30,-0.0601,0.0,0.4091,0.0,1.0
Dengue,2005,93,192,67,795,freq+entropy+homoplasy,30,-0.0601,0.0,0.3969,0.0,1.0
Dengue,2005,93,192,67,795,freq+entropy+plddt+homoplasy,30,-0.0601,0.0,0.421,0.0,1.0
Dengue,2006,99,186,67,795,freq+entropy,30,-0.0689,0.0,0.4077,0.0,1.0
Dengue,2006,99,186,67,795,freq+entropy+plddt,30,-0.0601,0.0,0.4084,0.0,1.0
Dengue,2006,99,186,67,795,freq+entropy+homoplasy,30,-0.0601,0.0,0.3965,0.0,1.0
Dengue,2006,99,186,67,795,freq+entropy+plddt+homoplasy,30,-0.0601,0.0,0.4198,0.0,1.0
Dengue,2007,106,179,68,795,freq+entropy,30,-0.0704,0.0,0.4069,0.0,1.0
Dengue,2007,106,179,68,795,freq+entropy+plddt,30,-0.0606,0.0,0.412,0.0,1.0
Dengue,2007,106,179,68,795,freq+entropy+homoplasy,30,-0.0616,0.0,0.39,0.0,1.0
Dengue,2007,106,179,68,795,freq+entropy+plddt+homoplasy,30,-0.0606,0.0,0.4155,0.0,1.0
Dengue,2008,121,164,69,795,freq+entropy,30,-0.0719,0.0,0.4229,0.0,1.0
Dengue,2008,121,164,69,795,freq+entropy+plddt,30,-0.0611,0.0,0.4075,0.0,1.0
Dengue,2008,121,164,69,795,freq+entropy+homoplasy,30,-0.0611,0.0,0.3884,0.0,1.0
Dengue,2008,121,164,69,795,freq+entropy+plddt+homoplasy,30,-0.0611,0.0,0.4095,0.0,1.0
Dengue,2009,127,158,69,795,freq+entropy,30,-0.0719,0.0,0.4229,0.0,1.0
Dengue,2009,127,158,69,795,freq+entropy+plddt,30,-0.0611,0.0,0.4067,0.0,1.0
Dengue,2009,127,158,69,795,freq+entropy+homoplasy,30,-0.0621,0.0,0.3883,0.0,1.0
Dengue,2009,127,158,69,795,freq+entropy+plddt+homoplasy,30,-0.0611,0.0,0.4151,0.0,1.0
Dengue,2010,133,152,68,795,freq+entropy,30,-0.0713,0.0,0.4174,0.0,1.0
Dengue,2010,133,152,68,795,freq+entropy+plddt,30,-0.0626,0.0,0.4026,0.0,1.0
Dengue,2010,133,152,68,795,freq+entropy+homoplasy,30,-0.0606,0.0,0.3902,0.0,1.0
Dengue,2010,133,152,68,795,freq+entropy+plddt+homoplasy,30,-0.0606,0.0,0.4117,0.0,1.0
Dengue,2011,140,145,68,795,freq+entropy,30,-0.0704,0.0,0.4174,0.0,1.0
Dengue,2011,140,145,68,795,freq+entropy+plddt,30,-0.0606,0.0,0.4027,0.0,1.0
Dengue,2011,140,145,68,795,freq+entropy+homoplasy,30,-0.0606,0.0,0.3905,0.0,1.0
Dengue,2011,140,145,68,795,freq+entropy+plddt+homoplasy,30,-0.0606,0.0,0.4118,0.0,1.0
Dengue,2012,141,144,68,795,freq+entropy,30,-0.0704,0.0,0.4174,0.0,1.0
Dengue,2012,141,144,68,795,freq+entropy+plddt,30,-0.0606,0.0,0.4028,0.0,1.0
Dengue,2012,141,144,68,795,freq+entropy+homoplasy,30,-0.0606,0.0,0.3905,0.0,1.0
Dengue,2012,141,144,68,795,freq+entropy+plddt+homoplasy,30,-0.0606,0.0,0.4121,0.0,1.0
Dengue,2016,179,106,62,795,freq+entropy,30,-0.0605,0.0,0.6671,0.0,1.0
Dengue,2016,179,106,62,795,freq+entropy+plddt,30,-0.0576,0.0,0.4379,0.0,1.0
Dengue,2016,179,106,62,795,freq+entropy+homoplasy,30,-0.0576,0.0,0.4867,0.0,1.0
Dengue,2016,179,106,62,795,freq+entropy+plddt+homoplasy,30,-0.0576,0.0,0.4408,0.0,1.0
Dengue,2017,192,93,61,795,freq+entropy,30,-0.06,0.0,0.6636,0.0,1.0
Dengue,2017,192,93,61,795,freq+entropy+plddt,30,-0.0571,0.0,0.4418,0.0,1.0
Dengue,2017,192,93,61,795,freq+entropy+homoplasy,30,-0.0571,0.0,0.483,0.0,1.0
Dengue,2017,192,93,61,795,freq+entropy+plddt+homoplasy,30,-0.0571,0.0,0.4448,0.0,1.0
Dengue,2018,199,86,61,795,freq+entropy,30,-0.0609,0.0,0.6636,0.0,1.0
Dengue,2018,199,86,61,795,freq+entropy+plddt,30,-0.0571,0.0,0.4423,0.0,1.0
Dengue,2018,199,86,61,795,freq+entropy+homoplasy,30,-0.0571,0.0,0.4828,0.0,1.0
Dengue,2018,199,86,61,795,freq+entropy+plddt+homoplasy,30,-0.0571,0.0,0.4449,0.0,1.0
Dengue,2019,203,82,61,795,freq+entropy,30,-0.0609,0.0,0.6636,0.0,1.0
Dengue,2019,203,82,61,795,freq+entropy+plddt,30,-0.0571,0.0,0.4425,0.0,1.0
Dengue,2019,203,82,61,795,freq+entropy+homoplasy,30,-0.0571,0.0,0.4828,0.0,1.0
Dengue,2019,203,82,61,795,freq+entropy+plddt+homoplasy,30,-0.0571,0.0,0.445,0.0,1.0
Dengue,2020,204,81,61,795,freq+entropy,30,-0.0609,0.0,0.6636,0.0,1.0
Dengue,2020,204,81,61,795,freq+entropy+plddt,30,-0.0571,0.0,0.4426,0.0,1.0
Dengue,2020,204,81,61,795,freq+entropy+homoplasy,30,-0.0571,0.0,0.4828,0.0,1.0
Dengue,2020,204,81,61,795,freq+entropy+plddt+homoplasy,30,-0.0571,0.0,0.4449,0.0,1.0
Dengue,2021,212,73,57,795,freq+entropy,30,-0.0578,0.0,0.6562,0.0,1.0
Dengue,2021,212,73,57,795,freq+entropy+plddt,30,-0.055,0.0,0.4677,0.0,1.0
Dengue,2021,212,73,57,795,freq+entropy+homoplasy,30,-0.055,0.0,0.5145,0.0,1.0
Dengue,2021,212,73,57,795,freq+entropy+plddt+homoplasy,30,-0.055,0.0,0.4798,0.0,1.0
Dengue,2022,241,44,13,795,freq+entropy,30,-0.0255,0.0,0.3427,0.0,1.0
Dengue,2022,241,44,13,795,freq+entropy+plddt,30,-0.0255,0.0,0.3491,0.0,1.0
Dengue,2022,241,44,13,795,freq+entropy+homoplasy,30,-0.0255,0.0,0.4156,0.0,1.0
Dengue,2022,241,44,13,795,freq+entropy+plddt+homoplasy,30,-0.0255,0.0,0.3683,0.0,1.0
Dengue,2023,249,36,13,795,freq+entropy,30,-0.026,0.0,0.3427,0.0,1.0
Dengue,2023,249,36,13,795,freq+entropy+plddt,30,-0.0255,0.0,0.3491,0.0,1.0
Dengue,2023,249,36,13,795,freq+entropy+homoplasy,30,-0.0255,0.0,0.4156,0.0,1.0
Dengue,2023,249,36,13,795,freq+entropy+plddt+homoplasy,30,-0.0255,0.0,0.3683,0.0,1.0
RSV,2019,54,131,2,575,freq+entropy,30,-0.0162,0.0,0.6854,0.0,1.0
RSV,2019,54,131,2,575,freq+entropy+plddt,30,-0.0139,0.0,0.8988,0.0,1.0
RSV,2019,54,131,2,575,freq+entropy+homoplasy,30,-0.0141,0.0,0.9005,0.0,1.0
RSV,2019,54,131,2,575,freq+entropy+plddt+homoplasy,30,-0.0139,0.0,0.9145,0.0,1.0
RSV,2021,111,74,1,575,freq+entropy,30,-0.0114,0.0,0.4338,0.0,1.0
RSV,2021,111,74,1,575,freq+entropy+plddt,30,-0.0098,0.0,0.7831,0.0,1.0
RSV,2021,111,74,1,575,freq+entropy+homoplasy,30,-0.0098,0.0,0.9199,0.0,1.0
RSV,2021,111,74,1,575,freq+entropy+plddt+homoplasy,30,-0.0098,0.0,0.9286,0.0,1.0
HCV,2001,31,374,2,869,freq+entropy,30,-0.0091,0.0,0.3131,0.0,1.0
HCV,2001,31,374,2,869,freq+entropy+plddt,30,-0.0091,0.0,0.4723,0.0,1.0
HCV,2001,31,374,2,869,freq+entropy+homoplasy,30,-0.0091,0.0,0.19,0.0,1.0
HCV,2001,31,374,2,869,freq+entropy+plddt+homoplasy,30,-0.0091,0.0,0.4888,0.0,1.0
HCV,2002,50,355,1,869,freq+entropy,30,-0.0064,0.0,0.3116,0.0,1.0
HCV,2002,50,355,1,869,freq+entropy+plddt,30,-0.0064,0.0,0.6123,0.0,1.0
HCV,2002,50,355,1,869,freq+entropy+homoplasy,30,-0.0064,0.0,0.0495,0.0,1.0
HCV,2002,50,355,1,869,freq+entropy+plddt+homoplasy,30,-0.0064,0.0,0.6244,0.0,1.0
HCV,2003,63,342,1,869,freq+entropy,30,-0.0064,0.0,0.3111,0.0,1.0
HCV,2003,63,342,1,869,freq+entropy+plddt,30,-0.0064,0.0,0.6112,0.0,1.0
HCV,2003,63,342,1,869,freq+entropy+homoplasy,30,-0.0064,0.0,0.0495,0.0,1.0
HCV,2003,63,342,1,869,freq+entropy+plddt+homoplasy,30,-0.0064,0.0,0.6233,0.0,1.0
HCV,2004,76,329,1,869,freq+entropy,30,-0.0064,0.0,0.3111,0.0,1.0
HCV,2004,76,329,1,869,freq+entropy+plddt,30,-0.0064,0.0,0.6112,0.0,1.0
HCV,2004,76,329,1,869,freq+entropy+homoplasy,30,-0.0064,0.0,0.0495,0.0,1.0
HCV,2004,76,329,1,869,freq+entropy+plddt+homoplasy,30,-0.0064,0.0,0.6233,0.0,1.0
Norovirus,2018,34,253,93,910,freq+entropy,30,-0.0654,0.0,0.2588,0.0,1.0
Norovirus,2018,34,253,93,910,freq+entropy+plddt,30,-0.0623,0.0,0.1894,0.0,1.0
Norovirus,2018,34,253,93,910,freq+entropy+homoplasy,30,-0.042,0.0163,0.214,0.326,0.9627
Norovirus,2018,34,253,93,910,freq+entropy+plddt+homoplasy,30,-0.0623,0.0,0.2268,0.0,1.0
Norovirus,2019,81,206,152,910,freq+entropy,30,-0.0827,0.0,0.3539,0.0,1.0
Norovirus,2019,81,206,152,910,freq+entropy+plddt,30,-0.0827,0.0,0.2324,0.0,1.0
Norovirus,2019,81,206,152,910,freq+entropy+homoplasy,30,-0.0662,0.011,0.2492,0.2,0.9962
Norovirus,2019,81,206,152,910,freq+entropy+plddt+homoplasy,30,-0.0662,0.011,0.2383,0.2,0.9962
Norovirus,2020,134,153,81,910,freq+entropy,30,-0.0577,0.0,0.3074,0.0,1.0
Norovirus,2020,134,153,81,910,freq+entropy+plddt,30,-0.0577,0.0,0.2324,0.0,1.0
Norovirus,2020,134,153,81,910,freq+entropy+homoplasy,30,-0.0361,0.018,0.2006,0.374,0.9418
Norovirus,2020,134,153,81,910,freq+entropy+plddt+homoplasy,30,-0.0577,0.0,0.2203,0.0,1.0
Norovirus,2021,173,114,63,910,freq+entropy,30,-0.0504,0.0,0.3111,0.0,1.0
Norovirus,2021,173,114,63,910,freq+entropy+plddt,30,-0.0504,0.0,0.2046,0.0,1.0
Norovirus,2021,173,114,63,910,freq+entropy+homoplasy,30,-0.0261,0.0215,0.2296,0.481,0.8879
Norovirus,2021,173,114,63,910,freq+entropy+plddt+homoplasy,30,-0.0504,0.0,0.1968,0.0,1.0
Norovirus,2022,184,103,39,910,freq+entropy,30,-0.0391,0.0,0.3378,0.0,1.0
Norovirus,2022,184,103,39,910,freq+entropy+plddt,30,-0.0391,0.0,0.24,0.0,1.0
Norovirus,2022,184,103,39,910,freq+entropy+homoplasy,30,-0.0391,0.0,0.2498,0.0,1.0
Norovirus,2022,184,103,39,910,freq+entropy+plddt+homoplasy,30,-0.0391,0.0,0.2153,0.0,1.0
Norovirus,2023,190,97,37,910,freq+entropy,30,-0.038,0.0,0.331,0.0,1.0
Norovirus,2023,190,97,37,910,freq+entropy+plddt,30,-0.038,0.0,0.2301,0.0,1.0
Norovirus,2023,190,97,37,910,freq+entropy+homoplasy,30,-0.038,0.0,0.25,0.0,1.0
Norovirus,2023,190,97,37,910,freq+entropy+plddt+homoplasy,30,-0.038,0.0,0.2243,0.0,1.0
EV-A71,2014,30,410,7,429,freq+entropy,30,0.0,0.0321,0.6229,14.3,1.0
EV-A71,2014,30,410,7,429,freq+entropy+plddt,30,0.1035,0.1026,0.7072,4.086,0.0895
EV-A71,2014,30,410,7,429,freq+entropy+homoplasy,30,0.1035,0.1026,0.7268,4.086,0.0895
EV-A71,2014,30,410,7,429,freq+entropy+plddt+homoplasy,30,0.109,0.1081,0.6923,4.086,0.0797
EV-A71,2015,83,357,8,429,freq+entropy,30,0.0,0.0366,0.6609,14.3,1.0
EV-A71,2015,83,357,8,429,freq+entropy+plddt,30,0.0281,0.0513,0.727,1.787,0.454
EV-A71,2015,83,357,8,429,freq+entropy+homoplasy,30,0.0973,0.1053,0.7861,3.575,0.1017
EV-A71,2015,83,357,8,429,freq+entropy+plddt+homoplasy,30,0.0973,0.1053,0.7522,3.575,0.1017
EV-A71,2016,106,334,8,429,freq+entropy,30,0.1612,0.1538,0.659,5.363,0.015
EV-A71,2016,106,334,8,429,freq+entropy+plddt,30,0.1509,0.1429,0.7692,5.363,0.0194
EV-A71,2016,106,334,8,429,freq+entropy+homoplasy,30,0.2232,0.2,0.7931,7.15,0.0015
EV-A71,2016,106,334,8,429,freq+entropy+plddt+homoplasy,30,0.2277,0.2051,0.7831,7.15,0.0013
EV-A71,2017,184,256,5,429,freq+entropy,30,-0.0298,0.0,0.454,0.0,1.0
EV-A71,2017,184,256,5,429,freq+entropy+plddt,30,-0.0313,0.0,0.6432,0.0,1.0
EV-A71,2017,184,256,5,429,freq+entropy+homoplasy,30,0.0536,0.0556,0.6844,2.86,0.314
EV-A71,2017,184,256,5,429,freq+entropy+plddt+homoplasy,30,0.0554,0.0571,0.6733,2.86,0.3053
EV-A71,2018,248,192,6,429,freq+entropy,30,0.0452,0.0556,0.5323,2.383,0.3544
EV-A71,2018,248,192,6,429,freq+entropy+plddt,30,0.0355,0.0476,0.698,2.383,0.4109
EV-A71,2018,248,192,6,429,freq+entropy+homoplasy,30,0.1173,0.1053,0.727,4.767,0.067
EV-A71,2018,248,192,6,429,freq+entropy+plddt+homoplasy,30,0.123,0.1111,0.7201,4.767,0.0595
EV-A71,2019,328,112,2,429,freq+entropy,30,0.2496,0.125,0.9555,14.3,0.0047
EV-A71,2019,328,112,2,429,freq+entropy+plddt,30,0.1154,0.0625,0.8794,7.15,0.1351
EV-A71,2019,328,112,2,429,freq+entropy+homoplasy,30,0.2496,0.125,0.9473,14.3,0.0047
EV-A71,2019,328,112,2,429,freq+entropy+plddt+homoplasy,30,0.1154,0.0625,0.9368,7.15,0.1351
EV-A71,2020,378,62,3,429,freq+entropy,30,0.306,0.1818,0.9601,14.3,0.0003
EV-A71,2020,378,62,3,429,freq+entropy+plddt,30,0.306,0.1818,0.9531,14.3,0.0003
EV-A71,2020,378,62,3,429,freq+entropy+homoplasy,30,0.306,0.1818,0.9452,14.3,0.0003
EV-A71,2020,378,62,3,429,freq+entropy+plddt+homoplasy,30,0.0867,0.0606,0.9335,4.767,0.1959
EV-A71,2021,382,58,3,429,freq+entropy,30,0.306,0.1818,0.9601,14.3,0.0003
EV-A71,2021,382,58,3,429,freq+entropy+plddt,30,0.306,0.1818,0.9531,14.3,0.0003
EV-A71,2021,382,58,3,429,freq+entropy+homoplasy,30,0.306,0.1818,0.9444,14.3,0.0003
EV-A71,2021,382,58,3,429,freq+entropy+plddt+homoplasy,30,0.0867,0.0606,0.9319,4.767,0.1959
EV-A71,2022,397,43,2,429,freq+entropy,30,0.2496,0.125,0.9614,14.3,0.0047
EV-A71,2022,397,43,2,429,freq+entropy+plddt,30,0.2452,0.1212,0.9485,14.3,0.0051
EV-A71,2022,397,43,2,429,freq+entropy+homoplasy,30,0.2496,0.125,0.9415,14.3,0.0047
EV-A71,2022,397,43,2,429,freq+entropy+plddt+homoplasy,30,-0.0188,0.0,0.9192,0.0,1.0
EV-A71,2023,409,31,1,429,freq+entropy,30,0.1763,0.0645,0.9603,14.3,0.0699
EV-A71,2023,409,31,1,429,freq+entropy+plddt,30,0.1732,0.0625,0.9416,14.3,0.0723
EV-A71,2023,409,31,1,429,freq+entropy+homoplasy,30,0.1763,0.0645,0.9393,14.3,0.0699
EV-A71,2023,409,31,1,429,freq+entropy+plddt+homoplasy,30,-0.0133,0.0,0.9089,0.0,1.0
Rabies,2008,33,194,8,525,freq+entropy,30,-0.0399,0.0,0.5435,0.0,1.0
Rabies,2008,33,194,8,525,freq+entropy+plddt,30,-0.0306,0.0,0.4298,0.0,1.0
Rabies,2008,33,194,8,525,freq+entropy+homoplasy,30,0.0364,0.0526,0.8288,2.188,0.3775
Rabies,2008,33,194,8,525,freq+entropy+plddt+homoplasy,30,0.0364,0.0526,0.723,2.188,0.3775
Rabies,2009,86,141,11,525,freq+entropy,30,0.1932,0.1951,0.7494,6.364,0.0022
Rabies,2009,86,141,11,525,freq+entropy+plddt,30,0.1359,0.1463,0.7022,4.773,0.0204
Rabies,2009,86,141,11,525,freq+entropy+homoplasy,30,0.0213,0.0488,0.8705,1.591,0.4799
Rabies,2009,86,141,11,525,freq+entropy+plddt+homoplasy,30,0.0213,0.0488,0.7923,1.591,0.4799
Rabies,2010,182,45,15,525,freq+entropy,30,0.2533,0.2667,0.7949,7.0,0.0001
Rabies,2010,182,45,15,525,freq+entropy+plddt,30,0.1548,0.1778,0.7309,4.667,0.0076
Rabies,2010,182,45,15,525,freq+entropy+homoplasy,30,0.1056,0.1333,0.8729,3.5,0.0481
Rabies,2010,182,45,15,525,freq+entropy+plddt+homoplasy,30,0.1056,0.1333,0.7959,3.5,0.0481
Rabies,2011,186,41,12,525,freq+entropy,30,0.182,0.1905,0.7502,5.833,0.0031
Rabies,2011,186,41,12,525,freq+entropy+plddt,30,0.1271,0.1429,0.7022,4.375,0.0261
Rabies,2011,186,41,12,525,freq+entropy+homoplasy,30,0.0722,0.0952,0.8609,2.917,0.1459
Rabies,2011,186,41,12,525,freq+entropy+plddt+homoplasy,30,0.0722,0.0952,0.7974,2.917,0.1459
Rabies,2018,195,32,9,525,freq+entropy,30,0.0939,0.1026,0.9328,3.889,0.0885
Rabies,2018,195,32,9,525,freq+entropy+plddt,30,0.0307,0.0513,0.8874,1.944,0.4136
Rabies,2018,195,32,9,525,freq+entropy+homoplasy,30,0.0939,0.1026,0.9279,3.889,0.0885
Rabies,2018,195,32,9,525,freq+entropy+plddt+homoplasy,30,0.0939,0.1026,0.8975,3.889,0.0885
Rabies,2019,196,31,9,525,freq+entropy,30,0.2204,0.2051,0.9341,7.778,0.0009
Rabies,2019,196,31,9,525,freq+entropy+plddt,30,0.0307,0.0513,0.8893,1.944,0.4136
Rabies,2019,196,31,9,525,freq+entropy+homoplasy,30,0.1571,0.1538,0.9298,5.833,0.0112
Rabies,2019,196,31,9,525,freq+entropy+plddt+homoplasy,30,0.1571,0.1538,0.9037,5.833,0.0112
Rabies,2020,198,29,11,525,freq+entropy,30,-0.036,0.0,0.7588,0.0,1.0
Rabies,2020,198,29,11,525,freq+entropy+plddt,30,0.0198,0.0476,0.7199,1.591,0.4914
Rabies,2020,198,29,11,525,freq+entropy+homoplasy,30,0.0213,0.0488,0.7742,1.591,0.4799
Rabies,2020,198,29,11,525,freq+entropy+plddt+homoplasy,30,0.0786,0.0976,0.7235,3.182,0.126
Rabies,2021,203,24,9,525,freq+entropy,30,0.0307,0.0513,0.8446,1.944,0.4136
Rabies,2021,203,24,9,525,freq+entropy+plddt,30,-0.0325,0.0,0.7696,0.0,1.0
Rabies,2021,203,24,9,525,freq+entropy+homoplasy,30,0.0307,0.0513,0.8134,1.944,0.4136
Rabies,2021,203,24,9,525,freq+entropy+plddt+homoplasy,30,0.0307,0.0513,0.7675,1.944,0.4136
HIV-1,2014,38,212,69,1768,freq+entropy,30,-0.0265,0.0,0.468,0.0,1.0
HIV-1,2014,38,212,69,1768,freq+entropy+plddt,30,-0.0265,0.0,0.4414,0.0,1.0
HIV-1,2014,38,212,69,1768,freq+entropy+homoplasy,30,-0.0265,0.0,0.5341,0.0,1.0
