rank,combo_id,features,f1,f2,f3,f4,lopo_mean_mcc,paired_delta_vs_full10,retention_ratio_vs_full10,is_core_4
34,32,"freq,rare_freq,homoplasy,dnds_proxy",freq,rare_freq,homoplasy,dnds_proxy,0.07478302521479117,0.005028696210956433,1.072091528694656,False
35,108,"entropy,homoplasy,esm2_llr,dnds_proxy",entropy,homoplasy,esm2_llr,dnds_proxy,0.0746473885947511,0.004893059590916342,1.070147038338615,False
36,55,"freq,homoplasy,plddt,grantham",freq,homoplasy,plddt,grantham,0.07442969328427958,0.00467536428044484,1.0670261523150455,False
37,83,"freq,grantham,dnds_proxy,semantic_change",freq,grantham,dnds_proxy,semantic_change,0.07365447349838901,0.0039001444945542664,1.0559125799108446,False
38,52,"freq,homoplasy,esm2_llr,dnds_proxy",freq,homoplasy,esm2_llr,dnds_proxy,0.07294825337999365,0.0031939243761588965,1.045788188658274,False
39,117,"entropy,homoplasy,grantham,dnds_proxy",entropy,homoplasy,grantham,dnds_proxy,0.07262149715565967,0.0028671681518249227,1.0411038023413184,False
40,29,"freq,rare_freq,homoplasy,plddt",freq,rare_freq,homoplasy,plddt,0.07223589060805645,0.0024815616042216833,1.0355757361537414,False
41,58,"freq,homoplasy,sasa,grantham",freq,homoplasy,sasa,grantham,0.07223163691495961,0.002477307911124863,1.0355147550912382,False
42,114,"entropy,homoplasy,sasa,grantham",entropy,homoplasy,sasa,grantham,0.07223163691495961,0.002477307911124863,1.0355147550912382,False
43,194,"homoplasy,grantham,dnds_proxy,semantic_change",homoplasy,grantham,dnds_proxy,semantic_change,0.07197167650577604,0.0022173475019412916,1.0317879554374236,False
44,139,"entropy,grantham,dnds_proxy,semantic_change",entropy,grantham,dnds_proxy,semantic_change,0.07173162343324187,0.0019772944294071167,1.0283465479153044,False
45,24,"freq,entropy,sasa,semantic_change",freq,entropy,sasa,semantic_change,0.07168539136638542,0.0019310623625506628,1.027683763719446,False
46,26,"freq,entropy,grantham,semantic_change",freq,entropy,grantham,semantic_change,0.07166482299520983,0.0019104939913750865,1.027388894978404,False
47,147,"rare_freq,homoplasy,plddt,dnds_proxy",rare_freq,homoplasy,plddt,dnds_proxy,0.0716319103132453,0.0018775813094105455,1.0269170578546791,False
48,138,"entropy,sasa,dnds_proxy,semantic_change",entropy,sasa,dnds_proxy,semantic_change,0.07142997609024532,0.0016756470864105748,1.0240221232193123,False
49,82,"freq,sasa,dnds_proxy,semantic_change",freq,sasa,dnds_proxy,semantic_change,0.07095036328810363,0.0011960342842688907,1.017146380752987,False
50,48,"freq,rare_freq,dnds_proxy,semantic_change",freq,rare_freq,dnds_proxy,semantic_change,0.0706721785849259,0.0009178495810911481,1.0131583171137764,False
51,4,"freq,entropy,rare_freq,grantham",freq,entropy,rare_freq,grantham,0.07053909127128914,0.0007847622674543945,1.0112503736852123,False
52,27,"freq,entropy,dnds_proxy,semantic_change",freq,entropy,dnds_proxy,semantic_change,0.07007533009344448,0.0003210010896097214,1.0046018805455368,False
53,154,"rare_freq,homoplasy,dnds_proxy,semantic_change",rare_freq,homoplasy,dnds_proxy,semantic_change,0.07003515711810458,0.0002808281142698474,1.0040259596541226,False
54,180,"homoplasy,esm2_llr,sasa,dnds_proxy",homoplasy,esm2_llr,sasa,dnds_proxy,0.06983090453318276,7.657552934799891e-05,1.001097788917786,False
55,105,"entropy,homoplasy,esm2_llr,plddt",entropy,homoplasy,esm2_llr,plddt,0.06871820220732038,-0.001036126796514379,0.9851460574374185,False
56,51,"freq,homoplasy,esm2_llr,grantham",freq,homoplasy,esm2_llr,grantham,0.0684358189148729,-0.0013185100889618647,0.9810978027057019,False
57,80,"freq,sasa,grantham,dnds_proxy",freq,sasa,grantham,dnds_proxy,0.06818458285422545,-0.00156974614960932,0.9774960755550668,False
58,111,"entropy,homoplasy,plddt,grantham",entropy,homoplasy,plddt,grantham,0.06793266242367334,-0.0018216665801614,0.9738845372584507,False
59,6,"freq,entropy,rare_freq,semantic_change",freq,entropy,rare_freq,semantic_change,0.06771555688074343,-0.0020387721230913226,0.9707721061587555,False
60,30,"freq,rare_freq,homoplasy,sasa",freq,rare_freq,homoplasy,sasa,0.06732198088223555,-0.002432348121599193,0.9651297897014323,False
61,88,"entropy,rare_freq,homoplasy,dnds_proxy",entropy,rare_freq,homoplasy,dnds_proxy,0.0672961409937382,-0.002458188010096549,0.9647593483414997,False
62,110,"entropy,homoplasy,plddt,sasa",entropy,homoplasy,plddt,sasa,0.06717386398931825,-0.0025804650145164983,0.9630063818064304,False
63,23,"freq,entropy,sasa,dnds_proxy",freq,entropy,sasa,dnds_proxy,0.06609304457275587,-0.003661284431078885,0.947511724600238,False
64,177,"homoplasy,esm2_llr,plddt,dnds_proxy",homoplasy,esm2_llr,plddt,dnds_proxy,0.06599282940399709,-0.0037614995998376498,0.946075037154599,False
65,187,"homoplasy,plddt,sasa,semantic_change",homoplasy,plddt,sasa,semantic_change,0.06575200852800774,-0.00400232047582702,0.9426226223807989,False
66,18,"freq,entropy,plddt,sasa",freq,entropy,plddt,sasa,0.06561590937348846,-0.004138419630346291,0.940671501117604,False
67,21,"freq,entropy,plddt,semantic_change",freq,entropy,plddt,semantic_change,0.06529058650186827,-0.004463742501966483,0.9360076633850052,False
68,85,"entropy,rare_freq,homoplasy,plddt",entropy,rare_freq,homoplasy,plddt,0.06525201614498322,-0.0045023128588515355,0.9354547176763176,False
69,2,"freq,entropy,rare_freq,plddt",freq,entropy,rare_freq,plddt,0.06475495879594957,-0.004999370207885201,0.9283288897007332,False
70,86,"entropy,rare_freq,homoplasy,sasa",entropy,rare_freq,homoplasy,sasa,0.0645345760159342,-0.005219752987900547,0.9251694760390627,False
71,182,"homoplasy,esm2_llr,grantham,dnds_proxy",homoplasy,esm2_llr,grantham,dnds_proxy,0.06421800907742774,-0.005536319926407016,0.9206311636070263,False
72,152,"rare_freq,homoplasy,grantham,dnds_proxy",rare_freq,homoplasy,grantham,dnds_proxy,0.06411576729149457,-0.0056385617123401776,0.9191654225212287,False
73,107,"entropy,homoplasy,esm2_llr,grantham",entropy,homoplasy,esm2_llr,grantham,0.06343069540250497,-0.00632363360132977,0.9093442128734097,False
74,97,"entropy,rare_freq,plddt,dnds_proxy",entropy,rare_freq,plddt,dnds_proxy,0.06332905427414522,-0.006425274729689554,0.9078870828312848,False
75,104,"entropy,rare_freq,dnds_proxy,semantic_change",entropy,rare_freq,dnds_proxy,semantic_change,0.06305322395627451,-0.006701105047560237,0.9039327717252953,False
76,136,"entropy,sasa,grantham,dnds_proxy",entropy,sasa,grantham,dnds_proxy,0.0628842142266228,-0.006870114777211951,0.9015098435419789,False
77,193,"homoplasy,sasa,dnds_proxy,semantic_change",homoplasy,sasa,dnds_proxy,semantic_change,0.06247942442151605,-0.007274904582318706,0.8957067656414734,False
78,188,"homoplasy,plddt,grantham,dnds_proxy",homoplasy,plddt,grantham,dnds_proxy,0.06231595505186747,-0.007438373951967271,0.8933632642132023,False
79,135,"entropy,plddt,dnds_proxy,semantic_change",entropy,plddt,dnds_proxy,semantic_change,0.06230187352555582,-0.007452455478278924,0.8931613910604855,False
80,133,"entropy,plddt,grantham,dnds_proxy",entropy,plddt,grantham,dnds_proxy,0.062286179383391184,-0.007468149620443561,0.8929363994020643,False
81,28,"freq,rare_freq,homoplasy,esm2_llr",freq,rare_freq,homoplasy,esm2_llr,0.06203029750587195,-0.0077240314979628,0.889268069691586,False
82,143,"rare_freq,homoplasy,esm2_llr,dnds_proxy",rare_freq,homoplasy,esm2_llr,dnds_proxy,0.06123001702652912,-0.008524311977305625,0.8777952264892833,False
83,46,"freq,rare_freq,grantham,dnds_proxy",freq,rare_freq,grantham,dnds_proxy,0.06095712526673436,-0.008797203737100403,0.8738830426335723,False
84,22,"freq,entropy,sasa,grantham",freq,entropy,sasa,grantham,0.060865017474291655,-0.008889311529543096,0.8725625827602125,False
85,41,"freq,rare_freq,plddt,dnds_proxy",freq,rare_freq,plddt,dnds_proxy,0.060528344576789746,-0.009225984427045017,0.8677360307410051,False
86,84,"entropy,rare_freq,homoplasy,esm2_llr",entropy,rare_freq,homoplasy,esm2_llr,0.05995493279280706,-0.00979939621102769,0.8595155834630855,False
87,25,"freq,entropy,grantham,dnds_proxy",freq,entropy,grantham,dnds_proxy,0.059616196766549424,-0.010138132237285326,0.8546594543726743,False
88,49,"freq,homoplasy,esm2_llr,plddt",freq,homoplasy,esm2_llr,plddt,0.05950080057626628,-0.010253528427568478,0.8530051313803795,False
89,96,"entropy,rare_freq,plddt,grantham",entropy,rare_freq,plddt,grantham,0.058844165617635814,-0.010910163386198934,0.8435915943568297,False
90,150,"rare_freq,homoplasy,sasa,dnds_proxy",rare_freq,homoplasy,sasa,dnds_proxy,0.05861239499782409,-0.011141934006010656,0.8402689243072192,False
91,102,"entropy,rare_freq,grantham,dnds_proxy",entropy,rare_freq,grantham,dnds_proxy,0.0585443392273686,-0.011209989776466159,0.8392932748897938,False
92,191,"homoplasy,sasa,grantham,dnds_proxy",homoplasy,sasa,grantham,dnds_proxy,0.05762403965274846,-0.012130289351086287,0.8260998346006678,False
93,134,"entropy,plddt,grantham,semantic_change",entropy,plddt,grantham,semantic_change,0.05705191194632062,-0.012702417057514126,0.8178977958942761,False
94,20,"freq,entropy,plddt,dnds_proxy",freq,entropy,plddt,dnds_proxy,0.056394888124570004,-0.013359440879264751,0.8084786841182242,False
95,14,"freq,entropy,esm2_llr,sasa",freq,entropy,esm2_llr,sasa,0.056205602769699194,-0.013548726234135555,0.8057650840080375,False
96,131,"entropy,plddt,sasa,dnds_proxy",entropy,plddt,sasa,dnds_proxy,0.05482994575683194,-0.014924383247002806,0.7860436268237583,False
97,17,"freq,entropy,esm2_llr,semantic_change",freq,entropy,esm2_llr,semantic_change,0.05410626301061792,-0.015648065993216834,0.7756688908532604,False
98,5,"freq,entropy,rare_freq,dnds_proxy",freq,entropy,rare_freq,dnds_proxy,0.05380578425231397,-0.015948544751520768,0.7713612190199118,False
99,98,"entropy,rare_freq,plddt,semantic_change",entropy,rare_freq,plddt,semantic_change,0.05321947196956947,-0.01653485703426528,0.7629558298330663,False
100,45,"freq,rare_freq,sasa,semantic_change",freq,rare_freq,sasa,semantic_change,0.053145233402944934,-0.016609095600889818,0.7618915436778593,False
101,3,"freq,entropy,rare_freq,sasa",freq,entropy,rare_freq,sasa,0.05299499809391269,-0.016759330909922057,0.7597377661105347,False
102,42,"freq,rare_freq,plddt,semantic_change",freq,rare_freq,plddt,semantic_change,0.05297516809593047,-0.016779160907904277,0.759453482708122,False
103,148,"rare_freq,homoplasy,plddt,semantic_change",rare_freq,homoplasy,plddt,semantic_change,0.052874666761988286,-0.01687966224184646,0.7580126927904574,False
104,75,"freq,plddt,sasa,dnds_proxy",freq,plddt,sasa,dnds_proxy,0.05260778919043053,-0.017146539813404225,0.7541867285045263,False
105,181,"homoplasy,esm2_llr,sasa,semantic_change",homoplasy,esm2_llr,sasa,semantic_change,0.0525640188350767,-0.01719031016875804,0.7535592354732132,False
106,44,"freq,rare_freq,sasa,dnds_proxy",freq,rare_freq,sasa,dnds_proxy,0.052339037704313446,-0.017415291299521313,0.7503338997273717,False
107,178,"homoplasy,esm2_llr,plddt,semantic_change",homoplasy,esm2_llr,plddt,semantic_change,0.05216688938255187,-0.017587439621282872,0.7478659766003052,False
108,77,"freq,plddt,grantham,dnds_proxy",freq,plddt,grantham,dnds_proxy,0.052031156497392435,-0.017723172506442304,0.7459201061848364,False
109,16,"freq,entropy,esm2_llr,dnds_proxy",freq,entropy,esm2_llr,dnds_proxy,0.051365724875561125,-0.018388604128273627,0.7363804599530631,False
110,99,"entropy,rare_freq,sasa,grantham",entropy,rare_freq,sasa,grantham,0.05092606204558026,-0.018828266958254472,0.7300774413983768,False
111,151,"rare_freq,homoplasy,sasa,semantic_change",rare_freq,homoplasy,sasa,semantic_change,0.05006134269799245,-0.019692986305842295,0.7176808007893004,False
112,36,"freq,rare_freq,esm2_llr,grantham",freq,rare_freq,esm2_llr,grantham,0.049970476443360314,-0.019783852560474432,0.7163781396365118,False
113,92,"entropy,rare_freq,esm2_llr,grantham",entropy,rare_freq,esm2_llr,grantham,0.04989899176967505,-0.019855337234159696,0.7153533333670494,False
114,43,"freq,rare_freq,sasa,grantham",freq,rare_freq,sasa,grantham,0.049860420706614554,-0.01989390829722019,0.7148003775346111,False
115,170,"rare_freq,plddt,dnds_proxy,semantic_change",rare_freq,plddt,dnds_proxy,semantic_change,0.049829929486762216,-0.01992439951707253,0.7143632545590513,False
116,19,"freq,entropy,plddt,grantham",freq,entropy,plddt,grantham,0.04982860632792014,-0.019925722675914612,0.714344285717103,False
117,144,"rare_freq,homoplasy,esm2_llr,semantic_change",rare_freq,homoplasy,esm2_llr,semantic_change,0.048902153319281105,-0.020852175684553647,0.7010626296267963,False
118,132,"entropy,plddt,sasa,semantic_change",entropy,plddt,sasa,semantic_change,0.04863402531023495,-0.021120303693599796,0.6972187390342653,False
119,47,"freq,rare_freq,grantham,semantic_change",freq,rare_freq,grantham,semantic_change,0.04836856074291143,-0.02138576826092332,0.6934130316163225,False
120,125,"entropy,esm2_llr,sasa,dnds_proxy",entropy,esm2_llr,sasa,dnds_proxy,0.04801242954401095,-0.021741899459823803,0.6883075248472601,False
121,76,"freq,plddt,sasa,semantic_change",freq,plddt,sasa,semantic_change,0.04781739904398169,-0.021936929959853052,0.6855115621763478,False
122,192,"homoplasy,sasa,grantham,semantic_change",homoplasy,sasa,grantham,semantic_change,0.04767686650604955,-0.02207746249778521,0.6834968838052833,False
123,101,"entropy,rare_freq,sasa,semantic_change",entropy,rare_freq,sasa,semantic_change,0.04763301863939189,-0.02212131036444286,0.6828682795697635,False
124,100,"entropy,rare_freq,sasa,dnds_proxy",entropy,rare_freq,sasa,dnds_proxy,0.04746069528409572,-0.022293633719739026,0.6803978471570784,False
125,40,"freq,rare_freq,plddt,grantham",freq,rare_freq,plddt,grantham,0.047261534668695065,-0.02249279433513968,0.6775426750373709,False
126,176,"homoplasy,esm2_llr,plddt,grantham",homoplasy,esm2_llr,plddt,grantham,0.04673787244729171,-0.023016456556543042,0.6700354388717908,False
127,1,"freq,entropy,rare_freq,esm2_llr",freq,entropy,rare_freq,esm2_llr,0.04654478718374733,-0.023209541820087432,0.6672673631652097,False
128,73,"freq,esm2_llr,dnds_proxy,semantic_change",freq,esm2_llr,dnds_proxy,semantic_change,0.046446460778689684,-0.02330786822514506,0.6658577530885041,False
129,189,"homoplasy,plddt,grantham,semantic_change",homoplasy,plddt,grantham,semantic_change,0.045826073008573213,-0.023928255995261525,0.6569638567672828,False
130,94,"entropy,rare_freq,esm2_llr,semantic_change",entropy,rare_freq,esm2_llr,semantic_change,0.04551146893278074,-0.02424286007105401,0.6524536839896882,False
131,81,"freq,sasa,grantham,semantic_change",freq,sasa,grantham,semantic_change,0.0454178439191055,-0.024336485084729253,0.6511114731905548,False
132,78,"freq,plddt,grantham,semantic_change",freq,plddt,grantham,semantic_change,0.04493548916230445,-0.024818839841530296,0.6441964219859977,False
133,137,"entropy,sasa,grantham,semantic_change",entropy,sasa,grantham,semantic_change,0.0446811850125457,-0.02507314399128904,0.6405507106245598,False
134,38,"freq,rare_freq,esm2_llr,semantic_change",freq,rare_freq,esm2_llr,semantic_change,0.04372559941032575,-0.02602872959350899,0.6268514088626947,False
135,162,"rare_freq,esm2_llr,grantham,dnds_proxy",rare_freq,esm2_llr,grantham,dnds_proxy,0.04344246149043706,-0.026311867513397678,0.622792335771,False
136,15,"freq,entropy,esm2_llr,grantham",freq,entropy,esm2_llr,grantham,0.043433477270708926,-0.026320851733125827,0.6226635377471864,False
137,146,"rare_freq,homoplasy,plddt,grantham",rare_freq,homoplasy,plddt,grantham,0.042902343400804545,-0.026851985603030214,0.6150491878209592,False
138,127,"entropy,esm2_llr,grantham,dnds_proxy",entropy,esm2_llr,grantham,dnds_proxy,0.042840273439545266,-0.026914055564289486,0.614159351130596,False
139,209,"sasa,grantham,dnds_proxy,semantic_change",sasa,grantham,dnds_proxy,semantic_change,0.042767124731970474,-0.026987204271864268,0.6131106892250278,False
140,129,"entropy,esm2_llr,dnds_proxy,semantic_change",entropy,esm2_llr,dnds_proxy,semantic_change,0.0426932039748729,-0.027061125028961852,0.6120509591960355,False
141,175,"homoplasy,esm2_llr,plddt,sasa",homoplasy,esm2_llr,plddt,sasa,0.04256222497044321,-0.027192104033391548,0.6101732405468819,False
142,67,"freq,esm2_llr,plddt,semantic_change",freq,esm2_llr,plddt,semantic_change,0.04245015373483078,-0.027304175269003972,0.6085665841971911,False
143,39,"freq,rare_freq,plddt,sasa",freq,rare_freq,plddt,sasa,0.042257817225266954,-0.027496511778567795,0.6058092426484931,False
144,124,"entropy,esm2_llr,sasa,grantham",entropy,esm2_llr,sasa,grantham,0.04162848810794152,-0.028125840895893234,0.5967871629250852,False
145,141,"rare_freq,homoplasy,esm2_llr,sasa",rare_freq,homoplasy,esm2_llr,sasa,0.04145948060726191,-0.02829484839657284,0.5943642666963748,False
146,171,"rare_freq,sasa,grantham,dnds_proxy",rare_freq,sasa,grantham,dnds_proxy,0.040816922215972544,-0.028937406787862194,0.5851525317336022,False
147,200,"esm2_llr,plddt,dnds_proxy,semantic_change",esm2_llr,plddt,dnds_proxy,semantic_change,0.040793373318868266,-0.02896095568496648,0.5848149340899781,False
148,95,"entropy,rare_freq,plddt,sasa",entropy,rare_freq,plddt,sasa,0.040680322392094896,-0.02907400661173985,0.5831942328605654,False
149,69,"freq,esm2_llr,sasa,dnds_proxy",freq,esm2_llr,sasa,dnds_proxy,0.0401300742744089,-0.029624254729425852,0.5753058605467016,False
150,174,"rare_freq,grantham,dnds_proxy,semantic_change",rare_freq,grantham,dnds_proxy,semantic_change,0.03927890050398373,-0.030475428499851024,0.5631034097084406,False
151,34,"freq,rare_freq,esm2_llr,plddt",freq,rare_freq,esm2_llr,plddt,0.03899774574852819,-0.030756583255306558,0.5590727673171981,False
152,103,"entropy,rare_freq,grantham,semantic_change",entropy,rare_freq,grantham,semantic_change,0.03890534046205919,-0.03084898854177555,0.557748042561206,False
153,37,"freq,rare_freq,esm2_llr,dnds_proxy",freq,rare_freq,esm2_llr,dnds_proxy,0.038772167457845015,-0.030982161545989734,0.5558388706701416,False
154,68,"freq,esm2_llr,sasa,grantham",freq,esm2_llr,sasa,grantham,0.038650096024922184,-0.031104232978912575,0.5540888512137704,False
155,123,"entropy,esm2_llr,plddt,semantic_change",entropy,esm2_llr,plddt,semantic_change,0.038642981401892644,-0.0311113476019421,0.5539868557802089,False
156,71,"freq,esm2_llr,grantham,dnds_proxy",freq,esm2_llr,grantham,dnds_proxy,0.03803611626795824,-0.031718212735876515,0.5452868203472676,False
157,204,"esm2_llr,grantham,dnds_proxy,semantic_change",esm2_llr,grantham,dnds_proxy,semantic_change,0.037757665075730966,-0.0319966639281038,0.5412949363136335,False
158,164,"rare_freq,esm2_llr,dnds_proxy,semantic_change",rare_freq,esm2_llr,dnds_proxy,semantic_change,0.037702787752314025,-0.03205154125152073,0.5405082134793571,False
159,173,"rare_freq,sasa,dnds_proxy,semantic_change",rare_freq,sasa,dnds_proxy,semantic_change,0.03759267034624601,-0.03216165865758872,0.538929567284338,False
160,183,"homoplasy,esm2_llr,grantham,semantic_change",homoplasy,esm2_llr,grantham,semantic_change,0.036478336651053475,-0.033275992352781274,0.522954448447896,False
161,93,"entropy,rare_freq,esm2_llr,dnds_proxy",entropy,rare_freq,esm2_llr,dnds_proxy,0.03614553733814976,-0.033608791665684985,0.5181834282451867,False
162,166,"rare_freq,plddt,sasa,dnds_proxy",rare_freq,plddt,sasa,dnds_proxy,0.03607423082064911,-0.03368009818318563,0.5171611760277405,False
163,153,"rare_freq,homoplasy,grantham,semantic_change",rare_freq,homoplasy,grantham,semantic_change,0.03581419438522251,-0.03394013461861225,0.5134332864595919,False
164,208,"plddt,grantham,dnds_proxy,semantic_change",plddt,grantham,dnds_proxy,semantic_change,0.034898527032230224,-0.03485580197160453,0.5003062538285139,False
165,70,"freq,esm2_llr,sasa,semantic_change",freq,esm2_llr,sasa,semantic_change,0.03468001191163902,-0.03507431709219574,0.4971736149842754,False
166,207,"plddt,sasa,dnds_proxy,semantic_change",plddt,sasa,dnds_proxy,semantic_change,0.034578468658187804,-0.03517586034564694,0.4957178880795606,False
167,90,"entropy,rare_freq,esm2_llr,plddt",entropy,rare_freq,esm2_llr,plddt,0.0345363046277934,-0.03521802437604135,0.4951134233675269,False
168,149,"rare_freq,homoplasy,sasa,grantham",rare_freq,homoplasy,sasa,grantham,0.03418703737095601,-0.03556729163287875,0.4901063182627214,False
169,168,"rare_freq,plddt,grantham,dnds_proxy",rare_freq,plddt,grantham,dnds_proxy,0.033602642179728144,-0.03615168682410661,0.48172841255315973,False
170,185,"homoplasy,plddt,sasa,grantham",homoplasy,plddt,sasa,grantham,0.03344462855395313,-0.036309700449881625,0.47946312482074777,False
171,142,"rare_freq,homoplasy,esm2_llr,grantham",rare_freq,homoplasy,esm2_llr,grantham,0.03278458742678486,-0.0369697415770499,0.4700007568703374,False
172,201,"esm2_llr,sasa,grantham,dnds_proxy",esm2_llr,sasa,grantham,dnds_proxy,0.032322927819956236,-0.03743140118387852,0.4633823919111784,False
173,74,"freq,plddt,sasa,grantham",freq,plddt,sasa,grantham,0.03130257934787949,-0.03845174965595526,0.4487546478464244,False
174,126,"entropy,esm2_llr,sasa,semantic_change",entropy,esm2_llr,sasa,semantic_change,0.030698296657948123,-0.03905603234588663,0.44009163440251114,False
175,72,"freq,esm2_llr,grantham,semantic_change",freq,esm2_llr,grantham,semantic_change,0.030522337348158523,-0.03923199165567623,0.4375690768451167,False
176,203,"esm2_llr,sasa,dnds_proxy,semantic_change",esm2_llr,sasa,dnds_proxy,semantic_change,0.030295368766765706,-0.039458960237069046,0.43431524895179213,False
177,128,"entropy,esm2_llr,grantham,semantic_change",entropy,esm2_llr,grantham,semantic_change,0.030284241743228427,-0.039470087260606336,0.43415573163299365,False
178,145,"rare_freq,homoplasy,plddt,sasa",rare_freq,homoplasy,plddt,sasa,0.029844676857620985,-0.039909652146213774,0.4278541172115679,False
179,157,"rare_freq,esm2_llr,plddt,dnds_proxy",rare_freq,esm2_llr,plddt,dnds_proxy,0.02929328483541152,-0.04046104416842323,0.4199493458506513,False
180,179,"homoplasy,esm2_llr,sasa,grantham",homoplasy,esm2_llr,sasa,grantham,0.02794671053560045,-0.0418076184682343,0.40064481924934114,False
181,13,"freq,entropy,esm2_llr,plddt",freq,entropy,esm2_llr,plddt,0.02743334587850534,-0.04232098312532941,0.39328520925199045,False
