fold_held_out,full10_mcc,fixed4_mcc,delta_fixed4_minus_full10,configuration,k_features,mcc
SARS-CoV-2,,,,cumulative_top_10,10.0,0.028419332730392658
H3N2,,,,cumulative_top_10,10.0,0.13012617274960553
Norovirus,,,,cumulative_top_10,10.0,0.28144431327384084
HIV-1,,,,cumulative_top_10,10.0,0.057180745225917574
Dengue,,,,cumulative_top_10,10.0,0.081950859734492
RSV,,,,cumulative_top_10,10.0,-0.06475239082381762
Influenza_B,,,,cumulative_top_10,10.0,0.21857219780854706
MERS,,,,cumulative_top_10,10.0,0.003057074917215283
HCV,,,,cumulative_top_10,10.0,0.12338338489401283
Zika,,,,cumulative_top_10,10.0,-0.02308864363138913
Rabies,,,,cumulative_top_10,10.0,-0.04909864869034983
EV-A71,,,,cumulative_top_10,10.0,0.04985754985754986
