threshold,pathogen,best_combo,dms_f1,n_gt_positions
10,SARS-CoV-2,"E*rare + SWAN(w=20,k=1.5)",0.0549,126
10,SARS-CoV-2,"E*rare + SWAN(w=20,k=2.0)",0.0267,126
10,SARS-CoV-2,"E*rare + SWAN(w=50,k=1.0)",0.163,126
10,SARS-CoV-2,"E*rare + SWAN(w=50,k=1.5)",0.1041,126
10,SARS-CoV-2,"E*rare + SWAN(w=50,k=2.0)",0.0729,126
10,SARS-CoV-2,P*E*rare + Wavelet(t=1.0),0.1423,126
10,SARS-CoV-2,P*E*rare + Wavelet(t=1.5),0.0962,126
10,SARS-CoV-2,P*E*rare + Wavelet(t=2.0),0.0565,126
10,SARS-CoV-2,P*E*rare + KDE(p=75),0.1633,126
10,SARS-CoV-2,P*E*rare + KDE(p=80),0.1693,126
10,SARS-CoV-2,P*E*rare + KDE(p=85),0.1778,126
10,SARS-CoV-2,P*E*rare + SlidingTest(p=0.01),0.0272,126
10,SARS-CoV-2,P*E*rare + SlidingTest(p=0.05),0.0272,126
10,SARS-CoV-2,P*E*rare + LocalContrast(z=1.0),0.0776,126
10,SARS-CoV-2,P*E*rare + LocalContrast(z=1.5),0.0,126
10,SARS-CoV-2,P*E*rare + LocalContrast(z=2.0),0.0,126
10,SARS-CoV-2,"P*E*rare + CUSUM(d=0.3,h=3.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,P*E*rare + AdaptiveKnee,0.0,126
10,SARS-CoV-2,P*E*rare + ScoreDBSCAN(ep=8),0.1932,126
10,SARS-CoV-2,P*E*rare + ScoreDBSCAN(ep=15),0.1932,126
10,SARS-CoV-2,P*E*rare + Spectral(z=1.5),0.0292,126
10,SARS-CoV-2,P*E*rare + Spectral(z=2.0),0.0148,126
10,SARS-CoV-2,P*E*rare + Bayes(prior=0.1),0.0,126
10,SARS-CoV-2,P*E*rare + Bayes(prior=0.15),0.0,126
10,SARS-CoV-2,P*E*rare + Ensemble(v>=2),0.073,126
10,SARS-CoV-2,P*E*rare + Ensemble(v>=3),0.0,126
10,SARS-CoV-2,P*E*rare + AdaptWin(s=90),0.1793,126
10,SARS-CoV-2,P*E*rare + AdaptWin(s=85),0.1838,126
10,SARS-CoV-2,P*E*rare + FreqThresh(p=80),0.1657,126
10,SARS-CoV-2,P*E*rare + FreqThresh(p=85),0.1282,126
10,SARS-CoV-2,P*E*rare + FreqThresh(p=90),0.0662,126
10,SARS-CoV-2,P*E*rare + FreqThresh(p=95),0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=20,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=20,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=50,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E*rare + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,minority_E + Wavelet(t=1.0),0.0753,126
10,SARS-CoV-2,minority_E + Wavelet(t=1.5),0.0455,126
10,SARS-CoV-2,minority_E + Wavelet(t=2.0),0.0113,126
10,SARS-CoV-2,minority_E + KDE(p=75),0.1361,126
10,SARS-CoV-2,minority_E + KDE(p=80),0.1005,126
10,SARS-CoV-2,minority_E + KDE(p=85),0.0889,126
10,SARS-CoV-2,minority_E + SlidingTest(p=0.01),0.0255,126
10,SARS-CoV-2,minority_E + SlidingTest(p=0.05),0.0776,126
10,SARS-CoV-2,minority_E + GradPeak(p=0.2),0.0,126
10,SARS-CoV-2,minority_E + LocalContrast(z=1.0),0.025,126
10,SARS-CoV-2,minority_E + LocalContrast(z=1.5),0.0179,126
10,SARS-CoV-2,minority_E + LocalContrast(z=2.0),0.0096,126
10,SARS-CoV-2,"minority_E + CUSUM(d=0.3,h=3.0)",0.0107,126
10,SARS-CoV-2,"minority_E + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"minority_E + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,minority_E + AdaptiveKnee,0.0093,126
10,SARS-CoV-2,minority_E + ScoreDBSCAN(ep=8),0.1929,126
10,SARS-CoV-2,minority_E + ScoreDBSCAN(ep=15),0.192,126
10,SARS-CoV-2,minority_E + Spectral(z=1.5),0.0092,126
10,SARS-CoV-2,minority_E + Spectral(z=2.0),0.01,126
10,SARS-CoV-2,minority_E + Bayes(prior=0.1),0.01,126
10,SARS-CoV-2,minority_E + Bayes(prior=0.15),0.0093,126
10,SARS-CoV-2,minority_E + Ensemble(v>=2),0.0159,126
10,SARS-CoV-2,minority_E + Ensemble(v>=3),0.0092,126
10,SARS-CoV-2,minority_E + AdaptWin(s=90),0.156,126
10,SARS-CoV-2,minority_E + AdaptWin(s=85),0.1957,126
10,SARS-CoV-2,minority_E + FreqThresh(p=80),0.0632,126
10,SARS-CoV-2,minority_E + FreqThresh(p=85),0.0253,126
10,SARS-CoV-2,minority_E + FreqThresh(p=90),0.0159,126
10,SARS-CoV-2,minority_E + FreqThresh(p=95),0.0106,126
10,SARS-CoV-2,"minority_E + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=20,k=1.0)",0.0105,126
10,SARS-CoV-2,"minority_E + SWAN(w=20,k=1.5)",0.0114,126
10,SARS-CoV-2,"minority_E + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=50,k=1.0)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"minority_E + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,minority_E + MutClust-Orig(g=10),0.1635,126
10,SARS-CoV-2,P*minority_E + Wavelet(t=1.0),0.024,126
10,SARS-CoV-2,P*minority_E + Wavelet(t=1.5),0.0,126
10,SARS-CoV-2,P*minority_E + Wavelet(t=2.0),0.0,126
10,SARS-CoV-2,P*minority_E + KDE(p=75),0.0862,126
10,SARS-CoV-2,P*minority_E + KDE(p=80),0.0794,126
10,SARS-CoV-2,P*minority_E + KDE(p=85),0.0381,126
10,SARS-CoV-2,P*minority_E + SlidingTest(p=0.01),0.012,126
10,SARS-CoV-2,P*minority_E + SlidingTest(p=0.05),0.0413,126
10,SARS-CoV-2,P*minority_E + LocalContrast(z=1.0),0.0169,126
10,SARS-CoV-2,P*minority_E + LocalContrast(z=1.5),0.0181,126
10,SARS-CoV-2,P*minority_E + LocalContrast(z=2.0),0.0096,126
10,SARS-CoV-2,"P*minority_E + CUSUM(d=0.3,h=3.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,P*minority_E + AdaptiveKnee,0.0093,126
10,SARS-CoV-2,P*minority_E + ScoreDBSCAN(ep=8),0.1925,126
10,SARS-CoV-2,P*minority_E + ScoreDBSCAN(ep=15),0.1916,126
10,SARS-CoV-2,P*minority_E + Spectral(z=1.5),0.0094,126
10,SARS-CoV-2,P*minority_E + Spectral(z=2.0),0.0103,126
10,SARS-CoV-2,P*minority_E + Bayes(prior=0.1),0.0102,126
10,SARS-CoV-2,P*minority_E + Bayes(prior=0.15),0.0094,126
10,SARS-CoV-2,P*minority_E + Ensemble(v>=2),0.0079,126
10,SARS-CoV-2,P*minority_E + Ensemble(v>=3),0.0091,126
10,SARS-CoV-2,P*minority_E + AdaptWin(s=90),0.0932,126
10,SARS-CoV-2,P*minority_E + AdaptWin(s=85),0.1917,126
10,SARS-CoV-2,P*minority_E + FreqThresh(p=80),0.0526,126
10,SARS-CoV-2,P*minority_E + FreqThresh(p=85),0.0251,126
10,SARS-CoV-2,P*minority_E + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,P*minority_E + FreqThresh(p=95),0.0106,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=20,k=1.0)",0.0109,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=20,k=1.5)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=50,k=1.0)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"P*minority_E + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,P*minority_E + MutClust-Orig(g=10),0.1462,126
10,SARS-CoV-2,P*E + Wavelet(t=1.0),0.0643,126
10,SARS-CoV-2,P*E + Wavelet(t=1.5),0.0191,126
10,SARS-CoV-2,P*E + Wavelet(t=2.0),0.0,126
10,SARS-CoV-2,P*E + KDE(p=75),0.0998,126
10,SARS-CoV-2,P*E + KDE(p=80),0.0688,126
10,SARS-CoV-2,P*E + KDE(p=85),0.0571,126
10,SARS-CoV-2,P*E + SlidingTest(p=0.01),0.0133,126
10,SARS-CoV-2,P*E + SlidingTest(p=0.05),0.039,126
10,SARS-CoV-2,P*E + GradPeak(p=0.2),0.0,126
10,SARS-CoV-2,P*E + LocalContrast(z=1.0),0.0084,126
10,SARS-CoV-2,P*E + LocalContrast(z=1.5),0.009,126
10,SARS-CoV-2,P*E + LocalContrast(z=2.0),0.0095,126
10,SARS-CoV-2,"P*E + CUSUM(d=0.3,h=3.0)",0.0,126
10,SARS-CoV-2,"P*E + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"P*E + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,P*E + AdaptiveKnee,0.0093,126
10,SARS-CoV-2,P*E + ScoreDBSCAN(ep=8),0.1929,126
10,SARS-CoV-2,P*E + ScoreDBSCAN(ep=15),0.1925,126
10,SARS-CoV-2,P*E + Spectral(z=1.5),0.0096,126
10,SARS-CoV-2,P*E + Spectral(z=2.0),0.0102,126
10,SARS-CoV-2,P*E + Bayes(prior=0.1),0.01,126
10,SARS-CoV-2,P*E + Bayes(prior=0.15),0.0093,126
10,SARS-CoV-2,P*E + Ensemble(v>=2),0.0078,126
10,SARS-CoV-2,P*E + Ensemble(v>=3),0.0091,126
10,SARS-CoV-2,P*E + AdaptWin(s=90),0.1563,126
10,SARS-CoV-2,P*E + AdaptWin(s=85),0.1869,126
10,SARS-CoV-2,P*E + FreqThresh(p=80),0.0847,126
10,SARS-CoV-2,P*E + FreqThresh(p=85),0.0306,126
10,SARS-CoV-2,P*E + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,P*E + FreqThresh(p=95),0.0105,126
10,SARS-CoV-2,"P*E + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=20,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=20,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=50,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,P*E + MutClust-Orig(g=10),0.1769,126
10,SARS-CoV-2,H-score + Wavelet(t=1.0),0.0872,126
10,SARS-CoV-2,H-score + Wavelet(t=1.5),0.0379,126
10,SARS-CoV-2,H-score + Wavelet(t=2.0),0.0364,126
10,SARS-CoV-2,H-score + KDE(p=75),0.1859,126
10,SARS-CoV-2,H-score + KDE(p=80),0.1693,126
10,SARS-CoV-2,H-score + KDE(p=85),0.1397,126
10,SARS-CoV-2,H-score + SlidingTest(p=0.01),0.038,126
10,SARS-CoV-2,H-score + SlidingTest(p=0.05),0.0845,126
10,SARS-CoV-2,H-score + GradPeak(p=0.2),0.0526,126
10,SARS-CoV-2,H-score + GradPeak(p=0.5),0.0526,126
10,SARS-CoV-2,H-score + LocalContrast(z=1.0),0.0084,126
10,SARS-CoV-2,H-score + LocalContrast(z=1.5),0.0086,126
10,SARS-CoV-2,H-score + LocalContrast(z=2.0),0.0091,126
10,SARS-CoV-2,"H-score + CUSUM(d=0.3,h=3.0)",0.0101,126
10,SARS-CoV-2,"H-score + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"H-score + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,H-score + AdaptiveKnee,0.009,126
10,SARS-CoV-2,H-score + ScoreDBSCAN(ep=8),0.1936,126
10,SARS-CoV-2,H-score + ScoreDBSCAN(ep=15),0.1928,126
10,SARS-CoV-2,H-score + Spectral(z=1.5),0.0089,126
10,SARS-CoV-2,H-score + Spectral(z=2.0),0.0095,126
10,SARS-CoV-2,H-score + Bayes(prior=0.1),0.0093,126
10,SARS-CoV-2,H-score + Bayes(prior=0.15),0.0093,126
10,SARS-CoV-2,H-score + Ensemble(v>=2),0.0078,126
10,SARS-CoV-2,H-score + Ensemble(v>=3),0.0091,126
10,SARS-CoV-2,H-score + AdaptWin(s=90),0.1563,126
10,SARS-CoV-2,H-score + AdaptWin(s=85),0.1869,126
10,SARS-CoV-2,H-score + FreqThresh(p=80),0.0847,126
10,SARS-CoV-2,H-score + FreqThresh(p=85),0.0306,126
10,SARS-CoV-2,H-score + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,H-score + FreqThresh(p=95),0.0105,126
10,SARS-CoV-2,"H-score + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"H-score + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"H-score + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"H-score + SWAN(w=20,k=1.0)",0.0102,126
10,SARS-CoV-2,"H-score + SWAN(w=20,k=1.5)",0.0113,126
10,SARS-CoV-2,"H-score + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"H-score + SWAN(w=50,k=1.0)",0.0108,126
10,SARS-CoV-2,"H-score + SWAN(w=50,k=1.5)",0.012,126
10,SARS-CoV-2,"H-score + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,H-score + MutClust-Orig(g=10),0.1878,126
10,SARS-CoV-2,E_only + Wavelet(t=1.0),0.0665,126
10,SARS-CoV-2,E_only + Wavelet(t=1.5),0.0446,126
10,SARS-CoV-2,E_only + Wavelet(t=2.0),0.0237,126
10,SARS-CoV-2,E_only + KDE(p=75),0.1723,126
10,SARS-CoV-2,E_only + KDE(p=80),0.1693,126
10,SARS-CoV-2,E_only + KDE(p=85),0.1206,126
10,SARS-CoV-2,E_only + SlidingTest(p=0.01),0.0143,126
10,SARS-CoV-2,E_only + SlidingTest(p=0.05),0.067,126
10,SARS-CoV-2,E_only + GradPeak(p=0.2),0.0532,126
10,SARS-CoV-2,E_only + GradPeak(p=0.5),0.0,126
10,SARS-CoV-2,E_only + LocalContrast(z=1.0),0.0084,126
10,SARS-CoV-2,E_only + LocalContrast(z=1.5),0.0088,126
10,SARS-CoV-2,E_only + LocalContrast(z=2.0),0.0094,126
10,SARS-CoV-2,"E_only + CUSUM(d=0.3,h=3.0)",0.0106,126
10,SARS-CoV-2,"E_only + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"E_only + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,E_only + AdaptiveKnee,0.009,126
10,SARS-CoV-2,E_only + ScoreDBSCAN(ep=8),0.195,126
10,SARS-CoV-2,E_only + ScoreDBSCAN(ep=15),0.1933,126
10,SARS-CoV-2,E_only + Spectral(z=1.5),0.0091,126
10,SARS-CoV-2,E_only + Spectral(z=2.0),0.01,126
10,SARS-CoV-2,E_only + Bayes(prior=0.1),0.0096,126
10,SARS-CoV-2,E_only + Bayes(prior=0.15),0.0093,126
10,SARS-CoV-2,E_only + Ensemble(v>=2),0.0079,126
10,SARS-CoV-2,E_only + Ensemble(v>=3),0.0093,126
10,SARS-CoV-2,E_only + AdaptWin(s=90),0.165,126
10,SARS-CoV-2,E_only + AdaptWin(s=85),0.1969,126
10,SARS-CoV-2,E_only + FreqThresh(p=80),0.1061,126
10,SARS-CoV-2,E_only + FreqThresh(p=85),0.0306,126
10,SARS-CoV-2,E_only + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,E_only + FreqThresh(p=95),0.0105,126
10,SARS-CoV-2,"E_only + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=20,k=1.0)",0.0103,126
10,SARS-CoV-2,"E_only + SWAN(w=20,k=1.5)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=50,k=1.0)",0.0112,126
10,SARS-CoV-2,"E_only + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"E_only + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,E_only + MutClust-Orig(g=10),0.1849,126
10,SARS-CoV-2,P*E^2 + Wavelet(t=1.0),0.0526,126
10,SARS-CoV-2,P*E^2 + Wavelet(t=1.5),0.0271,126
10,SARS-CoV-2,P*E^2 + Wavelet(t=2.0),0.0,126
10,SARS-CoV-2,P*E^2 + KDE(p=75),0.0862,126
10,SARS-CoV-2,P*E^2 + KDE(p=80),0.0794,126
10,SARS-CoV-2,P*E^2 + KDE(p=85),0.0381,126
10,SARS-CoV-2,P*E^2 + SlidingTest(p=0.01),0.0125,126
10,SARS-CoV-2,P*E^2 + SlidingTest(p=0.05),0.0392,126
10,SARS-CoV-2,P*E^2 + GradPeak(p=0.2),0.0245,126
10,SARS-CoV-2,P*E^2 + GradPeak(p=0.5),0.0,126
10,SARS-CoV-2,P*E^2 + LocalContrast(z=1.0),0.0086,126
10,SARS-CoV-2,P*E^2 + LocalContrast(z=1.5),0.009,126
10,SARS-CoV-2,P*E^2 + LocalContrast(z=2.0),0.0096,126
10,SARS-CoV-2,"P*E^2 + CUSUM(d=0.3,h=3.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + CUSUM(d=0.5,h=5.0)",0.0,126
10,SARS-CoV-2,P*E^2 + AdaptiveKnee,0.0093,126
10,SARS-CoV-2,P*E^2 + ScoreDBSCAN(ep=8),0.1929,126
10,SARS-CoV-2,P*E^2 + ScoreDBSCAN(ep=15),0.1925,126
10,SARS-CoV-2,P*E^2 + Spectral(z=1.5),0.01,126
10,SARS-CoV-2,P*E^2 + Spectral(z=2.0),0.0107,126
10,SARS-CoV-2,P*E^2 + Bayes(prior=0.1),0.0104,126
10,SARS-CoV-2,P*E^2 + Bayes(prior=0.15),0.0094,126
10,SARS-CoV-2,P*E^2 + Ensemble(v>=2),0.0078,126
10,SARS-CoV-2,P*E^2 + Ensemble(v>=3),0.0089,126
10,SARS-CoV-2,P*E^2 + AdaptWin(s=90),0.1105,126
10,SARS-CoV-2,P*E^2 + AdaptWin(s=85),0.1814,126
10,SARS-CoV-2,P*E^2 + FreqThresh(p=80),0.1061,126
10,SARS-CoV-2,P*E^2 + FreqThresh(p=85),0.0306,126
10,SARS-CoV-2,P*E^2 + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,P*E^2 + FreqThresh(p=95),0.0104,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=10,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=10,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=10,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=20,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=20,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=20,k=2.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=50,k=1.0)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=50,k=1.5)",0.0,126
10,SARS-CoV-2,"P*E^2 + SWAN(w=50,k=2.0)",0.0,126
10,SARS-CoV-2,P*E^2 + MutClust-Orig(g=10),0.181,126
10,SARS-CoV-2,rank(P*E) + Wavelet(t=1.0),0.0565,126
10,SARS-CoV-2,rank(P*E) + Wavelet(t=1.5),0.0486,126
10,SARS-CoV-2,rank(P*E) + Wavelet(t=2.0),0.0357,126
10,SARS-CoV-2,rank(P*E) + KDE(p=75),0.2313,126
10,SARS-CoV-2,rank(P*E) + KDE(p=80),0.2487,126
10,SARS-CoV-2,rank(P*E) + KDE(p=85),0.1905,126
10,SARS-CoV-2,rank(P*E) + SlidingTest(p=0.01),0.1958,126
10,SARS-CoV-2,rank(P*E) + SlidingTest(p=0.05),0.1757,126
10,SARS-CoV-2,rank(P*E) + GradPeak(p=0.2),0.0339,126
10,SARS-CoV-2,rank(P*E) + GradPeak(p=0.5),0.0,126
10,SARS-CoV-2,rank(P*E) + LocalContrast(z=1.0),0.0397,126
10,SARS-CoV-2,rank(P*E) + LocalContrast(z=1.5),0.0093,126
10,SARS-CoV-2,rank(P*E) + LocalContrast(z=2.0),0.0121,126
10,SARS-CoV-2,"rank(P*E) + CUSUM(d=0.3,h=3.0)",0.0674,126
10,SARS-CoV-2,"rank(P*E) + CUSUM(d=0.5,h=4.0)",0.0,126
10,SARS-CoV-2,"rank(P*E) + CUSUM(d=0.5,h=5.0)",0.0292,126
10,SARS-CoV-2,rank(P*E) + AdaptiveKnee,0.1698,126
10,SARS-CoV-2,rank(P*E) + ScoreDBSCAN(ep=8),0.1435,126
10,SARS-CoV-2,rank(P*E) + ScoreDBSCAN(ep=15),0.1799,126
10,SARS-CoV-2,rank(P*E) + Spectral(z=1.5),0.0233,126
10,SARS-CoV-2,rank(P*E) + Spectral(z=2.0),0.01,126
10,SARS-CoV-2,rank(P*E) + Ensemble(v>=2),0.0077,126
10,SARS-CoV-2,rank(P*E) + Ensemble(v>=3),0.0092,126
10,SARS-CoV-2,rank(P*E) + AdaptWin(s=90),0.1105,126
10,SARS-CoV-2,rank(P*E) + AdaptWin(s=85),0.18,126
10,SARS-CoV-2,rank(P*E) + FreqThresh(p=80),0.0847,126
10,SARS-CoV-2,rank(P*E) + FreqThresh(p=85),0.0306,126
10,SARS-CoV-2,rank(P*E) + FreqThresh(p=90),0.0079,126
10,SARS-CoV-2,rank(P*E) + FreqThresh(p=95),0.0105,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=10,k=1.0)",0.1664,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=10,k=1.5)",0.1502,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=10,k=2.0)",0.1636,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=20,k=1.0)",0.1749,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=20,k=1.5)",0.1652,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=20,k=2.0)",0.1663,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=50,k=1.0)",0.1727,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=50,k=1.5)",0.1724,126
10,SARS-CoV-2,"rank(P*E) + SWAN(w=50,k=2.0)",0.1821,126
10,SARS-CoV-2,rank(P*E) + MutClust-Orig(g=10),0.1819,126
20,SARS-CoV-2,E*rare + Wavelet(t=1.0),0.0978,252
20,SARS-CoV-2,E*rare + Wavelet(t=1.5),0.0755,252
20,SARS-CoV-2,E*rare + Wavelet(t=2.0),0.0612,252
20,SARS-CoV-2,E*rare + KDE(p=75),0.2575,252
20,SARS-CoV-2,E*rare + KDE(p=80),0.2024,252
20,SARS-CoV-2,E*rare + KDE(p=85),0.1905,252
20,SARS-CoV-2,E*rare + SlidingTest(p=0.01),0.0417,252
20,SARS-CoV-2,E*rare + SlidingTest(p=0.05),0.041,252
20,SARS-CoV-2,E*rare + LocalContrast(z=1.0),0.0513,252
20,SARS-CoV-2,E*rare + LocalContrast(z=1.5),0.0066,252
20,SARS-CoV-2,E*rare + LocalContrast(z=2.0),0.007,252
20,SARS-CoV-2,"E*rare + CUSUM(d=0.3,h=3.0)",0.0,252
