pathogen,scoring,detector,family,n_detected,n_escape,n_overlap,enrichment,p_value
SARS-CoV-2,freq,"SWAN(w=50,k=1.5)",SWAN,2,30,0,0.0,1.0
SARS-CoV-2,freq,"SWAN(w=50,k=2.0)",SWAN,2,30,0,0.0,1.0
SARS-CoV-2,freq,MutClust-Orig(g=10),MutClust-Orig,0,30,0,0.0,1.0
SARS-CoV-2,entropy,Wavelet(t=1.0),Wavelet,117,30,2,0.7174,0.7852122940021142
SARS-CoV-2,entropy,Wavelet(t=1.5),Wavelet,74,30,1,0.5671,0.8410522421137145
SARS-CoV-2,entropy,Wavelet(t=2.0),Wavelet,48,30,1,0.8743,0.6927384139382711
SARS-CoV-2,entropy,KDE(p=75),KDE,315,30,20,2.6646,1.332716466640608e-06
SARS-CoV-2,entropy,KDE(p=80),KDE,252,30,13,2.1649,0.0027883791854313605
SARS-CoV-2,entropy,KDE(p=85),KDE,189,30,7,1.5543,0.15046955163615938
SARS-CoV-2,entropy,SlidingTest(p=0.01),SlidingTest,21,30,1,1.9984,0.39984798104933955
SARS-CoV-2,entropy,SlidingTest(p=0.05),SlidingTest,21,30,1,1.9984,0.39984798104933955
SARS-CoV-2,entropy,GradPeak(p=0.2),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,entropy,GradPeak(p=0.5),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,entropy,LocalContrast(z=1.0),LocalContrast,46,30,2,1.8246,0.30042257592124366
SARS-CoV-2,entropy,LocalContrast(z=1.5),LocalContrast,45,30,2,1.8652,0.29140829307183125
SARS-CoV-2,entropy,LocalContrast(z=2.0),LocalContrast,40,30,1,1.0492,0.62473693333387
SARS-CoV-2,entropy,"CUSUM(d=0.3,h=3.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"CUSUM(d=0.5,h=4.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"CUSUM(d=0.5,h=5.0)",CUSUM,1,30,0,0.0,1.0
SARS-CoV-2,entropy,AdaptiveKnee,AdaptiveKnee,13,30,1,3.2282,0.2702421616851818
SARS-CoV-2,entropy,ScoreDBSCAN(ep=8),ScoreDBSCAN,6,30,1,6.9944,0.13497185425888408
SARS-CoV-2,entropy,ScoreDBSCAN(ep=15),ScoreDBSCAN,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,entropy,Spectral(z=1.5),Spectral,14,30,1,2.9976,0.28781257512775366
SARS-CoV-2,entropy,Spectral(z=2.0),Spectral,8,30,1,5.2458,0.17591406568072274
SARS-CoV-2,entropy,Bayes(prior=0.1),Bayes,48,30,2,1.7486,0.3184095781270273
SARS-CoV-2,entropy,Bayes(prior=0.15),Bayes,48,30,2,1.7486,0.3184095781270273
SARS-CoV-2,entropy,AdaptWin(s=90),AdaptWin,6,30,0,0.0,1.0
SARS-CoV-2,entropy,AdaptWin(s=85),AdaptWin,8,30,1,5.2458,0.17591406568072274
SARS-CoV-2,entropy,FreqThresh(p=80),FreqThresh,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,entropy,FreqThresh(p=85),FreqThresh,8,30,1,5.2458,0.17591406568072274
SARS-CoV-2,entropy,FreqThresh(p=90),FreqThresh,6,30,0,0.0,1.0
SARS-CoV-2,entropy,FreqThresh(p=95),FreqThresh,3,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=10,k=1.0)",SWAN,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,entropy,"SWAN(w=10,k=1.5)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=10,k=2.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=20,k=1.0)",SWAN,5,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=20,k=1.5)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=20,k=2.0)",SWAN,1,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=50,k=1.0)",SWAN,2,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=50,k=1.5)",SWAN,2,30,0,0.0,1.0
SARS-CoV-2,entropy,"SWAN(w=50,k=2.0)",SWAN,2,30,0,0.0,1.0
SARS-CoV-2,entropy,MutClust-Orig(g=10),MutClust-Orig,0,30,0,0.0,1.0
SARS-CoV-2,rare_freq,Wavelet(t=1.0),Wavelet,178,30,18,4.2438,4.271757088749265e-09
SARS-CoV-2,rare_freq,Wavelet(t=1.5),Wavelet,97,30,13,5.6244,6.150699559257674e-08
SARS-CoV-2,rare_freq,Wavelet(t=2.0),Wavelet,49,30,6,5.1388,0.0007418538582121586
SARS-CoV-2,rare_freq,KDE(p=75),KDE,315,30,15,1.9984,0.0024692037388812775
SARS-CoV-2,rare_freq,KDE(p=80),KDE,252,30,8,1.3323,0.23777090823701585
SARS-CoV-2,rare_freq,KDE(p=85),KDE,189,30,6,1.3323,0.28863885536749434
SARS-CoV-2,rare_freq,SlidingTest(p=0.01),SlidingTest,81,30,5,2.5905,0.0388392255906117
SARS-CoV-2,rare_freq,SlidingTest(p=0.05),SlidingTest,91,30,5,2.3059,0.05955604322452164
SARS-CoV-2,rare_freq,GradPeak(p=0.2),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,rare_freq,GradPeak(p=0.5),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,rare_freq,LocalContrast(z=1.0),LocalContrast,45,30,2,1.8652,0.29140829307183125
SARS-CoV-2,rare_freq,LocalContrast(z=1.5),LocalContrast,44,30,2,1.9076,0.28238624074497715
SARS-CoV-2,rare_freq,LocalContrast(z=2.0),LocalContrast,35,30,1,1.199,0.5750765978997829
SARS-CoV-2,rare_freq,"CUSUM(d=0.3,h=3.0)",CUSUM,46,30,2,1.8246,0.30042257592124366
SARS-CoV-2,rare_freq,"CUSUM(d=0.5,h=4.0)",CUSUM,17,30,1,2.4686,0.33810483883145837
SARS-CoV-2,rare_freq,"CUSUM(d=0.5,h=5.0)",CUSUM,16,30,1,2.6229,0.3217348018693345
SARS-CoV-2,rare_freq,AdaptiveKnee,AdaptiveKnee,1259,30,30,1.0,1.0
SARS-CoV-2,rare_freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,6,30,1,6.9944,0.13497185425888408
SARS-CoV-2,rare_freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,12,30,1,3.4972,0.2522530613158766
SARS-CoV-2,rare_freq,Spectral(z=1.5),Spectral,72,30,3,1.7486,0.2434390131255469
SARS-CoV-2,rare_freq,Spectral(z=2.0),Spectral,56,30,2,1.4988,0.3892210962974487
SARS-CoV-2,rare_freq,Bayes(prior=0.1),Bayes,46,30,2,1.8246,0.30042257592124366
SARS-CoV-2,rare_freq,Bayes(prior=0.15),Bayes,46,30,2,1.8246,0.30042257592124366
SARS-CoV-2,rare_freq,AdaptWin(s=90),AdaptWin,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,rare_freq,AdaptWin(s=85),AdaptWin,10,30,1,4.1967,0.21498008666303314
SARS-CoV-2,rare_freq,FreqThresh(p=80),FreqThresh,10,30,1,4.1967,0.21498008666303314
SARS-CoV-2,rare_freq,FreqThresh(p=85),FreqThresh,10,30,1,4.1967,0.21498008666303314
SARS-CoV-2,rare_freq,FreqThresh(p=90),FreqThresh,5,30,1,8.3933,0.11377018402013124
SARS-CoV-2,rare_freq,FreqThresh(p=95),FreqThresh,3,30,1,13.9889,0.0698496292354446
SARS-CoV-2,rare_freq,"SWAN(w=10,k=1.0)",SWAN,36,30,2,2.3315,0.21055897354910655
SARS-CoV-2,rare_freq,"SWAN(w=10,k=1.5)",SWAN,36,30,2,2.3315,0.21055897354910655
SARS-CoV-2,rare_freq,"SWAN(w=10,k=2.0)",SWAN,24,30,2,3.4972,0.109604526446587
SARS-CoV-2,rare_freq,"SWAN(w=20,k=1.0)",SWAN,35,30,2,2.3981,0.2017129391506384
SARS-CoV-2,rare_freq,"SWAN(w=20,k=1.5)",SWAN,35,30,2,2.3981,0.2017129391506384
SARS-CoV-2,rare_freq,"SWAN(w=20,k=2.0)",SWAN,19,30,1,2.2088,0.3697068434160899
SARS-CoV-2,rare_freq,"SWAN(w=50,k=1.0)",SWAN,23,30,1,1.8246,0.42859355902802787
SARS-CoV-2,rare_freq,"SWAN(w=50,k=1.5)",SWAN,19,30,1,2.2088,0.3697068434160899
SARS-CoV-2,rare_freq,"SWAN(w=50,k=2.0)",SWAN,15,30,1,2.7978,0.3049737178957597
SARS-CoV-2,rare_freq,MutClust-Orig(g=10),MutClust-Orig,0,30,0,0.0,1.0
SARS-CoV-2,homoplasy,Wavelet(t=1.0),Wavelet,173,30,10,2.4258,0.00465305216177687
SARS-CoV-2,homoplasy,Wavelet(t=1.5),Wavelet,105,30,7,2.7978,0.00936704825941534
SARS-CoV-2,homoplasy,Wavelet(t=2.0),Wavelet,76,30,6,3.3132,0.00736127500685058
SARS-CoV-2,homoplasy,KDE(p=75),KDE,315,30,10,1.3323,0.19475223959760757
SARS-CoV-2,homoplasy,KDE(p=80),KDE,252,30,3,0.4996,0.9577780649799685
SARS-CoV-2,homoplasy,KDE(p=85),KDE,189,30,0,0.0,1.0
SARS-CoV-2,homoplasy,SlidingTest(p=0.01),SlidingTest,104,30,7,2.8247,0.008891029970738568
SARS-CoV-2,homoplasy,SlidingTest(p=0.05),SlidingTest,128,30,7,2.2951,0.026373315886044923
SARS-CoV-2,homoplasy,GradPeak(p=0.2),GradPeak,8,30,0,0.0,1.0
SARS-CoV-2,homoplasy,GradPeak(p=0.5),GradPeak,0,30,0,0.0,1.0
SARS-CoV-2,homoplasy,LocalContrast(z=1.0),LocalContrast,157,30,2,0.5346,0.9057053941471928
SARS-CoV-2,homoplasy,LocalContrast(z=1.5),LocalContrast,123,30,2,0.6824,0.80906722262083
SARS-CoV-2,homoplasy,LocalContrast(z=2.0),LocalContrast,85,30,1,0.4937,0.8802631956900486
SARS-CoV-2,homoplasy,"CUSUM(d=0.3,h=3.0)",CUSUM,40,30,1,1.0492,0.62473693333387
SARS-CoV-2,homoplasy,"CUSUM(d=0.5,h=4.0)",CUSUM,22,30,1,1.9076,0.41439124483651235
SARS-CoV-2,homoplasy,"CUSUM(d=0.5,h=5.0)",CUSUM,15,30,1,2.7978,0.3049737178957597
SARS-CoV-2,homoplasy,AdaptiveKnee,AdaptiveKnee,1259,30,30,1.0,1.0
SARS-CoV-2,homoplasy,ScoreDBSCAN(ep=8),ScoreDBSCAN,151,30,1,0.2779,0.9793640936533736
SARS-CoV-2,homoplasy,ScoreDBSCAN(ep=15),ScoreDBSCAN,182,30,2,0.4612,0.9459257899784873
SARS-CoV-2,homoplasy,Spectral(z=1.5),Spectral,72,30,2,1.1657,0.5206348655727486
SARS-CoV-2,homoplasy,Spectral(z=2.0),Spectral,47,30,1,0.8929,0.6849398965255369
SARS-CoV-2,homoplasy,Bayes(prior=0.1),Bayes,30,30,1,1.3989,0.5190911329076224
SARS-CoV-2,homoplasy,Bayes(prior=0.15),Bayes,73,30,1,0.5749,0.8369273003000565
SARS-CoV-2,homoplasy,AdaptWin(s=90),AdaptWin,39,30,1,1.0761,0.6152765198885055
SARS-CoV-2,homoplasy,AdaptWin(s=85),AdaptWin,103,30,1,0.4074,0.9251191080604471
SARS-CoV-2,homoplasy,FreqThresh(p=80),FreqThresh,73,30,1,0.5749,0.8369273003000565
SARS-CoV-2,homoplasy,FreqThresh(p=85),FreqThresh,73,30,1,0.5749,0.8369273003000565
SARS-CoV-2,homoplasy,FreqThresh(p=90),FreqThresh,30,30,1,1.3989,0.5190911329076224
SARS-CoV-2,homoplasy,FreqThresh(p=95),FreqThresh,17,30,1,2.4686,0.33810483883145837
SARS-CoV-2,homoplasy,"SWAN(w=10,k=1.0)",SWAN,143,30,2,0.5869,0.8729685159646108
SARS-CoV-2,homoplasy,"SWAN(w=10,k=1.5)",SWAN,87,30,2,0.9648,0.6266929920934813
SARS-CoV-2,homoplasy,"SWAN(w=10,k=2.0)",SWAN,78,30,2,1.0761,0.5652160862044441
SARS-CoV-2,homoplasy,"SWAN(w=20,k=1.0)",SWAN,132,30,3,0.9538,0.6249342981234948
SARS-CoV-2,homoplasy,"SWAN(w=20,k=1.5)",SWAN,116,30,3,1.0853,0.5329090079383896
SARS-CoV-2,homoplasy,"SWAN(w=20,k=2.0)",SWAN,72,30,2,1.1657,0.5206348655727486
SARS-CoV-2,homoplasy,"SWAN(w=50,k=1.0)",SWAN,117,30,3,1.0761,0.5389865585733264
SARS-CoV-2,homoplasy,"SWAN(w=50,k=1.5)",SWAN,115,30,3,1.0948,0.5267917402734409
SARS-CoV-2,homoplasy,"SWAN(w=50,k=2.0)",SWAN,97,30,3,1.2979,0.4109910606170625
SARS-CoV-2,homoplasy,MutClust-Orig(g=10),MutClust-Orig,70,30,3,1.7986,0.23046508512996922
SARS-CoV-2,esm2_llr,Wavelet(t=1.0),Wavelet,162,30,2,0.5181,0.9154281789737483
SARS-CoV-2,esm2_llr,Wavelet(t=1.5),Wavelet,83,30,1,0.5056,0.87390938964045
SARS-CoV-2,esm2_llr,Wavelet(t=2.0),Wavelet,50,30,1,0.8393,0.7077795134791244
SARS-CoV-2,esm2_llr,KDE(p=75),KDE,315,30,26,3.4639,1.0017630464196145e-12
SARS-CoV-2,esm2_llr,KDE(p=80),KDE,252,30,21,3.4972,2.6147999567559733e-09
SARS-CoV-2,esm2_llr,KDE(p=85),KDE,189,30,16,3.5527,7.740361412112464e-07
SARS-CoV-2,esm2_llr,SlidingTest(p=0.01),SlidingTest,77,30,1,0.545,0.8528308745399923
SARS-CoV-2,esm2_llr,SlidingTest(p=0.05),SlidingTest,156,30,3,0.8071,0.7397965770091022
SARS-CoV-2,esm2_llr,GradPeak(p=0.2),GradPeak,56,30,1,0.7494,0.7487545785049771
SARS-CoV-2,esm2_llr,GradPeak(p=0.5),GradPeak,15,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,LocalContrast(z=1.0),LocalContrast,157,30,5,1.3365,0.3159954510204048
SARS-CoV-2,esm2_llr,LocalContrast(z=1.5),LocalContrast,104,30,1,0.4035,0.927062383802823
SARS-CoV-2,esm2_llr,LocalContrast(z=2.0),LocalContrast,71,30,1,0.5911,0.8283647439121236
SARS-CoV-2,esm2_llr,"CUSUM(d=0.3,h=3.0)",CUSUM,24,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,"CUSUM(d=0.5,h=4.0)",CUSUM,8,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,"CUSUM(d=0.5,h=5.0)",CUSUM,6,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,AdaptiveKnee,AdaptiveKnee,75,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,ScoreDBSCAN(ep=8),ScoreDBSCAN,692,30,17,1.031,0.500785797424923
SARS-CoV-2,esm2_llr,ScoreDBSCAN(ep=15),ScoreDBSCAN,1089,30,28,1.079,0.20641014088109597
SARS-CoV-2,esm2_llr,Spectral(z=1.5),Spectral,63,30,1,0.6661,0.7895590533168599
SARS-CoV-2,esm2_llr,Spectral(z=2.0),Spectral,40,30,1,1.0492,0.62473693333387
SARS-CoV-2,esm2_llr,Bayes(prior=0.1),Bayes,4,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,Bayes(prior=0.15),Bayes,21,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,AdaptWin(s=90),AdaptWin,281,30,2,0.2987,0.9954250722836401
SARS-CoV-2,esm2_llr,AdaptWin(s=85),AdaptWin,695,30,24,1.4492,0.0038846907298013046
SARS-CoV-2,esm2_llr,FreqThresh(p=80),FreqThresh,252,30,8,1.3323,0.23777090823701585
SARS-CoV-2,esm2_llr,FreqThresh(p=85),FreqThresh,189,30,5,1.1102,0.4771498445452899
SARS-CoV-2,esm2_llr,FreqThresh(p=90),FreqThresh,126,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,FreqThresh(p=95),FreqThresh,63,30,0,0.0,1.0
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=1.0)",SWAN,283,30,7,1.038,0.527188141730412
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=1.5)",SWAN,168,30,2,0.4996,0.92590043742825
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=2.0)",SWAN,94,30,1,0.4465,0.9052240684610457
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=1.0)",SWAN,364,30,13,1.4988,0.06296026812224158
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=1.5)",SWAN,236,30,6,1.0669,0.5040586994961068
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=2.0)",SWAN,165,30,6,1.5261,0.18982225710261255
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=1.0)",SWAN,373,30,15,1.6877,0.01403402110612437
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=1.5)",SWAN,348,30,13,1.5677,0.04506708857900168
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=2.0)",SWAN,273,30,10,1.5372,0.09353854831527796
SARS-CoV-2,esm2_llr,MutClust-Orig(g=10),MutClust-Orig,1259,30,30,1.0,1.0
SARS-CoV-2,plddt_inv,Wavelet(t=1.0),Wavelet,220,30,2,0.3815,0.9779998695194548
SARS-CoV-2,plddt_inv,Wavelet(t=1.5),Wavelet,116,30,1,0.3618,0.9468954471218726
SARS-CoV-2,plddt_inv,Wavelet(t=2.0),Wavelet,63,30,0,0.0,1.0
SARS-CoV-2,plddt_inv,KDE(p=75),KDE,315,30,1,0.1332,0.9998424621198289
SARS-CoV-2,plddt_inv,KDE(p=80),KDE,252,30,1,0.1665,0.9988730929812368
SARS-CoV-2,plddt_inv,KDE(p=85),KDE,189,30,1,0.222,0.9928587023368178
SARS-CoV-2,plddt_inv,SlidingTest(p=0.01),SlidingTest,370,30,3,0.3403,0.9976216193024365
SARS-CoV-2,plddt_inv,SlidingTest(p=0.05),SlidingTest,388,30,3,0.3245,0.9985532832621372
SARS-CoV-2,plddt_inv,GradPeak(p=0.2),GradPeak,108,30,2,0.7772,0.7448084809910265
SARS-CoV-2,plddt_inv,GradPeak(p=0.5),GradPeak,94,30,2,0.8929,0.6699528299576556
SARS-CoV-2,plddt_inv,LocalContrast(z=1.0),LocalContrast,176,30,6,1.4307,0.23326490166833105
SARS-CoV-2,plddt_inv,LocalContrast(z=1.5),LocalContrast,65,30,4,2.5826,0.0645038567051214
SARS-CoV-2,plddt_inv,LocalContrast(z=2.0),LocalContrast,15,30,1,2.7978,0.3049737178957597
SARS-CoV-2,plddt_inv,"CUSUM(d=0.3,h=3.0)",CUSUM,103,30,1,0.4074,0.9251191080604471
SARS-CoV-2,plddt_inv,"CUSUM(d=0.5,h=4.0)",CUSUM,63,30,1,0.6661,0.7895590533168599
SARS-CoV-2,plddt_inv,"CUSUM(d=0.5,h=5.0)",CUSUM,53,30,1,0.7918,0.7290147124404978
SARS-CoV-2,plddt_inv,AdaptiveKnee,AdaptiveKnee,470,30,11,0.9822,0.5994432613778136
SARS-CoV-2,plddt_inv,ScoreDBSCAN(ep=8),ScoreDBSCAN,269,30,2,0.312,0.9936935367931925
SARS-CoV-2,plddt_inv,ScoreDBSCAN(ep=15),ScoreDBSCAN,787,30,15,0.7999,0.9459313059713503
SARS-CoV-2,plddt_inv,Spectral(z=1.5),Spectral,100,30,2,0.8393,0.7038982230262079
SARS-CoV-2,plddt_inv,Spectral(z=2.0),Spectral,62,30,2,1.3538,0.4404143495878466
SARS-CoV-2,plddt_inv,Bayes(prior=0.1),Bayes,0,30,0,0.0,1.0
SARS-CoV-2,plddt_inv,Bayes(prior=0.15),Bayes,0,30,0,0.0,1.0
SARS-CoV-2,plddt_inv,AdaptWin(s=90),AdaptWin,382,30,3,0.3296,0.9982895751022691
SARS-CoV-2,plddt_inv,AdaptWin(s=85),AdaptWin,425,30,3,0.2962,0.9995045605819142
SARS-CoV-2,plddt_inv,FreqThresh(p=80),FreqThresh,252,30,3,0.4996,0.9577780649799685
SARS-CoV-2,plddt_inv,FreqThresh(p=85),FreqThresh,189,30,3,0.6661,0.8522045232910216
SARS-CoV-2,plddt_inv,FreqThresh(p=90),FreqThresh,126,30,2,0.6661,0.8201277342622495
SARS-CoV-2,plddt_inv,FreqThresh(p=95),FreqThresh,63,30,0,0.0,1.0
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=1.0)",SWAN,417,30,3,0.3019,0.9993717715414856
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=1.5)",SWAN,405,30,3,0.3109,0.9991083296957223
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=2.0)",SWAN,393,30,3,0.3204,0.9987433823500316
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=1.0)",SWAN,405,30,3,0.3109,0.9991083296957223
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=1.5)",SWAN,403,30,3,0.3124,0.999055393720086
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=2.0)",SWAN,392,30,3,0.3212,0.9987073482922507
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=1.0)",SWAN,410,30,3,0.3071,0.9992287194431457
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=1.5)",SWAN,409,30,3,0.3078,0.9992059391462369
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=2.0)",SWAN,404,30,3,0.3116,0.9990822206649299
SARS-CoV-2,plddt_inv,MutClust-Orig(g=10),MutClust-Orig,1258,30,30,1.0008,0.9761715647339158
SARS-CoV-2,sasa,Wavelet(t=1.0),Wavelet,198,30,1,0.212,0.9944766900063907
SARS-CoV-2,sasa,Wavelet(t=1.5),Wavelet,131,30,0,0.0,1.0
SARS-CoV-2,sasa,Wavelet(t=2.0),Wavelet,78,30,0,0.0,1.0
SARS-CoV-2,sasa,KDE(p=75),KDE,315,30,25,3.3307,1.7128358539680134e-11
SARS-CoV-2,sasa,KDE(p=80),KDE,252,30,16,2.6646,4.157401269751871e-05
SARS-CoV-2,sasa,KDE(p=85),KDE,189,30,10,2.2205,0.008892595110463367
SARS-CoV-2,sasa,SlidingTest(p=0.01),SlidingTest,242,30,5,0.8671,0.7127455726479608
SARS-CoV-2,sasa,SlidingTest(p=0.05),SlidingTest,316,30,6,0.7968,0.8040041552118118
SARS-CoV-2,sasa,GradPeak(p=0.2),GradPeak,30,30,0,0.0,1.0
SARS-CoV-2,sasa,GradPeak(p=0.5),GradPeak,9,30,0,0.0,1.0
SARS-CoV-2,sasa,LocalContrast(z=1.0),LocalContrast,184,30,5,1.1404,0.45211579566759813
SARS-CoV-2,sasa,LocalContrast(z=1.5),LocalContrast,105,30,0,0.0,1.0
SARS-CoV-2,sasa,LocalContrast(z=2.0),LocalContrast,48,30,0,0.0,1.0
SARS-CoV-2,sasa,"CUSUM(d=0.3,h=3.0)",CUSUM,71,30,2,1.1822,0.5129349807825483
SARS-CoV-2,sasa,"CUSUM(d=0.5,h=4.0)",CUSUM,42,30,1,0.9992,0.6429877446155348
SARS-CoV-2,sasa,"CUSUM(d=0.5,h=5.0)",CUSUM,31,30,1,1.3538,0.530830161396452
SARS-CoV-2,sasa,AdaptiveKnee,AdaptiveKnee,424,30,10,0.9898,0.5853740819747002
SARS-CoV-2,sasa,ScoreDBSCAN(ep=8),ScoreDBSCAN,124,30,2,0.6769,0.8128165797064176
SARS-CoV-2,sasa,ScoreDBSCAN(ep=15),ScoreDBSCAN,412,30,9,0.9167,0.6919552100178118
SARS-CoV-2,sasa,Spectral(z=1.5),Spectral,125,30,3,1.0072,0.5860911398718565
SARS-CoV-2,sasa,Spectral(z=2.0),Spectral,77,30,2,1.09,0.557982062907193
SARS-CoV-2,sasa,Bayes(prior=0.1),Bayes,0,30,0,0.0,1.0
SARS-CoV-2,sasa,Bayes(prior=0.15),Bayes,65,30,1,0.6456,0.7999881910658186
SARS-CoV-2,sasa,AdaptWin(s=90),AdaptWin,192,30,2,0.4372,0.9570587732545041
SARS-CoV-2,sasa,AdaptWin(s=85),AdaptWin,269,30,6,0.9361,0.645626370259381
