pathogen,scoring,detector,family,mcc_layer_a,mcc_layer_c,f1_layer_a,f1_layer_c,n_detected,n_gt_a,n_gt_c
H3N2,entropy,"SWAN(w=10,k=1.5)",SWAN,0.139926,-0.05677,0.181818,0.102857,63,25,112
H3N2,entropy,"SWAN(w=10,k=2.0)",SWAN,0.137542,-0.02669,0.181818,0.109756,52,25,112
H3N2,entropy,"SWAN(w=20,k=1.0)",SWAN,0.121396,-0.051681,0.164948,0.119565,72,25,112
H3N2,entropy,"SWAN(w=20,k=1.5)",SWAN,0.125272,-0.0467,0.168421,0.120879,70,25,112
H3N2,entropy,"SWAN(w=20,k=2.0)",SWAN,0.146807,-0.019972,0.188235,0.127907,60,25,112
H3N2,entropy,"SWAN(w=50,k=1.0)",SWAN,0.135551,-0.033749,0.177778,0.124294,65,25,112
H3N2,entropy,"SWAN(w=50,k=1.5)",SWAN,0.135551,-0.033749,0.177778,0.124294,65,25,112
H3N2,entropy,"SWAN(w=50,k=2.0)",SWAN,0.154115,-0.011239,0.195122,0.130178,57,25,112
H3N2,entropy,MutClust-Orig(g=10),MutClust-Orig,0.018925,-0.062539,0.088652,0.337942,539,25,112
H3N2,rare_freq,Wavelet(t=1.0),Wavelet,-0.036038,-0.069825,0.040404,0.107527,74,25,112
H3N2,rare_freq,Wavelet(t=1.5),Wavelet,-0.05854,-0.080956,0.0,0.040541,36,25,112
H3N2,rare_freq,Wavelet(t=2.0),Wavelet,-0.04296,-0.099686,0.0,0.0,20,25,112
H3N2,rare_freq,KDE(p=75),KDE,0.380043,0.009963,0.310559,0.233871,136,25,112
H3N2,rare_freq,KDE(p=80),KDE,0.350612,-0.028209,0.313433,0.180995,109,25,112
H3N2,rare_freq,KDE(p=85),KDE,0.373642,-0.075168,0.35514,0.113402,82,25,112
H3N2,rare_freq,SlidingTest(p=0.01),SlidingTest,0.036996,-0.042322,0.090909,0.078431,41,25,112
H3N2,rare_freq,SlidingTest(p=0.05),SlidingTest,0.080676,-0.021811,0.132075,0.15544,81,25,112
H3N2,rare_freq,GradPeak(p=0.2),GradPeak,0.0,0.0,0.0,0.0,0,25,112
H3N2,rare_freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0,25,112
H3N2,rare_freq,LocalContrast(z=1.0),LocalContrast,0.017903,-0.048242,0.08547,0.147059,92,25,112
H3N2,rare_freq,LocalContrast(z=1.5),LocalContrast,-0.03852,-0.001697,0.027027,0.124224,49,25,112
H3N2,rare_freq,LocalContrast(z=2.0),LocalContrast,-0.0131,0.020616,0.037037,0.099291,29,25,112
H3N2,rare_freq,"CUSUM(d=0.3,h=3.0)",CUSUM,0.106577,-0.068967,0.139535,0.015385,18,25,112
H3N2,rare_freq,"CUSUM(d=0.5,h=4.0)",CUSUM,0.046072,-0.024559,0.060606,0.016667,8,25,112
H3N2,rare_freq,"CUSUM(d=0.5,h=5.0)",CUSUM,0.060841,-0.053884,0.064516,0.0,6,25,112
H3N2,rare_freq,AdaptiveKnee,AdaptiveKnee,0.045159,-0.041278,0.105263,0.149254,89,25,112
H3N2,rare_freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.03911,0.006572,0.056497,0.242424,152,25,112
H3N2,rare_freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.034698,-0.033905,0.076726,0.301255,366,25,112
H3N2,rare_freq,Spectral(z=1.5),Spectral,0.077517,-0.03279,0.126984,0.08,38,25,112
H3N2,rare_freq,Spectral(z=2.0),Spectral,0.08102,0.001101,0.122449,0.073529,24,25,112
H3N2,rare_freq,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,rare_freq,Bayes(prior=0.15),Bayes,0.038266,-0.021043,0.081633,0.058824,24,25,112
H3N2,rare_freq,AdaptWin(s=90),AdaptWin,0.081411,-0.061791,0.133333,0.101695,65,25,112
H3N2,rare_freq,AdaptWin(s=85),AdaptWin,0.064182,-0.064421,0.118519,0.153153,110,25,112
H3N2,rare_freq,FreqThresh(p=80),FreqThresh,0.040077,-0.050527,0.101695,0.146341,93,25,112
H3N2,rare_freq,FreqThresh(p=85),FreqThresh,0.076178,-0.041609,0.129032,0.122222,68,25,112
H3N2,rare_freq,FreqThresh(p=90),FreqThresh,0.090954,-0.024322,0.140845,0.101266,46,25,112
H3N2,rare_freq,FreqThresh(p=95),FreqThresh,0.038266,-0.021043,0.081633,0.058824,24,25,112
H3N2,rare_freq,"SWAN(w=10,k=1.0)",SWAN,0.115958,-0.06309,0.151724,0.163793,120,25,112
H3N2,rare_freq,"SWAN(w=10,k=1.5)",SWAN,0.092635,-0.078163,0.140351,0.119403,89,25,112
H3N2,rare_freq,"SWAN(w=10,k=2.0)",SWAN,0.082232,-0.083482,0.133333,0.104167,80,25,112
H3N2,rare_freq,"SWAN(w=20,k=1.0)",SWAN,0.100845,-0.055457,0.140127,0.180328,132,25,112
H3N2,rare_freq,"SWAN(w=20,k=1.5)",SWAN,0.102519,-0.072796,0.143885,0.150442,114,25,112
H3N2,rare_freq,"SWAN(w=20,k=2.0)",SWAN,0.094155,-0.100674,0.141593,0.1,88,25,112
H3N2,rare_freq,"SWAN(w=50,k=1.0)",SWAN,0.130439,-0.063145,0.156627,0.181818,141,25,112
H3N2,rare_freq,"SWAN(w=50,k=1.5)",SWAN,0.136666,-0.074075,0.161491,0.169355,136,25,112
H3N2,rare_freq,"SWAN(w=50,k=2.0)",SWAN,0.153165,-0.050935,0.179104,0.162896,109,25,112
H3N2,rare_freq,MutClust-Orig(g=10),MutClust-Orig,0.0,0.0,0.0,0.0,0,25,112
H3N2,homoplasy,Wavelet(t=1.0),Wavelet,-0.092653,-0.151437,0.0,0.051546,82,25,112
H3N2,homoplasy,Wavelet(t=1.5),Wavelet,-0.081012,-0.145917,0.0,0.033898,65,25,112
H3N2,homoplasy,Wavelet(t=2.0),Wavelet,-0.068411,-0.126674,0.0,0.025,48,25,112
H3N2,homoplasy,KDE(p=75),KDE,0.380043,-0.032056,0.310559,0.201613,136,25,112
H3N2,homoplasy,KDE(p=80),KDE,0.438366,-0.028209,0.373134,0.180995,109,25,112
H3N2,homoplasy,KDE(p=85),KDE,0.422726,-0.049746,0.392523,0.134021,82,25,112
H3N2,homoplasy,SlidingTest(p=0.01),SlidingTest,0.276144,-0.011238,0.305556,0.113208,47,25,112
H3N2,homoplasy,SlidingTest(p=0.05),SlidingTest,0.221929,-0.029276,0.238532,0.153061,84,25,112
H3N2,homoplasy,GradPeak(p=0.2),GradPeak,0.030786,-0.008687,0.055556,0.03252,11,25,112
H3N2,homoplasy,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0,25,112
H3N2,homoplasy,LocalContrast(z=1.0),LocalContrast,0.032646,0.044934,0.095238,0.208333,80,25,112
H3N2,homoplasy,LocalContrast(z=1.5),LocalContrast,0.016577,0.047053,0.076923,0.169697,53,25,112
H3N2,homoplasy,LocalContrast(z=2.0),LocalContrast,-0.016182,0.031503,0.035714,0.111888,31,25,112
H3N2,homoplasy,"CUSUM(d=0.3,h=3.0)",CUSUM,0.047085,0.062991,0.086957,0.105263,21,25,112
H3N2,homoplasy,"CUSUM(d=0.5,h=4.0)",CUSUM,0.026751,0.047211,0.054054,0.064516,12,25,112
H3N2,homoplasy,"CUSUM(d=0.5,h=5.0)",CUSUM,0.040309,0.005121,0.058824,0.033058,9,25,112
H3N2,homoplasy,AdaptiveKnee,AdaptiveKnee,0.116387,-0.005219,0.155039,0.194444,104,25,112
H3N2,homoplasy,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.027739,0.008197,0.079208,0.321792,379,25,112
H3N2,homoplasy,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.040077,-0.034041,0.08,0.320285,450,25,112
H3N2,homoplasy,Spectral(z=1.5),Spectral,0.188958,0.077895,0.228571,0.178344,45,25,112
H3N2,homoplasy,Spectral(z=2.0),Spectral,0.030599,0.0509,0.076923,0.115108,27,25,112
H3N2,homoplasy,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,homoplasy,Bayes(prior=0.15),Bayes,-0.013357,-0.030995,0.0,0.0,2,25,112
H3N2,homoplasy,AdaptWin(s=90),AdaptWin,0.16051,0.025379,0.14841,0.302703,258,25,112
H3N2,homoplasy,AdaptWin(s=85),AdaptWin,0.021879,0.004062,0.090056,0.33871,508,25,112
H3N2,homoplasy,FreqThresh(p=80),FreqThresh,0.054719,-0.001778,0.110497,0.238806,156,25,112
H3N2,homoplasy,FreqThresh(p=85),FreqThresh,0.116387,-0.005219,0.155039,0.194444,104,25,112
H3N2,homoplasy,FreqThresh(p=90),FreqThresh,0.088671,0.030489,0.138614,0.191489,76,25,112
H3N2,homoplasy,FreqThresh(p=95),FreqThresh,0.12126,0.051542,0.166667,0.136054,35,25,112
H3N2,homoplasy,"SWAN(w=10,k=1.0)",SWAN,0.089647,0.002805,0.137931,0.187192,91,25,112
H3N2,homoplasy,"SWAN(w=10,k=1.5)",SWAN,0.091132,0.005342,0.13913,0.188119,90,25,112
H3N2,homoplasy,"SWAN(w=10,k=2.0)",SWAN,0.055961,-0.031064,0.11236,0.125,64,25,112
H3N2,homoplasy,"SWAN(w=20,k=1.0)",SWAN,0.128534,0.002373,0.165289,0.192308,96,25,112
H3N2,homoplasy,"SWAN(w=20,k=1.5)",SWAN,0.138395,-0.019138,0.173913,0.168317,90,25,112
H3N2,homoplasy,"SWAN(w=20,k=2.0)",SWAN,0.095694,-0.024131,0.142857,0.160804,87,25,112
H3N2,homoplasy,"SWAN(w=50,k=1.0)",SWAN,0.093526,0.0114,0.136986,0.223176,121,25,112
H3N2,homoplasy,"SWAN(w=50,k=1.5)",SWAN,0.114939,0.015472,0.153846,0.211982,105,25,112
H3N2,homoplasy,"SWAN(w=50,k=2.0)",SWAN,0.136702,0.014991,0.172414,0.197044,91,25,112
H3N2,homoplasy,MutClust-Orig(g=10),MutClust-Orig,0.009436,0.021896,0.088183,0.342508,542,25,112
H3N2,esm2_llr,Wavelet(t=1.0),Wavelet,0.05685,-0.038032,0.113821,0.161905,98,25,112
H3N2,esm2_llr,Wavelet(t=1.5),Wavelet,0.127761,-0.038172,0.17284,0.107143,56,25,112
H3N2,esm2_llr,Wavelet(t=2.0),Wavelet,0.092659,-0.055035,0.130435,0.030075,21,25,112
H3N2,esm2_llr,KDE(p=75),KDE,0.359762,-0.042561,0.298137,0.193548,136,25,112
H3N2,esm2_llr,KDE(p=80),KDE,0.306735,-0.016846,0.283582,0.190045,109,25,112
H3N2,esm2_llr,KDE(p=85),KDE,0.3491,-0.049746,0.336449,0.134021,82,25,112
H3N2,esm2_llr,SlidingTest(p=0.01),SlidingTest,-0.057664,-0.041131,0.0,0.068027,35,25,112
H3N2,esm2_llr,SlidingTest(p=0.05),SlidingTest,-0.083819,-0.044169,0.0,0.121547,69,25,112
H3N2,esm2_llr,GradPeak(p=0.2),GradPeak,0.062264,-0.003742,0.109091,0.084507,30,25,112
H3N2,esm2_llr,GradPeak(p=0.5),GradPeak,0.080564,0.009486,0.105263,0.048,13,25,112
H3N2,esm2_llr,LocalContrast(z=1.0),LocalContrast,-0.002264,-0.011342,0.065217,0.145251,67,25,112
H3N2,esm2_llr,LocalContrast(z=1.5),LocalContrast,0.022818,-0.001697,0.081081,0.124224,49,25,112
H3N2,esm2_llr,LocalContrast(z=2.0),LocalContrast,-0.021879,-0.004062,0.033333,0.095238,35,25,112
H3N2,esm2_llr,"CUSUM(d=0.3,h=3.0)",CUSUM,0.023079,0.009486,0.052632,0.048,13,25,112
H3N2,esm2_llr,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.025106,0.02244,0.0,0.033613,7,25,112
H3N2,esm2_llr,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.023222,0.033196,0.0,0.033898,6,25,112
H3N2,esm2_llr,AdaptiveKnee,AdaptiveKnee,-0.023611,-0.039903,0.045977,0.114943,62,25,112
H3N2,esm2_llr,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.020464,0.069455,0.091106,0.350365,436,25,112
H3N2,esm2_llr,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.039571,0.004928,0.092664,0.33719,493,25,112
H3N2,esm2_llr,Spectral(z=1.5),Spectral,0.033046,-0.007734,0.078431,0.072464,26,25,112
H3N2,esm2_llr,Spectral(z=2.0),Spectral,0.016589,-0.030379,0.05,0.031496,15,25,112
H3N2,esm2_llr,Bayes(prior=0.1),Bayes,0.040309,0.005121,0.058824,0.033058,9,25,112
H3N2,esm2_llr,Bayes(prior=0.15),Bayes,-0.028312,-0.021788,0.030769,0.092105,40,25,112
H3N2,esm2_llr,AdaptWin(s=90),AdaptWin,-0.05215,-0.014134,0.022727,0.137143,63,25,112
H3N2,esm2_llr,AdaptWin(s=85),AdaptWin,-0.050184,-0.099125,0.042553,0.131579,116,25,112
H3N2,esm2_llr,FreqThresh(p=80),FreqThresh,-0.022343,-0.073661,0.059701,0.144796,109,25,112
H3N2,esm2_llr,FreqThresh(p=85),FreqThresh,-0.019028,-0.062457,0.056075,0.123711,82,25,112
H3N2,esm2_llr,FreqThresh(p=90),FreqThresh,-0.044627,-0.020281,0.025,0.11976,55,25,112
H3N2,esm2_llr,FreqThresh(p=95),FreqThresh,-0.011489,0.004624,0.037736,0.085714,28,25,112
H3N2,esm2_llr,"SWAN(w=10,k=1.0)",SWAN,-0.032067,-0.060282,0.042105,0.10989,70,25,112
H3N2,esm2_llr,"SWAN(w=10,k=1.5)",SWAN,-0.045602,-0.023206,0.024691,0.119048,56,25,112
H3N2,esm2_llr,"SWAN(w=10,k=2.0)",SWAN,-0.0131,0.000373,0.037037,0.085106,29,25,112
H3N2,esm2_llr,"SWAN(w=20,k=1.0)",SWAN,0.009042,-0.081255,0.076923,0.104712,79,25,112
H3N2,esm2_llr,"SWAN(w=20,k=1.5)",SWAN,-0.016708,-0.038172,0.049383,0.107143,56,25,112
H3N2,esm2_llr,"SWAN(w=20,k=2.0)",SWAN,-0.00083,-0.034618,0.057971,0.089744,44,25,112
H3N2,esm2_llr,"SWAN(w=50,k=1.0)",SWAN,-0.002317,-0.078163,0.070175,0.119403,89,25,112
H3N2,esm2_llr,"SWAN(w=50,k=1.5)",SWAN,0.010243,-0.066033,0.07767,0.115789,78,25,112
H3N2,esm2_llr,"SWAN(w=50,k=2.0)",SWAN,0.023078,-0.055361,0.086022,0.111111,68,25,112
H3N2,esm2_llr,MutClust-Orig(g=10),MutClust-Orig,0.035739,-0.1181,0.090253,0.327613,529,25,112
H3N2,plddt_inv,Wavelet(t=1.0),Wavelet,-0.113876,0.047678,0.0,0.246696,115,25,112
H3N2,plddt_inv,Wavelet(t=1.5),Wavelet,-0.073752,-0.050452,0.0,0.095808,55,25,112
H3N2,plddt_inv,Wavelet(t=2.0),Wavelet,-0.034406,-0.050063,0.0,0.016,13,25,112
H3N2,plddt_inv,KDE(p=75),KDE,-0.126992,0.104506,0.0,0.306452,136,25,112
H3N2,plddt_inv,KDE(p=80),KDE,-0.110096,0.085422,0.0,0.271493,109,25,112
H3N2,plddt_inv,KDE(p=85),KDE,-0.092653,0.128215,0.0,0.278351,82,25,112
H3N2,plddt_inv,SlidingTest(p=0.01),SlidingTest,-0.178549,0.106454,0.0,0.341463,216,25,112
H3N2,plddt_inv,SlidingTest(p=0.05),SlidingTest,-0.200682,0.101031,0.0,0.345404,247,25,112
H3N2,plddt_inv,GradPeak(p=0.2),GradPeak,-0.002289,0.011858,0.057143,0.127389,45,25,112
H3N2,plddt_inv,GradPeak(p=0.5),GradPeak,0.015764,0.018545,0.067797,0.109589,34,25,112
H3N2,plddt_inv,LocalContrast(z=1.0),LocalContrast,0.088813,0.006025,0.139535,0.150289,61,25,112
H3N2,plddt_inv,LocalContrast(z=1.5),LocalContrast,0.052794,0.02244,0.0625,0.033613,7,25,112
H3N2,plddt_inv,LocalContrast(z=2.0),LocalContrast,-0.016375,-0.037996,0.0,0.0,3,25,112
H3N2,plddt_inv,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.062783,0.043813,0.0,0.143791,41,25,112
H3N2,plddt_inv,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.040678,0.108998,0.0,0.123077,18,25,112
H3N2,plddt_inv,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.035739,0.031945,0.0,0.063492,14,25,112
H3N2,plddt_inv,AdaptiveKnee,AdaptiveKnee,-0.199938,0.075521,0.0,0.329609,246,25,112
H3N2,plddt_inv,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.140814,0.084213,0.046753,0.351695,360,25,112
H3N2,plddt_inv,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.137189,0.030626,0.060475,0.338182,438,25,112
H3N2,plddt_inv,Spectral(z=1.5),Spectral,-0.00083,-0.051297,0.057971,0.076923,44,25,112
H3N2,plddt_inv,Spectral(z=2.0),Spectral,0.038266,-0.043188,0.081633,0.044118,24,25,112
H3N2,plddt_inv,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,plddt_inv,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,25,112
H3N2,plddt_inv,AdaptWin(s=90),AdaptWin,-0.304357,-0.015685,0.0,0.307036,357,25,112
H3N2,plddt_inv,AdaptWin(s=85),AdaptWin,-0.313278,-0.020131,0.0,0.306723,364,25,112
H3N2,plddt_inv,FreqThresh(p=80),FreqThresh,-0.118262,0.107264,0.0,0.299145,122,25,112
H3N2,plddt_inv,FreqThresh(p=85),FreqThresh,-0.104377,0.051359,0.0,0.235849,100,25,112
H3N2,plddt_inv,FreqThresh(p=90),FreqThresh,-0.084513,0.07554,0.0,0.21978,70,25,112
H3N2,plddt_inv,FreqThresh(p=95),FreqThresh,-0.065235,0.048778,0.0,0.153846,44,25,112
H3N2,plddt_inv,"SWAN(w=10,k=1.0)",SWAN,-0.242287,0.050618,0.0,0.326829,298,25,112
H3N2,plddt_inv,"SWAN(w=10,k=1.5)",SWAN,-0.234335,0.049171,0.0,0.32419,289,25,112
H3N2,plddt_inv,"SWAN(w=10,k=2.0)",SWAN,-0.208252,0.08196,0.0,0.336043,257,25,112
H3N2,plddt_inv,"SWAN(w=20,k=1.0)",SWAN,-0.253401,0.046521,0.0,0.327014,310,25,112
H3N2,plddt_inv,"SWAN(w=20,k=1.5)",SWAN,-0.237831,0.069084,0.0,0.335802,293,25,112
H3N2,plddt_inv,"SWAN(w=20,k=2.0)",SWAN,-0.23347,0.06928,0.0,0.335,288,25,112
H3N2,plddt_inv,"SWAN(w=50,k=1.0)",SWAN,-0.237541,0.042775,0.005935,0.325472,312,25,112
H3N2,plddt_inv,"SWAN(w=50,k=1.5)",SWAN,-0.223735,0.061629,0.006211,0.332518,297,25,112
H3N2,plddt_inv,"SWAN(w=50,k=2.0)",SWAN,-0.240493,0.063494,0.0,0.333333,296,25,112
H3N2,plddt_inv,MutClust-Orig(g=10),MutClust-Orig,0.009436,-0.084262,0.088183,0.33945,542,25,112
H3N2,sasa,Wavelet(t=1.0),Wavelet,-0.066835,-0.089704,0.0,0.050633,46,25,112
H3N2,sasa,Wavelet(t=1.5),Wavelet,-0.057664,-0.133805,0.0,0.0,35,25,112
H3N2,sasa,Wavelet(t=2.0),Wavelet,-0.052182,-0.121084,0.0,0.0,29,25,112
H3N2,sasa,KDE(p=75),KDE,-0.126992,0.146525,0.0,0.33871,136,25,112
H3N2,sasa,KDE(p=80),KDE,-0.110096,0.164963,0.0,0.334842,109,25,112
H3N2,sasa,KDE(p=85),KDE,-0.092653,0.166349,0.0,0.309278,82,25,112
H3N2,sasa,SlidingTest(p=0.01),SlidingTest,-0.118262,0.096359,0.0,0.290598,122,25,112
H3N2,sasa,SlidingTest(p=0.05),SlidingTest,-0.125746,0.088266,0.0,0.292683,134,25,112
H3N2,sasa,GradPeak(p=0.2),GradPeak,0.05035,0.093634,0.088889,0.121212,20,25,112
H3N2,sasa,GradPeak(p=0.5),GradPeak,-0.021179,0.141462,0.0,0.068376,5,25,112
H3N2,sasa,LocalContrast(z=1.0),LocalContrast,0.037612,-0.126925,0.1,0.086957,95,25,112
