pathogen,scoring,detector,mcc,precision,recall,f1,n_detected
Dengue,entropy,AdaptiveKnee,0.050875,0.060606,0.583333,0.109804,231
Dengue,entropy,FreqThresh(p=80),0.062732,0.081081,0.25,0.122449,74
Dengue,rare_freq,Wavelet(t=1.0),-0.02905,0.035294,0.125,0.055046,85
Dengue,rare_freq,AdaptiveKnee,0.043026,0.068966,0.25,0.108108,87
Dengue,rare_freq,FreqThresh(p=80),0.084285,0.096774,0.25,0.139535,62
Dengue,H-score,Wavelet(t=1.0),0.083069,0.086022,0.333333,0.136752,93
Dengue,H-score,AdaptiveKnee,0.050875,0.060606,0.583333,0.109804,231
Dengue,H-score,FreqThresh(p=80),0.062732,0.081081,0.25,0.122449,74
Dengue,homoplasy,Wavelet(t=1.0),-0.083965,0.0,0.0,0.0,59
Dengue,homoplasy,AdaptiveKnee,0.234233,0.155556,0.583333,0.245614,90
Dengue,homoplasy,FreqThresh(p=80),0.239438,0.132353,0.75,0.225,136
Dengue,esm2_llr,Wavelet(t=1.0),-0.071113,0.013158,0.041667,0.02,76
Dengue,esm2_llr,AdaptiveKnee,0.092473,0.103448,0.25,0.146341,58
Dengue,esm2_llr,FreqThresh(p=80),0.052007,0.071429,0.291667,0.114754,98
Dengue,plddt_inv,Wavelet(t=1.0),-0.10618,0.0,0.0,0.0,88
Dengue,plddt_inv,AdaptiveKnee,-0.154134,0.009756,0.083333,0.017467,205
Dengue,plddt_inv,FreqThresh(p=80),-0.117797,0.0,0.0,0.0,104
Dengue,sasa,Wavelet(t=1.0),-0.037499,0.032258,0.125,0.051282,93
Dengue,sasa,AdaptiveKnee,-0.040751,0.035211,0.208333,0.060241,142
Dengue,sasa,FreqThresh(p=80),-0.031209,0.034483,0.125,0.054054,87
Dengue,grantham,Wavelet(t=1.0),0.062732,0.081081,0.25,0.122449,74
Dengue,grantham,AdaptiveKnee,0.052007,0.071429,0.291667,0.114754,98
Dengue,grantham,FreqThresh(p=80),0.062732,0.081081,0.25,0.122449,74
Dengue,dnds_proxy,Wavelet(t=1.0),-0.022355,0.037975,0.125,0.058252,79
Dengue,dnds_proxy,AdaptiveKnee,0.050875,0.060606,0.583333,0.109804,231
Dengue,dnds_proxy,FreqThresh(p=80),0.064386,0.082192,0.25,0.123711,73
Dengue,semantic_change,Wavelet(t=1.0),-0.078195,0.0,0.0,0.0,52
Dengue,semantic_change,AdaptiveKnee,-0.001045,0.048387,0.125,0.069767,62
Dengue,semantic_change,FreqThresh(p=80),-0.015283,0.041096,0.125,0.061856,73
Dengue,EVEscape_composite,Wavelet(t=1.0),0.059492,0.078947,0.25,0.12,76
Dengue,EVEscape_composite,AdaptiveKnee,0.088304,0.1,0.25,0.142857,60
Dengue,EVEscape_composite,FreqThresh(p=80),0.106388,0.107692,0.291667,0.157303,65
Dengue,EqualWeight,Wavelet(t=1.0),-0.093419,0.0,0.0,0.0,71
Dengue,EqualWeight,AdaptiveKnee,0.003137,0.051282,0.083333,0.063492,39
Dengue,EqualWeight,FreqThresh(p=80),0.052007,0.071429,0.291667,0.114754,98
RSV,freq,Wavelet(t=1.0),-0.085925,0.0,0.0,0.0,90
RSV,freq,AdaptiveKnee,-0.045822,0.014085,0.05,0.021978,71
RSV,freq,FreqThresh(p=80),-0.05967,0.011111,0.05,0.018182,90
RSV,entropy,Wavelet(t=1.0),-0.085354,0.0,0.0,0.0,89
RSV,entropy,AdaptiveKnee,-0.046597,0.013889,0.05,0.021739,72
RSV,entropy,FreqThresh(p=80),-0.05967,0.011111,0.05,0.018182,90
RSV,rare_freq,Wavelet(t=1.0),-0.083054,0.0,0.0,0.0,85
RSV,rare_freq,AdaptiveKnee,-0.077785,0.0,0.0,0.0,76
RSV,rare_freq,FreqThresh(p=80),-0.085925,0.0,0.0,0.0,90
RSV,H-score,Wavelet(t=1.0),-0.084207,0.0,0.0,0.0,87
RSV,H-score,AdaptiveKnee,-0.047366,0.013699,0.05,0.021505,73
RSV,H-score,FreqThresh(p=80),-0.05967,0.011111,0.05,0.018182,90
RSV,homoplasy,Wavelet(t=1.0),-0.081895,0.0,0.0,0.0,83
RSV,homoplasy,AdaptiveKnee,0.000886,0.036697,0.2,0.062016,109
RSV,homoplasy,FreqThresh(p=80),-0.012979,0.032468,0.25,0.057471,154
RSV,esm2_llr,Wavelet(t=1.0),0.095108,0.076087,0.35,0.125,92
RSV,esm2_llr,AdaptiveKnee,-0.065404,0.0,0.0,0.0,56
RSV,esm2_llr,FreqThresh(p=80),-0.024282,0.027273,0.15,0.046154,110
RSV,plddt_inv,Wavelet(t=1.0),0.027213,0.046729,0.25,0.07874,107
RSV,plddt_inv,AdaptiveKnee,-0.145558,0.02537,0.6,0.048682,473
RSV,plddt_inv,FreqThresh(p=80),0.038483,0.05,0.3,0.085714,120
RSV,sasa,Wavelet(t=1.0),-0.056889,0.011628,0.05,0.018868,86
RSV,sasa,AdaptiveKnee,0.022365,0.044643,0.25,0.075758,112
RSV,sasa,FreqThresh(p=80),-0.018559,0.029126,0.15,0.04878,103
RSV,grantham,Wavelet(t=1.0),-0.08073,0.0,0.0,0.0,81
RSV,grantham,AdaptiveKnee,-0.028474,0.02381,0.1,0.038462,84
RSV,grantham,FreqThresh(p=80),-0.034218,0.021978,0.1,0.036036,91
RSV,dnds_proxy,Wavelet(t=1.0),-0.063069,0.010526,0.05,0.017391,95
RSV,dnds_proxy,AdaptiveKnee,-0.044252,0.014493,0.05,0.022472,69
RSV,dnds_proxy,FreqThresh(p=80),-0.05967,0.011111,0.05,0.018182,90
RSV,semantic_change,Wavelet(t=1.0),-0.081895,0.0,0.0,0.0,83
RSV,semantic_change,AdaptiveKnee,-0.029575,0.019231,0.05,0.027778,52
RSV,semantic_change,FreqThresh(p=80),-0.05967,0.011111,0.05,0.018182,90
RSV,EVEscape_composite,Wavelet(t=1.0),-0.016854,0.028169,0.1,0.043956,71
RSV,EVEscape_composite,AdaptiveKnee,-0.033286,0.017857,0.05,0.026316,56
RSV,EVEscape_composite,FreqThresh(p=80),-0.055474,0.011905,0.05,0.019231,84
RSV,EqualWeight,Wavelet(t=1.0),-0.078968,0.0,0.0,0.0,78
RSV,EqualWeight,AdaptiveKnee,-0.085354,0.0,0.0,0.0,89
RSV,EqualWeight,FreqThresh(p=80),-0.097129,0.0,0.0,0.0,110
Influenza_B,freq,Wavelet(t=1.0),0.356786,0.163265,0.941176,0.278261,98
Influenza_B,freq,AdaptiveKnee,0.168118,0.166667,0.235294,0.195122,24
Influenza_B,freq,FreqThresh(p=80),0.196312,0.097345,0.647059,0.169231,113
Influenza_B,entropy,Wavelet(t=1.0),0.336295,0.168675,0.823529,0.28,83
Influenza_B,entropy,AdaptiveKnee,0.169305,0.142857,0.294118,0.192308,35
Influenza_B,entropy,FreqThresh(p=80),0.169034,0.087719,0.588235,0.152672,114
Influenza_B,rare_freq,Wavelet(t=1.0),0.084033,0.061856,0.352941,0.105263,97
Influenza_B,rare_freq,AdaptiveKnee,0.106493,0.069307,0.411765,0.118644,101
Influenza_B,rare_freq,FreqThresh(p=80),0.090408,0.06087,0.411765,0.106061,115
Influenza_B,H-score,Wavelet(t=1.0),0.340562,0.16129,0.882353,0.272727,93
Influenza_B,H-score,AdaptiveKnee,0.169305,0.142857,0.294118,0.192308,35
Influenza_B,H-score,FreqThresh(p=80),0.169034,0.087719,0.588235,0.152672,114
Influenza_B,homoplasy,Wavelet(t=1.0),-0.079469,0.0,0.0,0.0,94
Influenza_B,homoplasy,AdaptiveKnee,0.206083,0.145833,0.411765,0.215385,48
Influenza_B,homoplasy,FreqThresh(p=80),0.160034,0.077465,0.647059,0.138365,142
Influenza_B,esm2_llr,Wavelet(t=1.0),-0.064674,0.0,0.0,0.0,66
Influenza_B,esm2_llr,AdaptiveKnee,0.015827,0.043478,0.058824,0.05,23
Influenza_B,esm2_llr,FreqThresh(p=80),-0.036429,0.017857,0.117647,0.031008,112
Influenza_B,plddt_inv,Wavelet(t=1.0),-0.081996,0.0,0.0,0.0,99
Influenza_B,plddt_inv,AdaptiveKnee,0.035086,0.033333,0.882353,0.06424,450
Influenza_B,plddt_inv,FreqThresh(p=80),-0.001655,0.029851,0.235294,0.05298,134
Influenza_B,sasa,Wavelet(t=1.0),-0.094361,0.0,0.0,0.0,124
Influenza_B,sasa,AdaptiveKnee,-0.001789,0.029703,0.176471,0.050847,101
Influenza_B,sasa,FreqThresh(p=80),0.022559,0.038462,0.235294,0.066116,104
Influenza_B,grantham,Wavelet(t=1.0),-0.094361,0.0,0.0,0.0,124
Influenza_B,grantham,AdaptiveKnee,-0.008459,0.026667,0.117647,0.043478,75
Influenza_B,grantham,FreqThresh(p=80),-0.036429,0.017857,0.117647,0.031008,112
Influenza_B,dnds_proxy,Wavelet(t=1.0),0.357661,0.174419,0.882353,0.291262,86
Influenza_B,dnds_proxy,AdaptiveKnee,0.139227,0.129032,0.235294,0.166667,31
Influenza_B,dnds_proxy,FreqThresh(p=80),0.143185,0.078947,0.529412,0.137405,114
Influenza_B,semantic_change,Wavelet(t=1.0),-0.063559,0.0,0.0,0.0,64
Influenza_B,semantic_change,AdaptiveKnee,0.021517,0.042553,0.117647,0.0625,47
Influenza_B,semantic_change,FreqThresh(p=80),-0.010408,0.026786,0.176471,0.046512,112
Influenza_B,EVEscape_composite,Wavelet(t=1.0),-0.061864,0.0,0.0,0.0,61
Influenza_B,EVEscape_composite,AdaptiveKnee,0.03213,0.0625,0.058824,0.060606,16
Influenza_B,EVEscape_composite,FreqThresh(p=80),0.023459,0.038835,0.235294,0.066667,103
Influenza_B,EqualWeight,Wavelet(t=1.0),-0.079469,0.0,0.0,0.0,94
Influenza_B,EqualWeight,AdaptiveKnee,0.229964,0.170732,0.411765,0.241379,41
Influenza_B,EqualWeight,FreqThresh(p=80),0.171735,0.089286,0.588235,0.155039,112
MERS,freq,Wavelet(t=1.0),-0.028761,0.0,0.0,0.0,144
MERS,freq,AdaptiveKnee,-0.018252,0.0,0.0,0.0,62
MERS,freq,FreqThresh(p=80),0.001904,0.007067,0.222222,0.013699,283
MERS,entropy,Wavelet(t=1.0),-0.027514,0.0,0.0,0.0,133
MERS,entropy,AdaptiveKnee,0.023828,0.015385,0.111111,0.027027,65
MERS,entropy,FreqThresh(p=80),0.004424,0.007491,0.222222,0.014493,267
MERS,rare_freq,Wavelet(t=1.0),-0.031063,0.0,0.0,0.0,165
MERS,rare_freq,AdaptiveKnee,0.048364,0.016854,0.333333,0.032086,178
MERS,rare_freq,FreqThresh(p=80),0.032814,0.0125,0.333333,0.024096,240
MERS,H-score,Wavelet(t=1.0),-0.02976,0.0,0.0,0.0,153
MERS,H-score,AdaptiveKnee,0.023828,0.015385,0.111111,0.027027,65
MERS,H-score,FreqThresh(p=80),0.004424,0.007491,0.222222,0.014493,267
MERS,homoplasy,Wavelet(t=1.0),-0.026349,0.0,0.0,0.0,123
MERS,homoplasy,AdaptiveKnee,0.015798,0.007015,1.0,0.013932,1283
MERS,homoplasy,FreqThresh(p=80),0.022334,0.010204,0.333333,0.019802,294
MERS,esm2_llr,Wavelet(t=1.0),-0.011918,0.004566,0.111111,0.008772,219
MERS,esm2_llr,AdaptiveKnee,0.092449,0.036145,0.333333,0.065217,83
MERS,esm2_llr,FreqThresh(p=80),0.027514,0.011278,0.333333,0.021818,266
MERS,plddt_inv,Wavelet(t=1.0),-0.030306,0.0,0.0,0.0,158
MERS,plddt_inv,AdaptiveKnee,0.031811,0.007772,1.0,0.015424,1158
MERS,plddt_inv,FreqThresh(p=80),0.08181,0.018634,0.666667,0.036254,322
MERS,sasa,Wavelet(t=1.0),-0.035539,0.0,0.0,0.0,208
MERS,sasa,AdaptiveKnee,0.039115,0.011312,0.555556,0.022173,442
MERS,sasa,FreqThresh(p=80),0.044655,0.015707,0.333333,0.03,191
MERS,grantham,Wavelet(t=1.0),-0.028985,0.0,0.0,0.0,146
MERS,grantham,AdaptiveKnee,0.009038,0.009259,0.111111,0.017094,108
MERS,grantham,FreqThresh(p=80),0.027903,0.011364,0.333333,0.021978,264
MERS,dnds_proxy,Wavelet(t=1.0),-0.027399,0.0,0.0,0.0,132
MERS,dnds_proxy,AdaptiveKnee,0.028361,0.017857,0.111111,0.030769,56
MERS,dnds_proxy,FreqThresh(p=80),0.00491,0.007576,0.222222,0.014652,264
MERS,semantic_change,Wavelet(t=1.0),-0.032656,0.0,0.0,0.0,180
MERS,semantic_change,AdaptiveKnee,-0.021431,0.0,0.0,0.0,84
MERS,semantic_change,FreqThresh(p=80),0.00491,0.007576,0.222222,0.014652,264
MERS,EVEscape_composite,Wavelet(t=1.0),0.075663,0.022599,0.444444,0.043011,177
MERS,EVEscape_composite,AdaptiveKnee,0.089776,0.027972,0.444444,0.052632,143
MERS,EVEscape_composite,FreqThresh(p=80),0.07181,0.021277,0.444444,0.040609,188
MERS,EqualWeight,Wavelet(t=1.0),-0.027168,0.0,0.0,0.0,130
MERS,EqualWeight,AdaptiveKnee,0.075106,0.027273,0.333333,0.05042,110
MERS,EqualWeight,FreqThresh(p=80),0.07337,0.018797,0.555556,0.036364,266
HCV,freq,Wavelet(t=1.0),0.525375,0.692308,0.5,0.580645,39
HCV,freq,AdaptiveKnee,0.272097,0.325843,0.537037,0.405594,89
HCV,freq,FreqThresh(p=80),0.285659,0.367647,0.462963,0.409836,68
HCV,entropy,Wavelet(t=1.0),0.525375,0.692308,0.5,0.580645,39
HCV,entropy,AdaptiveKnee,0.276013,0.329545,0.537037,0.408451,88
