pathogen,fraction,n_sequences,repeat,score,detector,mcc
SARS-CoV-2,0.25,1245,3,P*E,FreqThresh(p=85),0.0247
SARS-CoV-2,0.25,1245,3,P*E,"SWAN(w=10,k=1.5)",0.108
SARS-CoV-2,0.25,1245,3,P*E,KDE(p=80),0.0995
SARS-CoV-2,0.25,1245,3,H-score,Wavelet(t=1.5),0.0517
SARS-CoV-2,0.25,1245,3,H-score,FreqThresh(p=85),0.0247
SARS-CoV-2,0.25,1245,3,H-score,"SWAN(w=10,k=1.5)",0.108
SARS-CoV-2,0.25,1245,3,H-score,KDE(p=80),0.0995
SARS-CoV-2,0.25,1245,3,E_only,Wavelet(t=1.5),0.0517
SARS-CoV-2,0.25,1245,3,E_only,FreqThresh(p=85),0.0247
SARS-CoV-2,0.25,1245,3,E_only,"SWAN(w=10,k=1.5)",0.108
SARS-CoV-2,0.25,1245,3,E_only,KDE(p=80),0.0711
SARS-CoV-2,0.25,1245,4,E*rare,Wavelet(t=1.5),0.0339
SARS-CoV-2,0.25,1245,4,E*rare,FreqThresh(p=85),0.0952
SARS-CoV-2,0.25,1245,4,E*rare,"SWAN(w=10,k=1.5)",0.092
SARS-CoV-2,0.25,1245,4,E*rare,KDE(p=80),0.0284
SARS-CoV-2,0.25,1245,4,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.25,1245,4,P*E*rare,FreqThresh(p=85),0.0952
SARS-CoV-2,0.25,1245,4,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,4,P*E*rare,KDE(p=80),0.0569
SARS-CoV-2,0.25,1245,4,P*E,Wavelet(t=1.5),-0.0078
SARS-CoV-2,0.25,1245,4,P*E,FreqThresh(p=85),0.1323
SARS-CoV-2,0.25,1245,4,P*E,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.25,1245,4,P*E,KDE(p=80),0.0284
SARS-CoV-2,0.25,1245,4,H-score,Wavelet(t=1.5),0.004
SARS-CoV-2,0.25,1245,4,H-score,FreqThresh(p=85),0.1323
SARS-CoV-2,0.25,1245,4,H-score,KDE(p=80),0.0284
SARS-CoV-2,0.25,1245,4,E_only,Wavelet(t=1.5),0.004
SARS-CoV-2,0.25,1245,4,E_only,FreqThresh(p=85),0.1323
SARS-CoV-2,0.25,1245,4,E_only,KDE(p=80),0.0569
SARS-CoV-2,0.5,2491,0,E*rare,Wavelet(t=1.5),0.0922
SARS-CoV-2,0.5,2491,0,E*rare,FreqThresh(p=85),0.0294
SARS-CoV-2,0.5,2491,0,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,0,E*rare,KDE(p=80),-0.0285
SARS-CoV-2,0.5,2491,0,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.5,2491,0,P*E*rare,FreqThresh(p=85),0.0294
SARS-CoV-2,0.5,2491,0,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,0,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.5,2491,0,P*E,Wavelet(t=1.5),0.0339
SARS-CoV-2,0.5,2491,0,P*E,FreqThresh(p=85),0.0133
SARS-CoV-2,0.5,2491,0,P*E,"SWAN(w=10,k=1.5)",-0.0176
SARS-CoV-2,0.5,2491,0,P*E,KDE(p=80),-0.057
SARS-CoV-2,0.5,2491,0,H-score,Wavelet(t=1.5),-0.0218
SARS-CoV-2,0.5,2491,0,H-score,FreqThresh(p=85),0.0133
SARS-CoV-2,0.5,2491,0,H-score,KDE(p=80),-0.0427
SARS-CoV-2,0.5,2491,0,E_only,Wavelet(t=1.5),-0.0203
SARS-CoV-2,0.5,2491,0,E_only,FreqThresh(p=85),0.0133
SARS-CoV-2,0.5,2491,0,E_only,KDE(p=80),-0.0143
SARS-CoV-2,0.5,2491,1,E*rare,Wavelet(t=1.5),0.0987
SARS-CoV-2,0.5,2491,1,E*rare,FreqThresh(p=85),0.0133
SARS-CoV-2,0.5,2491,1,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.5,2491,1,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,0.5,2491,1,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.5,2491,1,P*E*rare,FreqThresh(p=85),0.0133
SARS-CoV-2,0.5,2491,1,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,1,P*E*rare,KDE(p=80),0.0711
SARS-CoV-2,0.5,2491,1,P*E,Wavelet(t=1.5),-0.0195
SARS-CoV-2,0.5,2491,1,P*E,FreqThresh(p=85),0.0141
SARS-CoV-2,0.5,2491,1,P*E,KDE(p=80),-0.0001
SARS-CoV-2,0.5,2491,1,H-score,Wavelet(t=1.5),-0.0331
SARS-CoV-2,0.5,2491,1,H-score,FreqThresh(p=85),0.0141
SARS-CoV-2,0.5,2491,1,H-score,KDE(p=80),-0.0285
SARS-CoV-2,0.5,2491,1,E_only,Wavelet(t=1.5),-0.0192
SARS-CoV-2,0.5,2491,1,E_only,FreqThresh(p=85),0.0152
SARS-CoV-2,0.5,2491,1,E_only,KDE(p=80),0.0142
SARS-CoV-2,0.5,2491,2,E*rare,Wavelet(t=1.5),0.0904
SARS-CoV-2,0.5,2491,2,E*rare,FreqThresh(p=85),0.015
SARS-CoV-2,0.5,2491,2,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.5,2491,2,E*rare,KDE(p=80),-0.0285
SARS-CoV-2,0.5,2491,2,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.5,2491,2,P*E*rare,FreqThresh(p=85),0.015
SARS-CoV-2,0.5,2491,2,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,2,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.5,2491,2,P*E,Wavelet(t=1.5),-0.0307
SARS-CoV-2,0.5,2491,2,P*E,FreqThresh(p=85),0.0156
SARS-CoV-2,0.5,2491,2,P*E,KDE(p=80),0.0142
SARS-CoV-2,0.5,2491,2,H-score,Wavelet(t=1.5),-0.0154
SARS-CoV-2,0.5,2491,2,H-score,FreqThresh(p=85),0.0156
SARS-CoV-2,0.5,2491,2,H-score,KDE(p=80),0.0426
SARS-CoV-2,0.5,2491,2,E_only,Wavelet(t=1.5),-0.0341
SARS-CoV-2,0.5,2491,2,E_only,FreqThresh(p=85),0.0156
SARS-CoV-2,0.5,2491,2,E_only,KDE(p=80),0.0426
SARS-CoV-2,0.5,2491,3,E*rare,Wavelet(t=1.5),0.1132
SARS-CoV-2,0.5,2491,3,E*rare,FreqThresh(p=85),-0.0451
SARS-CoV-2,0.5,2491,3,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.5,2491,3,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.5,2491,3,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.5,2491,3,P*E*rare,FreqThresh(p=85),-0.0451
SARS-CoV-2,0.5,2491,3,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,3,P*E*rare,KDE(p=80),0.0711
SARS-CoV-2,0.5,2491,3,P*E,Wavelet(t=1.5),-0.0251
SARS-CoV-2,0.5,2491,3,P*E,FreqThresh(p=85),-0.0047
SARS-CoV-2,0.5,2491,3,P*E,KDE(p=80),-0.0566
SARS-CoV-2,0.5,2491,3,H-score,Wavelet(t=1.5),-0.0014
SARS-CoV-2,0.5,2491,3,H-score,FreqThresh(p=85),-0.0047
SARS-CoV-2,0.5,2491,3,H-score,KDE(p=80),-0.0001
SARS-CoV-2,0.5,2491,3,E_only,Wavelet(t=1.5),-0.0011
SARS-CoV-2,0.5,2491,3,E_only,FreqThresh(p=85),-0.0047
SARS-CoV-2,0.5,2491,3,E_only,KDE(p=80),-0.0143
SARS-CoV-2,0.5,2491,4,E*rare,Wavelet(t=1.5),0.094
SARS-CoV-2,0.5,2491,4,E*rare,FreqThresh(p=85),-0.0486
SARS-CoV-2,0.5,2491,4,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,4,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.5,2491,4,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.5,2491,4,P*E*rare,FreqThresh(p=85),-0.0486
SARS-CoV-2,0.5,2491,4,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.5,2491,4,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.5,2491,4,P*E,Wavelet(t=1.5),-0.0401
SARS-CoV-2,0.5,2491,4,P*E,FreqThresh(p=85),-0.0129
SARS-CoV-2,0.5,2491,4,P*E,"SWAN(w=10,k=1.5)",-0.014
SARS-CoV-2,0.5,2491,4,P*E,KDE(p=80),-0.057
SARS-CoV-2,0.5,2491,4,H-score,Wavelet(t=1.5),-0.0314
SARS-CoV-2,0.5,2491,4,H-score,FreqThresh(p=85),-0.0129
SARS-CoV-2,0.5,2491,4,H-score,KDE(p=80),-0.0001
SARS-CoV-2,0.5,2491,4,E_only,Wavelet(t=1.5),-0.0173
SARS-CoV-2,0.5,2491,4,E_only,FreqThresh(p=85),-0.0129
SARS-CoV-2,0.5,2491,4,E_only,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,0,E*rare,Wavelet(t=1.5),0.087
SARS-CoV-2,0.75,3736,0,E*rare,FreqThresh(p=85),-0.0218
SARS-CoV-2,0.75,3736,0,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.75,3736,0,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.75,3736,0,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.75,3736,0,P*E*rare,FreqThresh(p=85),-0.0218
SARS-CoV-2,0.75,3736,0,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,0,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,0,P*E,Wavelet(t=1.5),-0.0058
SARS-CoV-2,0.75,3736,0,P*E,FreqThresh(p=85),0.0014
SARS-CoV-2,0.75,3736,0,P*E,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,0,H-score,Wavelet(t=1.5),-0.0197
SARS-CoV-2,0.75,3736,0,H-score,FreqThresh(p=85),0.0014
SARS-CoV-2,0.75,3736,0,H-score,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,0,E_only,Wavelet(t=1.5),-0.0064
SARS-CoV-2,0.75,3736,0,E_only,FreqThresh(p=85),0.0014
SARS-CoV-2,0.75,3736,0,E_only,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,1,E*rare,Wavelet(t=1.5),0.0963
SARS-CoV-2,0.75,3736,1,E*rare,FreqThresh(p=85),0.0232
SARS-CoV-2,0.75,3736,1,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.75,3736,1,E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,1,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.75,3736,1,P*E*rare,FreqThresh(p=85),0.0232
SARS-CoV-2,0.75,3736,1,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,1,P*E*rare,KDE(p=80),0.0145
SARS-CoV-2,0.75,3736,1,P*E,Wavelet(t=1.5),0.0101
SARS-CoV-2,0.75,3736,1,P*E,FreqThresh(p=85),0.0148
SARS-CoV-2,0.75,3736,1,P*E,KDE(p=80),0.0711
SARS-CoV-2,0.75,3736,1,H-score,Wavelet(t=1.5),0.0133
SARS-CoV-2,0.75,3736,1,H-score,FreqThresh(p=85),0.0148
SARS-CoV-2,0.75,3736,1,H-score,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,1,E_only,Wavelet(t=1.5),0.0095
SARS-CoV-2,0.75,3736,1,E_only,FreqThresh(p=85),0.0148
SARS-CoV-2,0.75,3736,1,E_only,KDE(p=80),0.0711
SARS-CoV-2,0.75,3736,2,E*rare,Wavelet(t=1.5),0.1021
SARS-CoV-2,0.75,3736,2,E*rare,FreqThresh(p=85),-0.0282
SARS-CoV-2,0.75,3736,2,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,2,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.75,3736,2,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.75,3736,2,P*E*rare,FreqThresh(p=85),-0.0282
SARS-CoV-2,0.75,3736,2,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,2,P*E*rare,KDE(p=80),0.0711
SARS-CoV-2,0.75,3736,2,P*E,Wavelet(t=1.5),-0.0307
SARS-CoV-2,0.75,3736,2,P*E,FreqThresh(p=85),0.0059
SARS-CoV-2,0.75,3736,2,P*E,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,2,H-score,Wavelet(t=1.5),0.003
SARS-CoV-2,0.75,3736,2,H-score,FreqThresh(p=85),0.0059
SARS-CoV-2,0.75,3736,2,H-score,KDE(p=80),-0.0001
SARS-CoV-2,0.75,3736,2,E_only,Wavelet(t=1.5),-0.0049
SARS-CoV-2,0.75,3736,2,E_only,FreqThresh(p=85),0.0059
SARS-CoV-2,0.75,3736,2,E_only,KDE(p=80),-0.0001
SARS-CoV-2,0.75,3736,3,E*rare,Wavelet(t=1.5),0.095
SARS-CoV-2,0.75,3736,3,E*rare,FreqThresh(p=85),-0.0327
SARS-CoV-2,0.75,3736,3,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,0.75,3736,3,E*rare,KDE(p=80),-0.0712
SARS-CoV-2,0.75,3736,3,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.75,3736,3,P*E*rare,FreqThresh(p=85),-0.0327
SARS-CoV-2,0.75,3736,3,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,3,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,3,P*E,Wavelet(t=1.5),0.0137
SARS-CoV-2,0.75,3736,3,P*E,FreqThresh(p=85),-0.0035
SARS-CoV-2,0.75,3736,3,P*E,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,3,H-score,Wavelet(t=1.5),-0.0536
SARS-CoV-2,0.75,3736,3,H-score,FreqThresh(p=85),-0.0035
SARS-CoV-2,0.75,3736,3,H-score,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,3,E_only,Wavelet(t=1.5),-0.0376
SARS-CoV-2,0.75,3736,3,E_only,FreqThresh(p=85),-0.0035
SARS-CoV-2,0.75,3736,3,E_only,KDE(p=80),-0.057
SARS-CoV-2,0.75,3736,4,E*rare,Wavelet(t=1.5),0.0822
SARS-CoV-2,0.75,3736,4,E*rare,FreqThresh(p=85),-0.0064
SARS-CoV-2,0.75,3736,4,E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,4,E*rare,KDE(p=80),-0.0285
SARS-CoV-2,0.75,3736,4,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,0.75,3736,4,P*E*rare,FreqThresh(p=85),-0.0072
SARS-CoV-2,0.75,3736,4,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,0.75,3736,4,P*E*rare,KDE(p=80),0.0148
SARS-CoV-2,0.75,3736,4,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,0.75,3736,4,P*E,FreqThresh(p=85),0.0168
SARS-CoV-2,0.75,3736,4,P*E,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,4,H-score,Wavelet(t=1.5),0.0036
SARS-CoV-2,0.75,3736,4,H-score,FreqThresh(p=85),0.0168
SARS-CoV-2,0.75,3736,4,H-score,KDE(p=80),0.0142
SARS-CoV-2,0.75,3736,4,E_only,Wavelet(t=1.5),0.012
SARS-CoV-2,0.75,3736,4,E_only,FreqThresh(p=85),0.0168
SARS-CoV-2,0.75,3736,4,E_only,KDE(p=80),0.0569
SARS-CoV-2,1.0,4982,0,E*rare,Wavelet(t=1.5),0.0861
SARS-CoV-2,1.0,4982,0,E*rare,FreqThresh(p=85),-0.0253
SARS-CoV-2,1.0,4982,0,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,1.0,4982,0,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,0,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,1.0,4982,0,P*E*rare,FreqThresh(p=85),-0.0267
SARS-CoV-2,1.0,4982,0,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,1.0,4982,0,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,1.0,4982,0,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,1.0,4982,0,P*E,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,0,P*E,KDE(p=80),-0.057
SARS-CoV-2,1.0,4982,0,H-score,Wavelet(t=1.5),0.002
SARS-CoV-2,1.0,4982,0,H-score,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,0,H-score,KDE(p=80),-0.0001
SARS-CoV-2,1.0,4982,0,E_only,Wavelet(t=1.5),0.0023
SARS-CoV-2,1.0,4982,0,E_only,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,0,E_only,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,1,E*rare,Wavelet(t=1.5),0.0861
SARS-CoV-2,1.0,4982,1,E*rare,FreqThresh(p=85),-0.0253
SARS-CoV-2,1.0,4982,1,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,1.0,4982,1,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,1,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,1.0,4982,1,P*E*rare,FreqThresh(p=85),-0.0267
SARS-CoV-2,1.0,4982,1,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,1.0,4982,1,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,1.0,4982,1,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,1.0,4982,1,P*E,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,1,P*E,KDE(p=80),-0.057
SARS-CoV-2,1.0,4982,1,H-score,Wavelet(t=1.5),0.002
SARS-CoV-2,1.0,4982,1,H-score,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,1,H-score,KDE(p=80),-0.0001
SARS-CoV-2,1.0,4982,1,E_only,Wavelet(t=1.5),0.0023
SARS-CoV-2,1.0,4982,1,E_only,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,1,E_only,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,2,E*rare,Wavelet(t=1.5),0.0861
SARS-CoV-2,1.0,4982,2,E*rare,FreqThresh(p=85),-0.0253
SARS-CoV-2,1.0,4982,2,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,1.0,4982,2,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,2,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,1.0,4982,2,P*E*rare,FreqThresh(p=85),-0.0267
SARS-CoV-2,1.0,4982,2,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,1.0,4982,2,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,1.0,4982,2,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,1.0,4982,2,P*E,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,2,P*E,KDE(p=80),-0.057
SARS-CoV-2,1.0,4982,2,H-score,Wavelet(t=1.5),0.002
SARS-CoV-2,1.0,4982,2,H-score,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,2,H-score,KDE(p=80),-0.0001
SARS-CoV-2,1.0,4982,2,E_only,Wavelet(t=1.5),0.0023
SARS-CoV-2,1.0,4982,2,E_only,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,2,E_only,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,3,E*rare,Wavelet(t=1.5),0.0861
SARS-CoV-2,1.0,4982,3,E*rare,FreqThresh(p=85),-0.0253
SARS-CoV-2,1.0,4982,3,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,1.0,4982,3,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,3,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,1.0,4982,3,P*E*rare,FreqThresh(p=85),-0.0267
SARS-CoV-2,1.0,4982,3,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,1.0,4982,3,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,1.0,4982,3,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,1.0,4982,3,P*E,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,3,P*E,KDE(p=80),-0.057
SARS-CoV-2,1.0,4982,3,H-score,Wavelet(t=1.5),0.002
SARS-CoV-2,1.0,4982,3,H-score,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,3,H-score,KDE(p=80),-0.0001
SARS-CoV-2,1.0,4982,3,E_only,Wavelet(t=1.5),0.0023
SARS-CoV-2,1.0,4982,3,E_only,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,3,E_only,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,4,E*rare,Wavelet(t=1.5),0.0861
SARS-CoV-2,1.0,4982,4,E*rare,FreqThresh(p=85),-0.0253
SARS-CoV-2,1.0,4982,4,E*rare,"SWAN(w=10,k=1.5)",0.0123
SARS-CoV-2,1.0,4982,4,E*rare,KDE(p=80),-0.0427
SARS-CoV-2,1.0,4982,4,P*E*rare,Wavelet(t=1.5),-0.0004
SARS-CoV-2,1.0,4982,4,P*E*rare,FreqThresh(p=85),-0.0267
SARS-CoV-2,1.0,4982,4,P*E*rare,"SWAN(w=10,k=1.5)",0.0291
SARS-CoV-2,1.0,4982,4,P*E*rare,KDE(p=80),0.0142
SARS-CoV-2,1.0,4982,4,P*E,Wavelet(t=1.5),0.0107
SARS-CoV-2,1.0,4982,4,P*E,FreqThresh(p=85),0.0073
SARS-CoV-2,1.0,4982,4,P*E,KDE(p=80),-0.057
SARS-CoV-2,1.0,4982,4,H-score,Wavelet(t=1.5),0.002
