pathogen,score,detector,family,n_sequences,n_unique,seq_length,gt_adaptive_size,gt_constrained_size,gt_dms_size,mcc_adaptive,f1_adaptive,precision_adaptive,recall_adaptive,enrichment_adaptive,constrained_fpr,dms_f1,composite_score,n_detected
SARS-CoV-2,P*minority_E,GradPeak(p=0.5),GradPeak,4982,753,1259,25,154,252,0.0647,0.0627,0.0333,0.52,1.6787,0.4351,0.2368,-0.0679,390
SARS-CoV-2,P*minority_E,LocalContrast(z=1.0),LocalContrast,4982,753,1259,25,154,252,-0.0411,0.0,0.0,0.0,0.0,0.0779,0.1318,-0.0234,97
SARS-CoV-2,P*minority_E,LocalContrast(z=1.5),LocalContrast,4982,753,1259,25,154,252,-0.0268,0.0,0.0,0.0,0.0,0.0455,0.0475,-0.0136,43
SARS-CoV-2,P*minority_E,LocalContrast(z=2.0),LocalContrast,4982,753,1259,25,154,252,-0.0241,0.0,0.0,0.0,0.0,0.0455,0.0488,-0.0136,35
SARS-CoV-2,P*minority_E,"CUSUM(d=0.3,h=3.0)",CUSUM,4982,753,1259,25,154,252,0.0143,0.0435,0.0244,0.2,1.2283,0.2792,0.1138,-0.0403,205
SARS-CoV-2,P*minority_E,"CUSUM(d=0.5,h=4.0)",CUSUM,4982,753,1259,25,154,252,0.0764,0.0968,0.0811,0.12,4.0832,0.0065,0.0138,0.0948,37
SARS-CoV-2,P*minority_E,"CUSUM(d=0.5,h=5.0)",CUSUM,4982,753,1259,25,154,252,0.0182,0.0385,0.037,0.04,1.8652,0.0,0.0072,0.0385,27
SARS-CoV-2,P*minority_E,AdaptiveKnee,AdaptiveKnee,4982,753,1259,25,154,252,0.0008,0.027,0.0204,0.04,1.0278,0.0649,0.0664,0.0075,49
SARS-CoV-2,P*minority_E,ScoreDBSCAN(ep=8),ScoreDBSCAN,4982,753,1259,25,154,252,-0.007,0.0,0.0,0.0,0.0,0.0195,0.0078,-0.0058,3
SARS-CoV-2,P*minority_E,ScoreDBSCAN(ep=15),ScoreDBSCAN,4982,753,1259,25,154,252,-0.007,0.0,0.0,0.0,0.0,0.0195,0.0078,-0.0058,3
SARS-CoV-2,P*minority_E,Spectral(z=1.5),Spectral,4982,753,1259,25,154,252,0.0356,0.0594,0.0395,0.12,1.9879,0.0844,0.061,0.0341,76
SARS-CoV-2,P*minority_E,Spectral(z=2.0),Spectral,4982,753,1259,25,154,252,0.0151,0.0364,0.0333,0.04,1.6787,0.0065,0.0142,0.0344,30
SARS-CoV-2,P*minority_E,Bayes(prior=0.1),Bayes,4982,753,1259,25,154,252,0.0418,0.0635,0.0396,0.16,1.9945,0.1169,0.0737,0.0284,101
SARS-CoV-2,P*minority_E,Bayes(prior=0.15),Bayes,4982,753,1259,25,154,252,0.04,0.062,0.0385,0.16,1.9369,0.1364,0.073,0.0211,104
SARS-CoV-2,P*minority_E,Ensemble(v>=2),Ensemble,4982,753,1259,25,154,252,-0.0251,0.0,0.0,0.0,0.0,0.0649,0.0483,-0.0195,38
SARS-CoV-2,P*minority_E,Ensemble(v>=3),Ensemble,4982,753,1259,25,154,252,-0.014,0.0,0.0,0.0,0.0,0.0455,0.0227,-0.0136,12
SARS-CoV-2,P*minority_E,AdaptWin(s=90),AdaptWin,4982,753,1259,25,154,252,-0.0268,0.0222,0.0122,0.12,0.6167,0.4481,0.1247,-0.1122,245
SARS-CoV-2,P*minority_E,AdaptWin(s=85),AdaptWin,4982,753,1259,25,154,252,-0.0773,0.0162,0.0084,0.2,0.4246,0.6688,0.2793,-0.1845,593
SARS-CoV-2,P*minority_E,FreqThresh(p=80),FreqThresh,4982,753,1259,25,154,252,-0.0271,0.0243,0.0132,0.16,0.6626,0.3701,0.2122,-0.0867,304
SARS-CoV-2,P*minority_E,FreqThresh(p=85),FreqThresh,4982,753,1259,25,154,252,-0.0072,0.0319,0.0177,0.16,0.8913,0.2922,0.1172,-0.0558,226
SARS-CoV-2,P*minority_E,FreqThresh(p=90),FreqThresh,4982,753,1259,25,154,252,0.0235,0.0496,0.0312,0.12,1.5737,0.1104,0.0747,0.0165,96
SARS-CoV-2,P*minority_E,FreqThresh(p=95),FreqThresh,4982,753,1259,25,154,252,-0.014,0.0,0.0,0.0,0.0,0.0455,0.0227,-0.0136,12
SARS-CoV-2,P*minority_E,MutClust-Orig(g=10),MutClust-Orig,4982,753,1259,25,154,252,0.0457,0.0509,0.0265,0.64,1.334,0.6234,0.2547,-0.1361,604
SARS-CoV-2,P*E,Wavelet(t=1.0),Wavelet,4982,753,1259,25,154,252,0.0076,0.0403,0.0211,0.44,1.0633,0.6818,0.2096,-0.1643,521
SARS-CoV-2,P*E,Wavelet(t=1.5),Wavelet,4982,753,1259,25,154,252,0.0107,0.0415,0.0231,0.2,1.1657,0.3117,0.141,-0.052,216
SARS-CoV-2,P*E,Wavelet(t=2.0),Wavelet,4982,753,1259,25,154,252,-0.0056,0.0233,0.0164,0.04,0.8256,0.013,0.0383,0.0194,61
SARS-CoV-2,P*E,KDE(p=75),KDE,4982,753,1259,25,154,252,-0.0428,0.0176,0.0095,0.12,0.4796,0.5455,0.134,-0.146,315
SARS-CoV-2,P*E,KDE(p=80),KDE,4982,753,1259,25,154,252,-0.057,0.0072,0.004,0.04,0.1998,0.3766,0.0952,-0.1058,252
SARS-CoV-2,P*E,KDE(p=85),KDE,4982,753,1259,25,154,252,-0.0439,0.0093,0.0053,0.04,0.2665,0.1169,0.0454,-0.0257,189
SARS-CoV-2,P*E,GradPeak(p=0.2),GradPeak,4982,753,1259,25,154,252,0.045,0.0543,0.0288,0.48,1.4492,0.487,0.2451,-0.0918,417
SARS-CoV-2,P*E,GradPeak(p=0.5),GradPeak,4982,753,1259,25,154,252,0.0374,0.0518,0.0275,0.44,1.3849,0.4675,0.2362,-0.0885,400
SARS-CoV-2,P*E,LocalContrast(z=1.0),LocalContrast,4982,753,1259,25,154,252,-0.0046,0.0238,0.0169,0.04,0.8536,0.0649,0.0579,0.0043,59
SARS-CoV-2,P*E,LocalContrast(z=1.5),LocalContrast,4982,753,1259,25,154,252,-0.0009,0.026,0.0192,0.04,0.9685,0.0649,0.0592,0.0065,52
SARS-CoV-2,P*E,LocalContrast(z=2.0),LocalContrast,4982,753,1259,25,154,252,-0.0222,0.0,0.0,0.0,0.0,0.0649,0.0496,-0.0195,30
SARS-CoV-2,P*E,"CUSUM(d=0.3,h=3.0)",CUSUM,4982,753,1259,25,154,252,0.0088,0.0405,0.0225,0.2,1.1342,0.1883,0.1097,-0.016,222
SARS-CoV-2,P*E,"CUSUM(d=0.5,h=4.0)",CUSUM,4982,753,1259,25,154,252,0.0823,0.1013,0.0741,0.16,3.7304,0.013,0.0196,0.0974,54
SARS-CoV-2,P*E,"CUSUM(d=0.5,h=5.0)",CUSUM,4982,753,1259,25,154,252,0.0414,0.0635,0.0526,0.08,2.6505,0.013,0.0138,0.0596,38
SARS-CoV-2,P*E,AdaptiveKnee,AdaptiveKnee,4982,753,1259,25,154,252,0.0033,0.0286,0.0222,0.04,1.1191,0.0649,0.0606,0.0091,45
SARS-CoV-2,P*E,ScoreDBSCAN(ep=8),ScoreDBSCAN,4982,753,1259,25,154,252,-0.014,0.0,0.0,0.0,0.0,0.0455,0.0303,-0.0136,12
SARS-CoV-2,P*E,ScoreDBSCAN(ep=15),ScoreDBSCAN,4982,753,1259,25,154,252,-0.014,0.0,0.0,0.0,0.0,0.0455,0.0303,-0.0136,12
SARS-CoV-2,P*E,Spectral(z=1.5),Spectral,4982,753,1259,25,154,252,0.0176,0.044,0.0303,0.08,1.5261,0.0455,0.044,0.0303,66
SARS-CoV-2,P*E,Spectral(z=2.0),Spectral,4982,753,1259,25,154,252,0.0245,0.0426,0.0455,0.04,2.2891,0.0065,0.0,0.0406,22
SARS-CoV-2,P*E,Bayes(prior=0.1),Bayes,4982,753,1259,25,154,252,0.0146,0.0417,0.0282,0.08,1.4186,0.0714,0.0681,0.0202,71
SARS-CoV-2,P*E,Bayes(prior=0.15),Bayes,4982,753,1259,25,154,252,0.0117,0.0396,0.0263,0.08,1.3253,0.0714,0.0671,0.0182,76
SARS-CoV-2,P*E,Ensemble(v>=2),Ensemble,4982,753,1259,25,154,252,0.006,0.0303,0.0244,0.04,1.2283,0.0649,0.0478,0.0108,41
SARS-CoV-2,P*E,Ensemble(v>=3),Ensemble,4982,753,1259,25,154,252,-0.0211,0.0,0.0,0.0,0.0,0.0649,0.0358,-0.0195,27
SARS-CoV-2,P*E,AdaptWin(s=90),AdaptWin,4982,753,1259,25,154,252,0.0107,0.0415,0.0231,0.2,1.1657,0.2922,0.1197,-0.0462,216
SARS-CoV-2,P*E,AdaptWin(s=85),AdaptWin,4982,753,1259,25,154,252,-0.046,0.0254,0.0132,0.32,0.6648,0.6039,0.2634,-0.1558,606
SARS-CoV-2,P*E,FreqThresh(p=80),FreqThresh,4982,753,1259,25,154,252,-0.0216,0.0261,0.0142,0.16,0.7169,0.3442,0.1538,-0.0771,281
SARS-CoV-2,P*E,FreqThresh(p=85),FreqThresh,4982,753,1259,25,154,252,0.0073,0.0392,0.0223,0.16,1.1254,0.1429,0.0928,-0.0036,179
SARS-CoV-2,P*E,FreqThresh(p=90),FreqThresh,4982,753,1259,25,154,252,0.0469,0.0678,0.043,0.16,2.166,0.1104,0.0754,0.0347,93
