pathogen,scoring,detector,family,mcc,precision,recall,f1,n_detected
SARS-CoV-2,freq,"SWAN(w=50,k=1.0)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,freq,"SWAN(w=50,k=1.5)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,freq,"SWAN(w=50,k=2.0)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,freq,MutClust-Orig(g=10),MutClust-Orig,0.0,0.0,0.0,0.0,0
SARS-CoV-2,entropy,Wavelet(t=1.0),Wavelet,-0.006339,0.017094,0.08,0.028169,117
SARS-CoV-2,entropy,Wavelet(t=1.5),Wavelet,-0.011363,0.013514,0.04,0.020202,74
SARS-CoV-2,entropy,Wavelet(t=2.0),Wavelet,0.001393,0.020833,0.04,0.027397,48
SARS-CoV-2,entropy,KDE(p=75),KDE,0.088663,0.04127,0.52,0.076471,315
SARS-CoV-2,entropy,KDE(p=80),KDE,0.056861,0.035714,0.36,0.064982,252
SARS-CoV-2,entropy,KDE(p=85),KDE,0.019877,0.026455,0.2,0.046729,189
SARS-CoV-2,entropy,SlidingTest(p=0.01),SlidingTest,0.025918,0.047619,0.04,0.043478,21
SARS-CoV-2,entropy,SlidingTest(p=0.05),SlidingTest,0.025918,0.047619,0.04,0.043478,21
SARS-CoV-2,entropy,GradPeak(p=0.2),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,entropy,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,entropy,LocalContrast(z=1.0),LocalContrast,0.032972,0.043478,0.08,0.056338,46
SARS-CoV-2,entropy,LocalContrast(z=1.5),LocalContrast,0.033932,0.044444,0.08,0.057143,45
SARS-CoV-2,entropy,LocalContrast(z=2.0),LocalContrast,0.006678,0.025,0.04,0.030769,40
SARS-CoV-2,entropy,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,AdaptiveKnee,AdaptiveKnee,0.041782,0.076923,0.04,0.052632,13
SARS-CoV-2,entropy,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.07282,0.166667,0.04,0.064516,6
SARS-CoV-2,entropy,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,entropy,Spectral(z=1.5),Spectral,0.0392,0.071429,0.04,0.051282,14
SARS-CoV-2,entropy,Spectral(z=2.0),Spectral,0.060269,0.125,0.04,0.060606,8
SARS-CoV-2,entropy,Bayes(prior=0.1),Bayes,0.031124,0.041667,0.08,0.054795,48
SARS-CoV-2,entropy,Bayes(prior=0.15),Bayes,0.031124,0.041667,0.08,0.054795,48
SARS-CoV-2,entropy,AdaptWin(s=90),AdaptWin,-0.009849,0.0,0.0,0.0,6
SARS-CoV-2,entropy,AdaptWin(s=85),AdaptWin,0.060269,0.125,0.04,0.060606,8
SARS-CoV-2,entropy,FreqThresh(p=80),FreqThresh,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,entropy,FreqThresh(p=85),FreqThresh,0.060269,0.125,0.04,0.060606,8
SARS-CoV-2,entropy,FreqThresh(p=90),FreqThresh,-0.009849,0.0,0.0,0.0,6
SARS-CoV-2,entropy,FreqThresh(p=95),FreqThresh,-0.006956,0.0,0.0,0.0,3
SARS-CoV-2,entropy,"SWAN(w=10,k=1.0)",SWAN,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,entropy,"SWAN(w=10,k=1.5)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"SWAN(w=10,k=2.0)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"SWAN(w=20,k=1.0)",SWAN,-0.008988,0.0,0.0,0.0,5
SARS-CoV-2,entropy,"SWAN(w=20,k=1.5)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"SWAN(w=20,k=2.0)",SWAN,-0.004013,0.0,0.0,0.0,1
SARS-CoV-2,entropy,"SWAN(w=50,k=1.0)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,entropy,"SWAN(w=50,k=1.5)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,entropy,"SWAN(w=50,k=2.0)",SWAN,-0.005678,0.0,0.0,0.0,2
SARS-CoV-2,entropy,MutClust-Orig(g=10),MutClust-Orig,0.0,0.0,0.0,0.0,0
SARS-CoV-2,rare_freq,Wavelet(t=1.0),Wavelet,0.171015,0.078652,0.56,0.137931,178
SARS-CoV-2,rare_freq,Wavelet(t=1.5),Wavelet,0.151031,0.092784,0.36,0.147541,97
SARS-CoV-2,rare_freq,Wavelet(t=2.0),Wavelet,0.089109,0.081633,0.16,0.108108,49
SARS-CoV-2,rare_freq,KDE(p=75),KDE,0.075518,0.038095,0.48,0.070588,315
SARS-CoV-2,rare_freq,KDE(p=80),KDE,0.028402,0.027778,0.28,0.050542,252
SARS-CoV-2,rare_freq,KDE(p=85),KDE,0.019877,0.026455,0.2,0.046729,189
SARS-CoV-2,rare_freq,SlidingTest(p=0.01),SlidingTest,0.101907,0.074074,0.24,0.113208,81
SARS-CoV-2,rare_freq,SlidingTest(p=0.05),SlidingTest,0.09219,0.065934,0.24,0.103448,91
SARS-CoV-2,rare_freq,GradPeak(p=0.2),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,rare_freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,rare_freq,LocalContrast(z=1.0),LocalContrast,0.033932,0.044444,0.08,0.057143,45
SARS-CoV-2,rare_freq,LocalContrast(z=1.5),LocalContrast,0.034917,0.045455,0.08,0.057971,44
SARS-CoV-2,rare_freq,LocalContrast(z=2.0),LocalContrast,0.010563,0.028571,0.04,0.033333,35
SARS-CoV-2,rare_freq,"CUSUM(d=0.3,h=3.0)",CUSUM,0.032972,0.043478,0.08,0.056338,46
SARS-CoV-2,rare_freq,"CUSUM(d=0.5,h=4.0)",CUSUM,0.032678,0.058824,0.04,0.047619,17
SARS-CoV-2,rare_freq,"CUSUM(d=0.5,h=5.0)",CUSUM,0.034679,0.0625,0.04,0.04878,16
SARS-CoV-2,rare_freq,AdaptiveKnee,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,rare_freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.07282,0.166667,0.04,0.064516,6
SARS-CoV-2,rare_freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.044634,0.083333,0.04,0.054054,12
SARS-CoV-2,rare_freq,Spectral(z=1.5),Spectral,0.038502,0.041667,0.12,0.061856,72
SARS-CoV-2,rare_freq,Spectral(z=2.0),Spectral,0.024524,0.035714,0.08,0.049383,56
SARS-CoV-2,rare_freq,Bayes(prior=0.1),Bayes,0.032972,0.043478,0.08,0.056338,46
SARS-CoV-2,rare_freq,Bayes(prior=0.15),Bayes,0.032972,0.043478,0.08,0.056338,46
SARS-CoV-2,rare_freq,AdaptWin(s=90),AdaptWin,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,rare_freq,AdaptWin(s=85),AdaptWin,0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,rare_freq,FreqThresh(p=80),FreqThresh,0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,rare_freq,FreqThresh(p=85),FreqThresh,0.051402,0.1,0.04,0.057143,10
SARS-CoV-2,rare_freq,FreqThresh(p=90),FreqThresh,0.081536,0.2,0.04,0.066667,5
SARS-CoV-2,rare_freq,FreqThresh(p=95),FreqThresh,0.109817,0.333333,0.04,0.071429,3
SARS-CoV-2,rare_freq,"SWAN(w=10,k=1.0)",SWAN,0.043902,0.055556,0.08,0.065574,36
SARS-CoV-2,rare_freq,"SWAN(w=10,k=1.5)",SWAN,0.043902,0.055556,0.08,0.065574,36
SARS-CoV-2,rare_freq,"SWAN(w=10,k=2.0)",SWAN,0.063428,0.083333,0.08,0.081633,24
SARS-CoV-2,rare_freq,"SWAN(w=20,k=1.0)",SWAN,0.045194,0.057143,0.08,0.066667,35
SARS-CoV-2,rare_freq,"SWAN(w=20,k=1.5)",SWAN,0.045194,0.057143,0.08,0.066667,35
SARS-CoV-2,rare_freq,"SWAN(w=20,k=2.0)",SWAN,0.02908,0.052632,0.04,0.045455,19
SARS-CoV-2,rare_freq,"SWAN(w=50,k=1.0)",SWAN,0.023097,0.043478,0.04,0.041667,23
SARS-CoV-2,rare_freq,"SWAN(w=50,k=1.5)",SWAN,0.02908,0.052632,0.04,0.045455,19
SARS-CoV-2,rare_freq,"SWAN(w=50,k=2.0)",SWAN,0.036844,0.066667,0.04,0.05,15
SARS-CoV-2,rare_freq,MutClust-Orig(g=10),MutClust-Orig,0.0,0.0,0.0,0.0,0
SARS-CoV-2,homoplasy,Wavelet(t=1.0),Wavelet,0.108562,0.057803,0.4,0.10101,173
SARS-CoV-2,homoplasy,Wavelet(t=1.5),Wavelet,0.10121,0.066667,0.28,0.107692,105
SARS-CoV-2,homoplasy,Wavelet(t=2.0),Wavelet,0.107357,0.078947,0.24,0.118812,76
SARS-CoV-2,homoplasy,KDE(p=75),KDE,0.009793,0.022222,0.28,0.041176,315
SARS-CoV-2,homoplasy,KDE(p=80),KDE,-0.028515,0.011905,0.12,0.021661,252
SARS-CoV-2,homoplasy,KDE(p=85),KDE,-0.043881,0.005291,0.04,0.009346,189
SARS-CoV-2,homoplasy,SlidingTest(p=0.01),SlidingTest,0.102062,0.067308,0.28,0.108527,104
SARS-CoV-2,homoplasy,SlidingTest(p=0.05),SlidingTest,0.083991,0.054688,0.28,0.091503,128
SARS-CoV-2,homoplasy,GradPeak(p=0.2),GradPeak,-0.011382,0.0,0.0,0.0,8
SARS-CoV-2,homoplasy,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0
SARS-CoV-2,homoplasy,LocalContrast(z=1.0),LocalContrast,-0.002026,0.019108,0.12,0.032967,157
SARS-CoV-2,homoplasy,LocalContrast(z=1.5),LocalContrast,-0.02766,0.00813,0.04,0.013514,123
SARS-CoV-2,homoplasy,LocalContrast(z=2.0),LocalContrast,-0.015608,0.011765,0.04,0.018182,85
SARS-CoV-2,homoplasy,"CUSUM(d=0.3,h=3.0)",CUSUM,0.039139,0.05,0.08,0.061538,40
SARS-CoV-2,homoplasy,"CUSUM(d=0.5,h=4.0)",CUSUM,0.067921,0.090909,0.08,0.085106,22
SARS-CoV-2,homoplasy,"CUSUM(d=0.5,h=5.0)",CUSUM,0.089318,0.133333,0.08,0.1,15
SARS-CoV-2,homoplasy,AdaptiveKnee,AdaptiveKnee,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,homoplasy,ScoreDBSCAN(ep=8),ScoreDBSCAN,2.8e-05,0.019868,0.12,0.034091,151
SARS-CoV-2,homoplasy,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.009941,0.016484,0.12,0.028986,182
SARS-CoV-2,homoplasy,Spectral(z=1.5),Spectral,0.013983,0.027778,0.08,0.041237,72
SARS-CoV-2,homoplasy,Spectral(z=2.0),Spectral,0.002004,0.021277,0.04,0.027778,47
SARS-CoV-2,homoplasy,Bayes(prior=0.1),Bayes,0.015092,0.033333,0.04,0.036364,30
SARS-CoV-2,homoplasy,Bayes(prior=0.15),Bayes,0.03777,0.041096,0.12,0.061224,73
SARS-CoV-2,homoplasy,AdaptWin(s=90),AdaptWin,0.007413,0.025641,0.04,0.03125,39
SARS-CoV-2,homoplasy,AdaptWin(s=85),AdaptWin,0.040606,0.038835,0.16,0.0625,103
SARS-CoV-2,homoplasy,FreqThresh(p=80),FreqThresh,0.03777,0.041096,0.12,0.061224,73
SARS-CoV-2,homoplasy,FreqThresh(p=85),FreqThresh,0.03777,0.041096,0.12,0.061224,73
SARS-CoV-2,homoplasy,FreqThresh(p=90),FreqThresh,0.015092,0.033333,0.04,0.036364,30
SARS-CoV-2,homoplasy,FreqThresh(p=95),FreqThresh,0.032678,0.058824,0.04,0.047619,17
SARS-CoV-2,homoplasy,"SWAN(w=10,k=1.0)",SWAN,0.020822,0.027972,0.16,0.047619,143
SARS-CoV-2,homoplasy,"SWAN(w=10,k=1.5)",SWAN,0.051011,0.045977,0.16,0.071429,87
SARS-CoV-2,homoplasy,"SWAN(w=10,k=2.0)",SWAN,0.057889,0.051282,0.16,0.07767,78
SARS-CoV-2,homoplasy,"SWAN(w=20,k=1.0)",SWAN,0.025626,0.030303,0.16,0.050955,132
SARS-CoV-2,homoplasy,"SWAN(w=20,k=1.5)",SWAN,0.033398,0.034483,0.16,0.056738,116
SARS-CoV-2,homoplasy,"SWAN(w=20,k=2.0)",SWAN,0.063022,0.055556,0.16,0.082474,72
SARS-CoV-2,homoplasy,"SWAN(w=50,k=1.0)",SWAN,0.03288,0.034188,0.16,0.056338,117
SARS-CoV-2,homoplasy,"SWAN(w=50,k=1.5)",SWAN,0.033921,0.034783,0.16,0.057143,115
SARS-CoV-2,homoplasy,"SWAN(w=50,k=2.0)",SWAN,0.044278,0.041237,0.16,0.065574,97
SARS-CoV-2,homoplasy,MutClust-Orig(g=10),MutClust-Orig,0.064849,0.057143,0.16,0.084211,70
SARS-CoV-2,esm2_llr,Wavelet(t=1.0),Wavelet,-0.037694,0.006173,0.04,0.010695,162
SARS-CoV-2,esm2_llr,Wavelet(t=1.5),Wavelet,-0.01487,0.012048,0.04,0.018519,83
SARS-CoV-2,esm2_llr,Wavelet(t=2.0),Wavelet,0.000208,0.02,0.04,0.026667,50
SARS-CoV-2,esm2_llr,KDE(p=75),KDE,0.167532,0.060317,0.76,0.111765,315
SARS-CoV-2,esm2_llr,KDE(p=80),KDE,0.142236,0.059524,0.6,0.108303,252
SARS-CoV-2,esm2_llr,KDE(p=85),KDE,0.099575,0.05291,0.4,0.093458,189
SARS-CoV-2,esm2_llr,SlidingTest(p=0.01),SlidingTest,-0.012569,0.012987,0.04,0.019608,77
SARS-CoV-2,esm2_llr,SlidingTest(p=0.05),SlidingTest,-0.018968,0.012821,0.08,0.022099,156
SARS-CoV-2,esm2_llr,GradPeak(p=0.2),GradPeak,-0.003093,0.017857,0.04,0.024691,56
SARS-CoV-2,esm2_llr,GradPeak(p=0.5),GradPeak,-0.01563,0.0,0.0,0.0,15
SARS-CoV-2,esm2_llr,LocalContrast(z=1.0),LocalContrast,0.03244,0.031847,0.2,0.054945,157
SARS-CoV-2,esm2_llr,LocalContrast(z=1.5),LocalContrast,-0.001347,0.019231,0.08,0.031008,104
SARS-CoV-2,esm2_llr,LocalContrast(z=2.0),LocalContrast,0.014565,0.028169,0.08,0.041667,71
SARS-CoV-2,esm2_llr,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.019842,0.0,0.0,0.0,24
SARS-CoV-2,esm2_llr,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.011382,0.0,0.0,0.0,8
SARS-CoV-2,esm2_llr,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.009849,0.0,0.0,0.0,6
SARS-CoV-2,esm2_llr,AdaptiveKnee,AdaptiveKnee,-0.011769,0.013333,0.04,0.02,75
SARS-CoV-2,esm2_llr,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.019924,0.017341,0.48,0.033473,692
SARS-CoV-2,esm2_llr,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.010401,0.019284,0.84,0.037702,1089
SARS-CoV-2,esm2_llr,Spectral(z=1.5),Spectral,0.019559,0.031746,0.08,0.045455,63
SARS-CoV-2,esm2_llr,Spectral(z=2.0),Spectral,0.006678,0.025,0.04,0.030769,40
SARS-CoV-2,esm2_llr,Bayes(prior=0.1),Bayes,-0.008036,0.0,0.0,0.0,4
SARS-CoV-2,esm2_llr,Bayes(prior=0.15),Bayes,-0.018538,0.0,0.0,0.0,21
SARS-CoV-2,esm2_llr,AdaptWin(s=90),AdaptWin,-0.035275,0.010676,0.12,0.019608,281
SARS-CoV-2,esm2_llr,AdaptWin(s=85),AdaptWin,0.070976,0.028777,0.8,0.055556,695
SARS-CoV-2,esm2_llr,FreqThresh(p=80),FreqThresh,-5.7e-05,0.019841,0.2,0.036101,252
SARS-CoV-2,esm2_llr,FreqThresh(p=85),FreqThresh,0.003937,0.021164,0.16,0.037383,189
SARS-CoV-2,esm2_llr,FreqThresh(p=90),FreqThresh,-0.028495,0.007937,0.04,0.013245,126
SARS-CoV-2,esm2_llr,FreqThresh(p=95),FreqThresh,-0.006554,0.015873,0.04,0.022727,63
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=1.0)",SWAN,-0.022089,0.014134,0.16,0.025974,283
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=1.5)",SWAN,-0.039111,0.005952,0.04,0.010363,168
SARS-CoV-2,esm2_llr,"SWAN(w=10,k=2.0)",SWAN,-0.01877,0.010638,0.04,0.016807,94
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=1.0)",SWAN,0.034813,0.027473,0.4,0.051414,364
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=1.5)",SWAN,-0.010011,0.016949,0.16,0.030651,236
SARS-CoV-2,esm2_llr,"SWAN(w=20,k=2.0)",SWAN,0.012208,0.024242,0.16,0.042105,165
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=1.0)",SWAN,0.057274,0.032172,0.48,0.060302,373
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=1.5)",SWAN,0.039334,0.028736,0.4,0.053619,348
SARS-CoV-2,esm2_llr,"SWAN(w=50,k=2.0)",SWAN,0.049447,0.032967,0.36,0.060403,273
SARS-CoV-2,esm2_llr,MutClust-Orig(g=10),MutClust-Orig,0.0,0.019857,1.0,0.038941,1259
SARS-CoV-2,plddt_inv,Wavelet(t=1.0),Wavelet,-0.005525,0.018182,0.16,0.032653,220
SARS-CoV-2,plddt_inv,Wavelet(t=1.5),Wavelet,0.033398,0.034483,0.16,0.056738,116
SARS-CoV-2,plddt_inv,Wavelet(t=2.0),Wavelet,0.019559,0.031746,0.08,0.045455,63
SARS-CoV-2,plddt_inv,KDE(p=75),KDE,-0.082221,0.0,0.0,0.0,315
SARS-CoV-2,plddt_inv,KDE(p=80),KDE,-0.071203,0.0,0.0,0.0,252
SARS-CoV-2,plddt_inv,KDE(p=85),KDE,-0.059821,0.0,0.0,0.0,189
SARS-CoV-2,plddt_inv,SlidingTest(p=0.01),SlidingTest,-0.066829,0.005405,0.08,0.010127,370
SARS-CoV-2,plddt_inv,SlidingTest(p=0.05),SlidingTest,-0.058008,0.007732,0.12,0.014528,388
SARS-CoV-2,plddt_inv,GradPeak(p=0.2),GradPeak,0.017392,0.027778,0.12,0.045113,108
SARS-CoV-2,plddt_inv,GradPeak(p=0.5),GradPeak,0.024551,0.031915,0.12,0.05042,94
SARS-CoV-2,plddt_inv,LocalContrast(z=1.0),LocalContrast,0.024712,0.028409,0.2,0.049751,176
SARS-CoV-2,plddt_inv,LocalContrast(z=1.5),LocalContrast,0.01825,0.030769,0.08,0.044444,65
SARS-CoV-2,plddt_inv,LocalContrast(z=2.0),LocalContrast,0.036844,0.066667,0.04,0.05,15
SARS-CoV-2,plddt_inv,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.042487,0.0,0.0,0.0,103
SARS-CoV-2,plddt_inv,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.032668,0.0,0.0,0.0,63
SARS-CoV-2,plddt_inv,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.001486,0.018868,0.04,0.025641,53
SARS-CoV-2,plddt_inv,AdaptiveKnee,AdaptiveKnee,0.019624,0.023404,0.44,0.044444,470
SARS-CoV-2,plddt_inv,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.046414,0.007435,0.08,0.013605,269
SARS-CoV-2,plddt_inv,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.030901,0.016518,0.52,0.03202,787
SARS-CoV-2,plddt_inv,Spectral(z=1.5),Spectral,0.021356,0.03,0.12,0.048,100
SARS-CoV-2,plddt_inv,Spectral(z=2.0),Spectral,0.046543,0.048387,0.12,0.068966,62
SARS-CoV-2,plddt_inv,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0
SARS-CoV-2,plddt_inv,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0
SARS-CoV-2,plddt_inv,AdaptWin(s=90),AdaptWin,-0.081554,0.002618,0.04,0.004914,382
SARS-CoV-2,plddt_inv,AdaptWin(s=85),AdaptWin,-0.053448,0.009412,0.16,0.017778,425
SARS-CoV-2,plddt_inv,FreqThresh(p=80),FreqThresh,-0.056974,0.003968,0.04,0.00722,252
SARS-CoV-2,plddt_inv,FreqThresh(p=85),FreqThresh,-0.043881,0.005291,0.04,0.009346,189
SARS-CoV-2,plddt_inv,FreqThresh(p=90),FreqThresh,-0.047466,0.0,0.0,0.0,126
SARS-CoV-2,plddt_inv,FreqThresh(p=95),FreqThresh,-0.032668,0.0,0.0,0.0,63
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=1.0)",SWAN,-0.051779,0.009592,0.16,0.0181,417
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=1.5)",SWAN,-0.049266,0.009877,0.16,0.018605,405
SARS-CoV-2,plddt_inv,"SWAN(w=10,k=2.0)",SWAN,-0.046737,0.010178,0.16,0.019139,393
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=1.0)",SWAN,-0.049266,0.009877,0.16,0.018605,405
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=1.5)",SWAN,-0.048846,0.009926,0.16,0.018692,403
SARS-CoV-2,plddt_inv,"SWAN(w=20,k=2.0)",SWAN,-0.046526,0.010204,0.16,0.019185,392
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=1.0)",SWAN,-0.050315,0.009756,0.16,0.018391,410
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=1.5)",SWAN,-0.050105,0.00978,0.16,0.018433,409
SARS-CoV-2,plddt_inv,"SWAN(w=50,k=2.0)",SWAN,-0.049056,0.009901,0.16,0.018648,404
SARS-CoV-2,plddt_inv,MutClust-Orig(g=10),MutClust-Orig,0.004013,0.019873,1.0,0.038971,1258
SARS-CoV-2,sasa,Wavelet(t=1.0),Wavelet,0.001068,0.020202,0.16,0.035874,198
SARS-CoV-2,sasa,Wavelet(t=1.5),Wavelet,-0.029859,0.007634,0.04,0.012821,131
SARS-CoV-2,sasa,Wavelet(t=2.0),Wavelet,-0.036579,0.0,0.0,0.0,78
SARS-CoV-2,sasa,KDE(p=75),KDE,0.154387,0.057143,0.72,0.105882,315
SARS-CoV-2,sasa,KDE(p=80),KDE,0.099548,0.047619,0.48,0.086643,252
SARS-CoV-2,sasa,KDE(p=85),KDE,0.051756,0.037037,0.28,0.065421,189
SARS-CoV-2,sasa,SlidingTest(p=0.01),SlidingTest,0.002812,0.020661,0.2,0.037453,242
SARS-CoV-2,sasa,SlidingTest(p=0.05),SlidingTest,-0.003609,0.018987,0.24,0.035191,316
SARS-CoV-2,sasa,GradPeak(p=0.2),GradPeak,-0.022238,0.0,0.0,0.0,30
SARS-CoV-2,sasa,GradPeak(p=0.5),GradPeak,-0.012078,0.0,0.0,0.0,9
SARS-CoV-2,sasa,LocalContrast(z=1.0),LocalContrast,0.005581,0.021739,0.16,0.038278,184
SARS-CoV-2,sasa,LocalContrast(z=1.5),LocalContrast,-0.042934,0.0,0.0,0.0,105
SARS-CoV-2,sasa,LocalContrast(z=2.0),LocalContrast,-0.028337,0.0,0.0,0.0,48
SARS-CoV-2,sasa,"CUSUM(d=0.3,h=3.0)",CUSUM,0.039246,0.042254,0.12,0.0625,71
SARS-CoV-2,sasa,"CUSUM(d=0.5,h=4.0)",CUSUM,0.036968,0.047619,0.08,0.059701,42
