target,pathogen_label,source_type,is_labeled,n_positions,top10pct_count,score_mean_full_sample_sign,score_std_full_sample_sign,score_min_full_sample_sign,score_max_full_sample_sign,score_constant_full_sample_sign,ground_truth_available,mean_freq,std_freq,mean_entropy,std_entropy,variable_pos_frac,inside_labeled_envelope
SARS-CoV-2,SARS-CoV-2,feature_matrix,1,1259,126,-1.4109267985704928e-17,0.9971088868450583,-0.05242815672181808,35.014645353588435,0,1,0.00036381446951116395,0.00929810662827972,0.001731193816866554,0.02635525261025365,0.03812549642573471,
Zika,Zika,feature_matrix,1,452,46,-1.0610981120311231e-15,0.9990738000246661,-3.4617081874337403,3.766221868088177,0,1,0.11738677771993754,0.03346771585698327,0.5244274218258383,0.15386817406677447,0.9513274336283186,
chikungunya_virus_e2,Chikungunya Virus E2,cross_pathogen,0,540,54,3.289549702593056e-17,0.9960082210141457,-1.0013337306961732,3.8376134771490458,0,0,0.08778004629629631,0.08999362941680983,0.36517131481481474,0.3561224605114797,0.6814814814814815,1
eastern_equine_encephalitis_virus_e2,Eastern Equine Encephalitis Virus E2,cross_pathogen,0,420,42,4.65236315081018e-17,0.9979168071368946,-0.41565856926348993,3.6186562489771936,0,0,0.026876369047619045,0.06597526737771038,0.10351640714285713,0.24474479816477102,0.19047619047619047,1
hcov-229e_spike,Hcov 229E Spike,cross_pathogen,0,1173,118,1.2114965656608699e-17,0.9913809043759947,-0.2446193585586376,8.7887574238463,0,0,0.014142590792838876,0.06465491086475703,0.05432271270247229,0.2009789873729315,0.2421142369991475,1
hcov-nl63_spike,Hcov Nl63 Spike,cross_pathogen,0,1356,136,5.239990676696904e-17,0.9944622064904042,-0.21578021211070653,7.5982963029474435,0,0,0.013238051622418878,0.06580233487590376,0.04139212241887906,0.1797920480327422,0.16224188790560473,1
hendra_virus_g,Hendra Virus G,cross_pathogen,0,604,61,-2.9409881447024014e-18,0.9748074558413362,-0.25603906497723544,13.830039782159206,0,0,0.005611932119205299,0.025953622486201165,0.02906111754966887,0.09837060702428406,0.10596026490066225,1
japanese_encephalitis_virus_e,Japanese Encephalitis Virus E,cross_pathogen,0,506,51,-7.372231942174953e-17,0.9772154119177904,-0.3884185181292218,9.499427600812496,0,0,0.010937628458498024,0.040450261004925964,0.06387475494071147,0.12631656215861603,0.525691699604743,1
lassa_gpc,Lassa Gpc,cross_pathogen,0,491,50,-6.512102466233097e-17,0.9895545925563947,-0.3791912717067358,5.678670220180486,0,0,0.023695334012219963,0.06856352355725431,0.10946745621181264,0.2656892801326538,0.384928716904277,1
marburg_virus_gp,Marburg Virus Gp,cross_pathogen,0,871,88,-4.078890561194605e-17,0.9914658565687079,-0.5711703185921442,4.3343359707104305,0,0,0.06232897818599311,0.12130741109515884,0.25397888978185995,0.4045057931277893,0.5097588978185993,1
measles_virus_h,Measles Virus H,cross_pathogen,0,620,62,8.452020445533449e-17,0.9843379816935612,-0.35794684117565956,6.649922001607281,0,0,0.01899193548387097,0.061065458663676644,0.0794641,0.1965441315027434,0.21451612903225806,1
mumps_virus_hn,Mumps Virus Hn,cross_pathogen,0,582,59,2.441727614295877e-17,0.9924551049726773,-0.279365589955773,10.453659751296819,0,0,0.003925139175257731,0.01656739297565724,0.025355855670103095,0.07890873419445978,0.3161512027491409,1
nipah_virus_g,Nipah Virus G,cross_pathogen,0,602,61,-7.081821286645516e-17,0.9975233380682704,-0.2556506156379663,6.7795238907224515,0,0,0.01229237873754153,0.05051593058904571,0.046322754152823914,0.17314347283257644,0.11461794019933555,1
tick-borne_encephalitis_virus_e,Tick Borne Encephalitis Virus E,cross_pathogen,0,496,50,8.59527502935605e-17,0.9928624254723559,-0.2739150670904921,7.632919490177628,0,0,0.018758685483870965,0.07751500713334611,0.06298383467741935,0.20631705774635312,0.21774193548387097,1
venezuelan_equine_encephalitis_virus_e2,Venezuelan Equine Encephalitis Virus E2,cross_pathogen,0,520,52,2.801178092900395e-16,0.9991427906994815,-1.0218381014471203,2.3866138013895135,0,0,0.03361606923076922,0.03309507524632245,0.18503803653846151,0.18035461631725622,0.5480769230769231,1
western_equine_encephalitis_virus_e2,Western Equine Encephalitis Virus E2,cross_pathogen,0,504,51,-1.9737298215558337e-16,0.9986389009420444,-1.1275500209527223,1.9617314377995394,0,0,0.21012362896825398,0.18658235411915924,0.5463496825396826,0.4849153805341248,0.5714285714285714,1
wnv_e,Wnv E,cross_pathogen,0,501,51,8.509493841438326e-17,0.9948260155243426,-0.2674347858935886,11.739368948881392,0,0,0.009980051896207584,0.039706496622962106,0.045228269461077844,0.1598228899099414,0.10179640718562874,1
yfv_e,Yfv E,cross_pathogen,0,499,50,-1.0679500036474452e-17,0.9826774765443432,-0.33692250143867974,6.860706157276228,0,0,0.018555613226452904,0.0630837520378536,0.07329809218436874,0.1933849048426363,0.1683366733466934,1
